HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,HomeWinStreak,AwayWinStreak,TGSH,TGSA,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Aston Villa,Norwich,2,0,2,3,0,1,0,Win,M Atkinson,2.45,3.2,3.3,2.4,3.2,2.9
Liverpool,Sunderland,2,2,0,3,0,1,0,Draw,R Madley,1.44,4.75,8.5,1.44,4.33,8.0
Man City,Leicester,1,3,-2,0,1,0,0,Loss,A Taylor,1.62,4.2,6.0,1.62,4.0,5.5
Newcastle,West Brom,1,0,1,1,0,0,0,Win,L Mason,2.15,3.4,3.8,2.15,3.2,3.4
Southampton,West Ham,1,0,1,2,0,0,0,Win,M Clattenburg,1.73,3.8,5.5,1.72,3.5,5.0
Stoke,Everton,0,3,-3,0,1,0,0,Loss,A Marriner,2.7,3.4,2.8,2.6,3.3,2.75
Swansea,Crystal Palace,1,1,0,0,1,0,0,Draw,M Dean,2.25,3.3,3.6,2.25,3.2,3.2
Tottenham,Watford,1,0,1,1,0,0,0,Win,R East,1.5,4.33,8.0,1.5,4.0,6.5
Bournemouth,Arsenal,0,2,-2,0,1,0,0,Loss,K Friend,3.8,3.5,2.1,3.7,3.4,2.05
Chelsea,Man United,1,1,0,0,1,0,0,Draw,M Oliver,2.15,3.3,3.9,2.1,3.2,3.9
Bournemouth,Stoke,1,3,-2,0,2,0,0,Loss,G Scott,2.05,3.4,4.1,2.05,3.3,3.6
Chelsea,Newcastle,5,1,4,1,0,0,0,Win,R Madley,1.44,4.75,8.0,1.45,4.5,7.0
Crystal Palace,Watford,1,2,-1,0,1,0,0,Loss,R East,2.25,3.3,3.6,2.25,3.2,3.2
Everton,West Brom,0,1,-1,0,2,0,0,Loss,M Oliver,1.53,4.2,7.5,1.53,3.9,6.25
Norwich,West Ham,2,2,0,0,2,0,0,Draw,M Jones,2.38,3.4,3.25,2.4,3.3,3.0
Sunderland,Man United,2,1,1,1,0,0,0,Win,A Marriner,5.25,3.75,1.75,4.75,3.5,1.8
Swansea,Southampton,0,1,-1,0,1,0,0,Loss,J Moss,3.2,3.25,2.5,2.9,3.2,2.4
Arsenal,Leicester,2,1,1,1,0,0,0,Win,M Atkinson,1.75,4.0,5.0,1.75,4.0,4.33
Aston Villa,Liverpool,0,6,-6,0,1,0,0,Loss,N Swarbrick,4.75,3.6,1.85,4.5,3.5,1.85
Man City,Tottenham,1,2,-1,0,2,0,0,Loss,M Clattenburg,2.1,3.75,3.6,2.1,3.5,3.6
Leicester,Norwich,1,0,1,1,0,0,0,Win,N Swarbrick,1.5,4.33,6.0,1.5,4.2,6.0
Southampton,Chelsea,1,2,-1,0,1,0,0,Loss,M Atkinson,2.8,3.25,2.5,2.9,3.2,2.55
Stoke,Aston Villa,2,1,1,1,0,0,0,Win,K Friend,1.62,3.75,5.5,1.65,3.6,5.5
Watford,Bournemouth,0,0,0,1,0,0,0,Draw,A Taylor,2.38,3.25,3.0,2.35,3.1,3.1
West Brom,Crystal Palace,3,2,1,2,0,0,0,Win,J Moss,2.6,3.1,2.8,2.6,3.1,2.9
West Ham,Sunderland,1,0,1,3,0,1,0,Win,M Dean,1.8,3.5,4.5,1.83,3.4,4.33
Tottenham,Swansea,2,1,1,4,0,1,0,Win,M Jones,1.4,4.2,9.0,1.45,3.9,8.0
Man United,Arsenal,3,2,1,5,0,1,0,Win,C Pawson,3.0,3.25,2.38,2.95,3.2,2.5
Aston Villa,Everton,1,3,-2,0,1,0,0,Loss,R East,4.5,3.6,1.91,4.33,3.6,1.85
Bournemouth,Southampton,2,0,2,1,0,0,0,Win,M Dean,2.9,3.25,2.7,2.75,3.3,2.6
Leicester,West Brom,2,2,0,1,0,0,0,Draw,M Clattenburg,1.73,3.8,5.5,1.7,3.75,5.25
Norwich,Chelsea,1,2,-1,0,1,0,0,Loss,L Mason,5.25,4.0,1.7,5.25,3.8,1.67
Sunderland,Crystal Palace,2,2,0,0,1,0,0,Draw,A Taylor,2.5,3.3,3.1,2.45,3.2,3.0
Arsenal,Swansea,1,2,-1,0,2,0,0,Loss,R Madley,1.36,5.25,10.0,1.36,4.6,8.25
Liverpool,Man City,3,0,3,1,0,0,0,Win,M Atkinson,2.63,3.4,2.88,2.55,3.2,2.75
Man United,Watford,1,0,1,2,0,0,0,Win,M Jones,1.67,3.8,6.0,1.65,3.5,5.5
Stoke,Newcastle,1,0,1,3,0,1,0,Win,N Swarbrick,2.0,3.5,4.2,1.83,3.4,4.33
West Ham,Tottenham,1,0,1,4,0,1,0,Win,A Marriner,4.0,3.6,2.0,3.7,3.3,2.0
Chelsea,Stoke,1,1,0,4,0,1,0,Draw,M Clattenburg,1.5,4.5,7.5,1.5,3.9,6.75
Everton,West Ham,2,3,-1,0,1,0,0,Loss,A Taylor,1.73,4.0,5.0,1.7,3.6,5.0
Man City,Aston Villa,4,0,4,1,0,0,0,Win,L Mason,1.22,7.0,15.0,1.19,6.5,13.0
Newcastle,Bournemouth,1,3,-2,0,1,0,0,Loss,P Tierney,2.63,3.4,2.88,2.5,3.4,2.65
Southampton,Sunderland,1,1,0,0,1,0,0,Draw,N Swarbrick,1.6,4.0,6.5,1.5,3.9,6.75
Swansea,Norwich,1,0,1,1,0,0,0,Win,C Pawson,2.05,3.5,4.0,1.91,3.3,4.1
Tottenham,Arsenal,2,2,0,1,0,0,0,Draw,M Oliver,2.38,3.4,3.25,2.35,3.4,2.85
Watford,Leicester,0,1,-1,0,1,0,0,Loss,J Moss,3.0,3.4,2.55,2.7,3.4,2.45
Crystal Palace,Liverpool,1,2,-1,0,2,0,0,Loss,A Marriner,3.8,3.5,2.1,3.5,3.2,2.1
West Brom,Man United,1,0,1,1,0,0,0,Win,M Dean,4.33,3.4,2.0,4.2,3.25,1.91
Bournemouth,Swansea,3,2,1,2,0,0,0,Win,R East,1.95,3.5,4.33,1.91,3.3,4.1
Norwich,Man City,0,0,0,2,0,0,0,Draw,J Moss,6.0,4.2,1.6,6.0,3.75,1.57
Stoke,Southampton,1,2,-1,0,1,0,0,Loss,L Mason,2.7,3.2,2.9,2.7,3.2,2.6
Aston Villa,Tottenham,0,2,-2,0,2,0,0,Loss,A Taylor,7.5,4.5,1.5,7.0,4.2,1.45
Leicester,Newcastle,1,0,1,1,0,0,0,Win,C Pawson,1.57,4.33,6.25,1.53,4.0,6.0
Chelsea,West Ham,2,2,0,1,0,0,0,Draw,R Madley,1.75,3.8,5.25,1.7,3.8,4.6
Crystal Palace,Leicester,0,1,-1,0,1,0,0,Loss,M Jones,3.0,3.4,2.5,2.95,3.2,2.4
Everton,Arsenal,0,2,-2,0,2,0,0,Loss,M Clattenburg,2.7,3.5,2.7,2.6,3.4,2.55
Swansea,Aston Villa,1,0,1,1,0,0,0,Win,M Dean,1.67,3.8,6.0,1.6,3.75,5.75
Watford,Stoke,1,2,-1,0,1,0,0,Loss,C Pawson,2.4,3.25,3.3,2.4,3.1,3.0
West Brom,Norwich,0,1,-1,0,2,0,0,Loss,A Taylor,2.25,3.3,3.6,2.2,3.1,3.4
Man City,Man United,0,1,-1,0,3,0,1,Loss,M Oliver,1.83,3.75,4.75,1.83,3.6,4.0
Newcastle,Sunderland,1,1,0,0,3,0,1,Draw,M Atkinson,2.1,3.5,3.8,2.1,3.2,3.5
Southampton,Liverpool,3,2,1,1,0,0,0,Win,R East,2.63,3.4,2.88,2.4,3.3,2.85
Tottenham,Bournemouth,3,0,3,2,0,0,0,Win,N Swarbrick,1.53,4.33,7.0,1.5,4.33,5.75
Arsenal,Watford,4,0,4,3,0,1,0,Win,A Taylor,1.36,5.25,10.0,1.33,4.75,9.5
Aston Villa,Chelsea,0,4,-4,0,1,0,0,Loss,N Swarbrick,6.5,4.33,1.57,6.0,3.9,1.55
Bournemouth,Man City,0,4,-4,0,2,0,0,Loss,R Madley,3.75,3.6,2.1,3.6,3.4,2.0
Liverpool,Tottenham,1,1,0,0,2,0,0,Draw,J Moss,2.5,3.4,3.0,2.45,3.3,2.8
Norwich,Newcastle,3,2,1,1,0,0,0,Win,M Dean,2.2,3.4,3.6,2.15,3.2,3.4
Stoke,Swansea,2,2,0,1,0,0,0,Draw,M Atkinson,2.2,3.4,3.6,2.1,3.25,3.5
Sunderland,West Brom,0,0,0,1,0,0,0,Draw,R East,2.1,3.3,4.0,2.0,3.3,3.7
West Ham,Crystal Palace,2,2,0,1,0,0,0,Draw,M Clattenburg,1.95,3.6,4.2,1.91,3.4,3.9
Leicester,Southampton,1,0,1,2,0,0,0,Win,M Oliver,2.25,3.4,3.5,2.15,3.3,3.3
Man United,Everton,1,0,1,3,0,1,0,Win,A Marriner,2.1,3.5,3.75,2.0,3.4,3.6
Aston Villa,Bournemouth,1,2,-1,0,1,0,0,Loss,M Atkinson,3.4,3.2,2.2,3.5,3.4,2.05
Crystal Palace,Norwich,1,0,1,1,0,0,0,Win,M Oliver,2.05,3.4,3.6,1.95,3.3,3.9
Man City,West Brom,2,1,1,2,0,0,0,Win,M Jones,1.33,5.0,9.0,1.33,5.0,8.75
Southampton,Newcastle,3,1,2,3,0,1,0,Win,R Madley,1.53,4.0,6.0,1.55,3.9,6.0
Swansea,Chelsea,1,0,1,4,0,1,0,Win,A Marriner,3.75,3.4,2.0,3.75,3.4,1.95
Watford,Everton,1,1,0,4,0,1,0,Draw,K Friend,3.4,3.3,2.15,3.4,3.25,2.15
West Ham,Arsenal,3,3,0,4,0,1,0,Draw,C Pawson,3.6,3.5,2.0,3.75,3.6,1.9
Liverpool,Stoke,4,1,3,5,0,1,0,Win,M Clattenburg,1.55,4.0,5.75,1.57,3.75,6.0
Sunderland,Leicester,0,2,-2,0,1,0,0,Loss,A Taylor,3.4,3.4,2.1,3.3,3.4,2.1
Tottenham,Man United,3,0,3,1,0,0,0,Win,M Dean,1.91,3.5,4.0,1.91,3.3,4.1
Crystal Palace,Everton,0,0,0,1,0,0,0,Draw,M Jones,2.9,3.4,2.6,2.95,3.2,2.4
Chelsea,Man City,0,3,-3,0,1,0,0,Loss,M Dean,2.75,3.4,2.7,2.4,3.4,2.75
Everton,Southampton,1,1,0,0,1,0,0,Draw,C Pawson,2.7,3.4,2.8,2.5,3.25,2.75
Man United,Aston Villa,1,0,1,1,0,0,0,Win,K Friend,1.22,7.0,17.0,1.2,6.0,15.0
Newcastle,Swansea,3,0,3,2,0,0,0,Win,L Mason,2.3,3.4,3.4,2.25,3.2,3.2
Norwich,Sunderland,0,3,-3,0,1,0,0,Loss,A Marriner,2.4,3.3,3.25,2.25,3.25,3.1
West Brom,Watford,0,1,-1,0,2,0,0,Loss,M Oliver,2.4,3.2,3.4,2.3,3.1,3.2
Arsenal,Crystal Palace,1,1,0,0,2,0,0,Draw,R East,1.33,5.75,9.5,1.33,5.0,8.75
Bournemouth,Liverpool,1,2,-1,0,3,0,1,Loss,M Jones,3.6,3.5,2.15,3.3,3.4,2.1
Leicester,West Ham,2,2,0,0,3,0,1,Draw,J Moss,1.95,3.6,4.2,1.95,3.4,3.75
Stoke,Tottenham,0,4,-4,0,4,0,1,Loss,N Swarbrick,4.5,3.75,1.85,4.1,3.5,1.85
Newcastle,Man City,1,1,0,0,4,0,1,Draw,K Friend,6.0,4.5,1.57,5.25,4.25,1.55
Liverpool,Everton,4,0,4,1,0,0,0,Win,R Madley,1.73,4.0,5.0,1.7,3.75,4.75
Man United,Crystal Palace,2,0,2,2,0,0,0,Win,L Mason,1.53,4.33,7.0,1.53,4.0,6.0
West Ham,Watford,3,1,2,3,0,1,0,Win,M Dean,1.57,4.33,6.5,1.53,4.0,6.0
Arsenal,West Brom,2,0,2,4,0,1,0,Win,J Moss,1.29,6.0,13.0,1.22,5.75,13.5
Aston Villa,Southampton,2,4,-2,0,1,0,0,Loss,N Swarbrick,7.5,4.2,1.53,6.0,4.0,1.53
Bournemouth,Chelsea,1,4,-3,0,2,0,0,Loss,R East,3.1,3.5,2.4,2.9,3.3,2.35
Liverpool,Newcastle,2,2,0,0,2,0,0,Draw,A Marriner,1.57,4.5,6.0,1.57,4.2,5.25
Man City,Stoke,4,0,4,1,0,0,0,Win,R Madley,1.3,6.0,11.0,1.3,5.5,8.5
Leicester,Swansea,4,0,4,2,0,0,0,Win,M Clattenburg,1.75,3.7,5.5,1.7,3.5,5.0
Sunderland,Arsenal,0,0,0,2,0,0,0,Draw,M Dean,4.5,4.0,1.8,4.5,3.8,1.72
Tottenham,West Brom,1,1,0,2,0,0,0,Draw,M Jones,1.22,7.0,15.0,1.25,5.5,12.0
Arsenal,Norwich,1,0,1,3,0,1,0,Win,M Jones,1.29,6.5,11.0,1.25,6.0,12.5
Everton,Bournemouth,2,1,1,4,0,1,0,Win,N Swarbrick,2.0,3.8,3.8,2.0,3.6,3.7
Newcastle,Crystal Palace,1,0,1,5,0,1,0,Win,M Dean,2.0,3.6,4.0,1.95,3.5,4.0
Stoke,Sunderland,1,1,0,5,0,1,0,Draw,C Pawson,2.75,3.3,2.8,2.65,3.2,2.75
Watford,Aston Villa,3,2,1,6,0,1,0,Win,A Taylor,1.7,3.8,5.75,1.67,3.8,5.25
West Brom,West Ham,0,3,-3,0,1,0,0,Loss,L Mason,4.0,3.4,2.1,3.8,3.5,2.0
Man United,Leicester,1,1,0,0,1,0,0,Draw,M Oliver,2.1,3.4,3.9,2.1,3.4,3.6
Southampton,Man City,4,2,2,1,0,0,0,Win,A Marriner,2.8,3.4,2.7,2.7,3.4,2.6
Swansea,Liverpool,3,1,2,2,0,0,0,Win,R East,3.1,3.5,2.4,3.1,3.4,2.3
Chelsea,Tottenham,2,2,0,2,0,0,0,Draw,M Clattenburg,2.75,3.6,2.63,2.65,3.5,2.6
Aston Villa,Newcastle,0,0,0,2,0,0,0,Draw,R Madley,5.75,4.2,1.65,5.25,3.9,1.6
Bournemouth,West Brom,1,1,0,2,0,0,0,Draw,M Clattenburg,1.95,3.6,4.2,1.9,3.4,4.0
Crystal Palace,Stoke,2,1,1,3,0,1,0,Win,K Friend,2.05,3.5,3.9,2.05,3.2,3.7
Leicester,Everton,3,1,2,4,0,1,0,Win,A Marriner,1.91,4.0,4.0,1.83,3.5,4.25
Norwich,Man United,0,1,-1,0,1,0,0,Loss,C Pawson,4.5,3.6,1.91,4.1,3.4,1.87
Sunderland,Chelsea,3,2,1,1,0,0,0,Win,M Jones,3.0,3.5,2.45,2.95,3.3,2.35
West Ham,Swansea,1,4,-3,0,1,0,0,Loss,M Oliver,1.44,4.75,8.0,1.45,4.25,6.75
Liverpool,Watford,2,0,2,1,0,0,0,Win,L Mason,1.5,4.5,7.5,1.44,4.4,6.75
Man City,Arsenal,2,2,0,1,0,0,0,Draw,A Taylor,2.5,3.6,2.9,2.55,3.4,2.6
Tottenham,Southampton,1,2,-1,0,1,0,0,Loss,J Moss,2.05,3.6,3.9,1.91,3.6,3.7
West Ham,Man United,3,2,1,1,0,0,0,Win,M Dean,3.0,3.5,2.45,2.85,3.5,2.4
Liverpool,Chelsea,1,1,0,1,0,0,0,Draw,M Oliver,2.0,3.8,3.8,1.95,3.5,3.7
Norwich,Watford,4,2,2,2,0,0,0,Win,R East,1.83,3.75,4.75,1.75,3.75,4.33
Sunderland,Everton,3,0,3,3,0,1,0,Win,A Taylor,1.75,4.0,5.0,1.72,3.5,5.0
Arsenal,Aston Villa,4,0,4,4,0,1,0,Win,M Clattenburg,1.17,9.0,17.0,1.16,7.0,16.0
Chelsea,Leicester,1,1,0,4,0,1,0,Draw,C Pawson,2.3,3.75,3.1,2.25,3.6,2.9
Everton,Norwich,3,0,3,5,0,1,0,Win,L Mason,1.8,4.0,4.5,1.75,3.8,4.33
Newcastle,Tottenham,5,1,4,6,0,1,0,Win,A Taylor,4.5,4.0,1.8,4.1,3.7,1.8
Southampton,Crystal Palace,4,1,3,7,0,1,0,Win,M Oliver,1.36,5.5,9.0,1.33,4.75,9.25
Stoke,West Ham,2,1,1,8,0,1,0,Win,M Jones,3.5,3.6,2.15,3.3,3.4,2.1
Swansea,Man City,1,1,0,8,0,1,0,Draw,M Dean,6.0,4.75,1.53,5.75,4.5,1.48
Watford,Sunderland,2,2,0,8,0,1,0,Draw,K Friend,2.05,3.75,3.7,2.05,3.3,3.6
West Brom,Liverpool,1,1,0,8,0,1,0,Draw,R Madley,2.4,3.6,3.0,2.35,3.5,2.75
Man United,Bournemouth,3,1,2,9,0,1,0,Win,J Moss,1.67,4.2,5.25,1.67,4.0,5.0
Burnley,Swansea,0,1,-1,0,1,0,0,Loss,J Moss,2.4,3.3,3.25,2.45,3.1,2.95
Crystal Palace,West Brom,0,1,-1,0,2,0,0,Loss,C Pawson,2.0,3.3,4.5,2.0,3.2,3.9
Everton,Tottenham,1,1,0,0,2,0,0,Draw,M Atkinson,3.2,3.4,2.4,2.95,3.2,2.4
Hull,Leicester,2,1,1,1,0,0,0,Win,M Dean,4.5,3.6,1.91,4.33,3.4,1.9
Man City,Sunderland,2,1,1,2,0,0,0,Win,R Madley,1.25,6.5,15.0,1.22,6.0,11.5
Middlesbrough,Stoke,1,1,0,2,0,0,0,Draw,K Friend,2.38,3.2,3.4,2.25,3.1,3.25
Southampton,Watford,1,1,0,2,0,0,0,Draw,R East,1.8,3.75,5.0,1.8,3.4,4.5
Arsenal,Liverpool,3,4,-1,0,1,0,0,Loss,M Oliver,2.4,3.5,3.1,2.35,3.3,2.9
Bournemouth,Man United,1,3,-2,0,2,0,0,Loss,A Marriner,4.75,3.6,1.85,4.6,3.5,1.75
Chelsea,West Ham,2,1,1,1,0,0,0,Win,A Taylor,1.65,4.0,6.0,1.6,3.75,5.5
Man United,Southampton,2,0,2,2,0,0,0,Win,A Taylor,1.53,4.2,7.5,1.48,4.33,8.0
Burnley,Liverpool,2,0,2,3,0,1,0,Win,L Mason,6.5,4.2,1.57,6.5,4.0,1.55
Leicester,Arsenal,0,0,0,3,0,1,0,Draw,M Clattenburg,2.88,3.6,2.5,2.75,3.6,2.45
Stoke,Man City,1,4,-3,0,1,0,0,Loss,M Dean,5.5,3.8,1.73,5.25,3.8,1.67
Swansea,Hull,0,2,-2,0,2,0,0,Loss,S Attwell,1.8,3.6,5.25,1.75,3.6,5.0
Tottenham,Crystal Palace,1,0,1,1,0,0,0,Win,M Oliver,1.45,4.75,8.0,1.44,4.5,7.75
Watford,Chelsea,1,2,-1,0,1,0,0,Loss,J Moss,5.5,3.8,1.73,5.5,3.7,1.67
West Brom,Everton,1,2,-1,0,2,0,0,Loss,N Swarbrick,3.0,3.25,2.6,2.95,3.1,2.55
Sunderland,Middlesbrough,1,2,-1,0,3,0,1,Loss,M Atkinson,2.55,3.2,3.1,2.5,3.1,3.1
West Ham,Bournemouth,1,0,1,1,0,0,0,Win,C Pawson,1.95,3.75,4.0,1.91,3.6,4.0
Chelsea,Burnley,3,0,3,2,0,0,0,Win,M Clattenburg,1.25,5.5,15.0,1.25,6.0,12.0
Crystal Palace,Bournemouth,1,1,0,2,0,0,0,Draw,M Dean,2.3,3.2,3.3,2.35,3.2,3.2
Everton,Stoke,1,0,1,3,0,1,0,Win,M Oliver,1.73,3.6,5.25,1.72,3.75,5.0
Hull,Man United,0,1,-1,0,1,0,0,Loss,J Moss,8.0,4.1,1.44,7.0,4.5,1.45
Leicester,Swansea,2,1,1,1,0,0,0,Win,R East,1.73,3.6,5.25,1.72,3.75,5.0
Southampton,Sunderland,1,1,0,1,0,0,0,Draw,L Mason,1.57,3.6,6.5,1.6,3.9,6.0
Tottenham,Liverpool,1,1,0,1,0,0,0,Draw,R Madley,2.38,3.4,3.0,2.4,3.5,2.9
Watford,Arsenal,1,3,-2,0,1,0,0,Loss,K Friend,5.0,3.75,1.73,5.0,3.75,1.72
Man City,West Ham,3,1,2,1,0,0,0,Win,A Marriner,1.25,6.0,11.0,1.28,6.0,10.0
West Brom,Middlesbrough,0,0,0,1,0,0,0,Draw,A Taylor,2.6,3.1,2.9,2.5,3.1,3.1
Arsenal,Southampton,2,1,1,2,0,0,0,Win,R Madley,1.57,4.2,6.5,1.55,4.2,6.0
Bournemouth,West Brom,1,0,1,3,0,1,0,Win,K Friend,2.05,3.25,4.33,2.0,3.3,4.0
Burnley,Hull,1,1,0,3,0,1,0,Draw,P Tierney,2.45,3.1,3.4,2.4,3.1,3.2
Liverpool,Leicester,4,1,3,4,0,1,0,Win,C Pawson,1.7,4.0,5.5,1.67,4.0,5.5
Man United,Man City,1,2,-1,0,1,0,0,Loss,M Clattenburg,2.38,3.25,3.4,2.3,3.3,3.5
Middlesbrough,Crystal Palace,1,2,-1,0,2,0,0,Loss,N Swarbrick,2.3,3.2,3.6,2.2,3.2,3.5
Stoke,Tottenham,0,4,-4,0,3,0,1,Loss,A Taylor,4.6,3.75,1.85,4.6,3.6,1.8
West Ham,Watford,2,4,-2,0,4,0,1,Loss,M Atkinson,1.91,3.6,4.5,1.83,3.5,4.5
Swansea,Chelsea,2,2,0,0,4,0,1,Draw,A Marriner,5.75,4.0,1.67,5.75,4.0,1.65
Sunderland,Everton,0,3,-3,0,5,0,1,Loss,M Jones,3.8,3.5,2.1,3.8,3.5,2.1
Chelsea,Liverpool,1,2,-1,0,6,0,1,Loss,M Atkinson,2.25,3.5,3.4,2.25,3.5,3.3
Everton,Middlesbrough,3,1,2,1,0,0,0,Win,L Mason,1.67,3.8,6.0,1.65,3.8,5.5
Hull,Arsenal,1,4,-3,0,1,0,0,Loss,R East,6.0,4.2,1.6,6.0,4.0,1.57
Leicester,Burnley,3,0,3,1,0,0,0,Win,A Taylor,1.5,4.33,8.0,1.53,4.1,6.5
Man City,Bournemouth,4,0,4,2,0,0,0,Win,J Moss,1.29,6.0,12.0,1.26,6.25,10.0
West Brom,West Ham,4,2,2,3,0,1,0,Win,M Clattenburg,2.8,3.2,2.8,2.75,3.1,2.75
Crystal Palace,Stoke,4,1,3,4,0,1,0,Win,C Pawson,2.0,3.5,4.2,2.0,3.4,3.9
Southampton,Swansea,1,0,1,5,0,1,0,Win,M Jones,1.7,3.8,5.75,1.65,3.6,5.25
Tottenham,Sunderland,1,0,1,6,0,1,0,Win,M Dean,1.33,5.5,11.0,1.28,5.5,9.25
Watford,Man United,3,1,2,7,0,1,0,Win,M Oliver,6.0,4.2,1.62,5.5,4.0,1.62
Arsenal,Chelsea,3,0,3,8,0,1,0,Win,M Oliver,2.4,3.5,3.1,2.4,3.4,3.1
Bournemouth,Everton,1,0,1,9,0,1,0,Win,R Madley,3.6,3.5,2.15,3.6,3.4,2.1
Liverpool,Hull,5,1,4,10,0,1,0,Win,A Marriner,1.22,7.0,15.0,1.22,6.5,13.0
Man United,Leicester,4,1,3,11,0,1,0,Win,M Dean,1.73,3.9,5.25,1.67,4.0,5.5
Middlesbrough,Tottenham,1,2,-1,0,1,0,0,Loss,G Scott,3.75,3.5,2.1,3.75,3.5,2.0
Stoke,West Brom,1,1,0,0,1,0,0,Draw,M Atkinson,2.38,3.3,3.3,2.3,3.2,3.3
Sunderland,Crystal Palace,2,3,-1,0,2,0,0,Loss,A Taylor,2.88,3.25,2.7,2.8,3.2,2.6
Swansea,Man City,1,3,-2,0,3,0,1,Loss,N Swarbrick,9.0,5.5,1.36,7.5,5.0,1.4
West Ham,Southampton,0,3,-3,0,4,0,1,Loss,J Moss,2.8,3.3,2.75,2.8,3.3,2.7
Burnley,Watford,2,0,2,1,0,0,0,Win,M Jones,2.9,3.2,2.7,2.9,3.2,2.65
Everton,Crystal Palace,1,1,0,1,0,0,0,Draw,J Moss,1.73,4.0,5.0,1.72,3.75,5.0
Hull,Chelsea,0,2,-2,0,1,0,0,Loss,A Taylor,7.5,4.5,1.5,7.0,4.5,1.45
Sunderland,West Brom,1,1,0,0,1,0,0,Draw,S Attwell,2.5,3.25,3.2,2.45,3.1,3.1
Swansea,Liverpool,1,2,-1,0,2,0,0,Loss,M Oliver,8.0,4.75,1.45,7.0,4.5,1.45
Watford,Bournemouth,2,2,0,0,2,0,0,Draw,M Dean,2.38,3.3,3.3,2.3,3.25,3.25
West Ham,Middlesbrough,1,1,0,0,2,0,0,Draw,N Swarbrick,2.25,3.4,3.5,2.1,3.4,3.6
Burnley,Arsenal,0,1,-1,0,3,0,1,Loss,C Pawson,9.0,5.0,1.4,8.5,5.0,1.36
Leicester,Southampton,0,0,0,0,3,0,1,Draw,M Atkinson,2.25,3.4,3.5,2.2,3.3,3.4
Man United,Stoke,1,1,0,0,3,0,1,Draw,R Madley,1.33,5.75,10.0,1.3,5.5,10.0
Tottenham,Man City,2,0,2,1,0,0,0,Win,A Marriner,3.0,3.5,2.5,3.0,3.4,2.35
Arsenal,Swansea,3,2,1,2,0,0,0,Win,J Moss,1.29,6.5,11.0,1.26,6.25,10.0
Bournemouth,Hull,6,1,5,3,0,1,0,Win,L Mason,1.85,3.5,5.0,1.8,3.5,4.75
Chelsea,Leicester,3,0,3,4,0,1,0,Win,A Marriner,1.57,4.5,6.0,1.57,4.33,6.25
Crystal Palace,West Ham,0,1,-1,0,1,0,0,Loss,M Atkinson,2.15,3.5,3.6,2.0,3.5,3.75
Man City,Everton,1,1,0,0,1,0,0,Draw,M Oliver,1.5,4.75,7.0,1.48,4.75,6.25
Stoke,Sunderland,2,0,2,1,0,0,0,Win,M Jones,2.0,3.6,4.0,1.95,3.5,4.0
West Brom,Tottenham,1,1,0,1,0,0,0,Draw,K Friend,5.5,3.8,1.73,5.25,3.8,1.67
Middlesbrough,Watford,0,1,-1,0,1,0,0,Loss,R East,2.25,3.3,3.6,2.2,3.1,3.6
Southampton,Burnley,3,1,2,1,0,0,0,Win,M Dean,1.4,4.8,9.5,1.4,4.5,9.0
Liverpool,Man United,0,0,0,1,0,0,0,Draw,A Taylor,2.2,3.5,3.5,2.15,3.5,3.6
Arsenal,Middlesbrough,0,0,0,1,0,0,0,Draw,M Dean,1.25,6.5,15.0,1.25,6.0,12.0
Bournemouth,Tottenham,0,0,0,1,0,0,0,Draw,C Pawson,4.2,3.6,1.95,4.1,3.6,1.95
Burnley,Everton,2,1,1,2,0,0,0,Win,M Jones,6.0,3.8,1.67,6.0,3.8,1.62
Hull,Stoke,0,2,-2,0,1,0,0,Loss,K Friend,3.1,3.3,2.5,2.95,3.2,2.5
Leicester,Crystal Palace,3,1,2,1,0,0,0,Win,M Oliver,2.05,3.5,3.9,2.05,3.4,3.7
Liverpool,West Brom,2,1,1,2,0,0,0,Win,N Swarbrick,1.29,6.0,13.0,1.28,6.0,12.0
Swansea,Watford,0,0,0,2,0,0,0,Draw,P Tierney,2.38,3.3,3.3,2.3,3.25,3.25
West Ham,Sunderland,1,0,1,3,0,1,0,Win,R Madley,1.67,4.0,5.75,1.7,3.8,5.0
Chelsea,Man United,4,0,4,4,0,1,0,Win,M Atkinson,2.15,3.4,3.8,2.25,3.3,3.6
Man City,Southampton,1,1,0,4,0,1,0,Draw,M Clattenburg,1.5,4.5,7.5,1.5,4.5,7.0
Crystal Palace,Liverpool,2,4,-2,0,1,0,0,Loss,A Marriner,5.25,4.0,1.7,5.0,4.0,1.72
Man United,Burnley,0,0,0,0,1,0,0,Draw,M Clattenburg,1.2,7.0,19.0,1.2,6.5,15.0
Middlesbrough,Bournemouth,2,0,2,1,0,0,0,Win,S Attwell,2.5,3.2,3.2,2.45,3.1,3.1
Sunderland,Arsenal,1,4,-3,0,1,0,0,Loss,M Atkinson,9.0,5.0,1.4,8.0,5.25,1.4
Tottenham,Leicester,1,1,0,0,1,0,0,Draw,R Madley,1.62,4.2,6.0,1.62,4.0,5.5
Watford,Hull,1,0,1,1,0,0,0,Win,J Moss,1.75,3.75,5.25,1.72,3.75,5.0
West Brom,Man City,0,4,-4,0,1,0,0,Loss,L Mason,8.0,4.75,1.44,7.0,4.5,1.45
