HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,HomeWinStreak,AwayWinStreak,TGSH,TGSA,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Hull,Man City,2,4,-2,0,1,0,0,Loss,A Taylor,6.5,4.2,1.57,5.75,3.8,1.57
Liverpool,Everton,1,1,0,0,1,0,0,Draw,M Atkinson,1.91,3.75,4.33,1.95,3.6,4.0
Man United,West Ham,2,1,1,1,0,0,0,Win,L Mason,1.4,5.5,8.0,1.4,4.6,7.25
Southampton,QPR,2,1,1,2,0,0,0,Win,M Clattenburg,1.44,4.6,8.5,1.45,4.2,7.0
Sunderland,Swansea,0,0,0,2,0,0,0,Draw,C Foy,2.9,3.3,2.63,2.8,3.2,2.7
West Brom,Burnley,4,0,4,3,0,1,0,Win,J Moss,2.0,3.5,4.2,2.0,3.4,4.0
Stoke,Newcastle,1,0,1,4,0,1,0,Win,C Pawson,2.15,3.4,3.8,2.15,3.3,3.7
Aston Villa,Man City,0,2,-2,0,1,0,0,Loss,C Foy,7.5,4.5,1.5,6.75,4.2,1.53
Hull,Crystal Palace,2,0,2,1,0,0,0,Win,M Dean,2.1,3.5,3.8,2.1,3.2,3.6
Leicester,Burnley,2,2,0,1,0,0,0,Draw,P Dowd,1.8,3.75,5.0,1.8,3.4,4.5
Liverpool,West Brom,2,1,1,2,0,0,0,Win,M Oliver,1.44,5.0,7.5,1.44,4.33,7.0
Sunderland,Stoke,3,1,2,3,0,1,0,Win,N Swarbrick,2.55,3.25,3.1,2.6,3.0,2.85
Swansea,Newcastle,2,2,0,3,0,1,0,Draw,L Mason,1.91,3.7,4.33,1.91,3.4,4.0
Chelsea,Arsenal,2,0,2,4,0,1,0,Win,M Atkinson,1.67,4.2,5.25,1.72,3.75,5.25
Man United,Everton,2,1,1,5,0,1,0,Win,K Friend,1.67,4.2,5.25,1.67,4.0,5.25
Tottenham,Southampton,1,0,1,6,0,1,0,Win,M Jones,2.2,3.5,3.5,2.2,3.5,3.3
