,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Arsenal,Man City,0,2,-2,0,0
2,Chelsea,Arsenal,3,2,-1,0,0
3,Arsenal,West Ham,3,1,2,1,0
4,Cardiff,Arsenal,2,3,1,2,0
5,Newcastle,Arsenal,1,2,1,3,1
6,Arsenal,Everton,2,0,2,4,1
7,Arsenal,Watford,2,0,2,5,1
8,Fulham,Arsenal,1,5,4,6,1
9,Arsenal,Leicester,3,1,2,7,1
10,Crystal Palace,Arsenal,2,2,0,0,0
11,Arsenal,Liverpool,1,1,0,0,0
12,Arsenal,Wolves,1,1,0,0,0
13,Bournemouth,Arsenal,1,2,1,1,0
14,Arsenal,Tottenham,4,2,2,2,0
15,Man United,Arsenal,2,2,0,0,0
16,Arsenal,Huddersfield,1,0,1,1,0
17,Southampton,Arsenal,3,2,-1,0,0
18,Arsenal,Burnley,3,1,2,1,0
19,Brighton,Arsenal,1,1,0,0,0
20,Liverpool,Arsenal,5,1,-4,0,0
21,Arsenal,Fulham,4,1,3,1,0
22,West Ham,Arsenal,1,0,-1,0,0
23,Arsenal,Chelsea,2,0,2,1,0
24,Arsenal,Cardiff,2,1,1,2,0
25,Man City,Arsenal,3,1,-2,0,0
26,Huddersfield,Arsenal,1,2,1,1,0
27,Arsenal,Southampton,2,0,2,2,0
28,Arsenal,Bournemouth,5,1,4,3,1
29,Tottenham,Arsenal,1,1,0,0,0
30,Arsenal,Man United,2,0,2,1,0
31,Arsenal,Newcastle,2,0,2,2,0
32,Everton,Arsenal,1,0,-1,0,0
33,Watford,Arsenal,0,1,1,1,0
34,Arsenal,Crystal Palace,2,3,-1,0,0
35,Wolves,Arsenal,3,1,-2,0,0
36,Leicester,Arsenal,3,0,-3,0,0
37,Arsenal,Brighton,1,1,0,0,0
38,Burnley,Arsenal,1,3,2,1,0
