,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Arsenal,Leicester,4,3,-1,0,0
2,Leicester,Brighton,2,0,2,1,0
3,Man United,Leicester,2,0,-2,0,0
4,Leicester,Chelsea,1,2,-1,0,0
5,Huddersfield,Leicester,1,1,0,0,0
6,Leicester,Liverpool,2,3,-1,0,0
7,Bournemouth,Leicester,0,0,0,0,0
8,Leicester,West Brom,1,1,0,0,0
9,Swansea,Leicester,1,2,1,1,0
10,Leicester,Everton,2,0,2,2,0
11,Stoke,Leicester,2,2,0,0,0
12,Leicester,Man City,0,2,-2,0,0
13,West Ham,Leicester,1,1,0,0,0
14,Leicester,Tottenham,2,1,1,1,0
15,Leicester,Burnley,1,0,1,2,0
16,Newcastle,Leicester,2,3,1,3,1
17,Southampton,Leicester,1,4,3,4,1
18,Leicester,Crystal Palace,0,3,-3,0,0
19,Leicester,Man United,2,2,0,0,0
20,Watford,Leicester,2,1,-1,0,0
21,Liverpool,Leicester,2,1,-1,0,0
22,Leicester,Huddersfield,3,0,3,1,0
23,Chelsea,Leicester,0,0,0,0,0
24,Leicester,Watford,2,0,2,1,0
25,Everton,Leicester,2,1,-1,0,0
26,Leicester,Swansea,1,1,0,0,0
27,Man City,Leicester,5,1,-4,0,0
28,Leicester,Stoke,1,1,0,0,0
29,Leicester,Bournemouth,1,1,0,0,0
30,West Brom,Leicester,1,4,3,1,0
31,Brighton,Leicester,0,2,2,2,0
32,Leicester,Newcastle,1,2,-1,0,0
33,Burnley,Leicester,2,1,-1,0,0
34,Leicester,Southampton,0,0,0,0,0
35,Crystal Palace,Leicester,5,0,-5,0,0
36,Leicester,West Ham,0,2,-2,0,0
37,Leicester,Arsenal,3,1,2,1,0
38,Tottenham,Leicester,5,4,-1,0,0
