,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Everton,Stoke,1,0,1,1,0
2,Man City,Everton,1,1,0,0,0
3,Chelsea,Everton,2,0,-2,0,0
4,Everton,Tottenham,0,3,-3,0,0
5,Man United,Everton,4,0,-4,0,0
6,Everton,Bournemouth,2,1,1,1,0
7,Everton,Burnley,0,1,-1,0,0
8,Brighton,Everton,1,1,0,0,0
9,Everton,Arsenal,2,5,-3,0,0
10,Leicester,Everton,2,0,-2,0,0
11,Everton,Watford,3,2,1,1,0
12,Crystal Palace,Everton,2,2,0,0,0
13,Southampton,Everton,4,1,-3,0,0
14,Everton,West Ham,4,0,4,1,0
15,Everton,Huddersfield,2,0,2,2,0
16,Liverpool,Everton,1,1,0,0,0
17,Newcastle,Everton,0,1,1,1,0
18,Everton,Swansea,3,1,2,2,0
19,Everton,Chelsea,0,0,0,0,0
20,West Brom,Everton,0,0,0,0,0
21,Bournemouth,Everton,2,1,-1,0,0
22,Everton,Man United,0,2,-2,0,0
23,Tottenham,Everton,4,0,-4,0,0
24,Everton,West Brom,1,1,0,0,0
25,Everton,Leicester,2,1,1,1,0
26,Arsenal,Everton,5,1,-4,0,0
27,Everton,Crystal Palace,3,1,2,1,0
28,Watford,Everton,1,0,-1,0,0
29,Burnley,Everton,2,1,-1,0,0
30,Everton,Brighton,2,0,2,1,0
31,Stoke,Everton,1,2,1,2,0
32,Everton,Man City,1,3,-2,0,0
33,Everton,Liverpool,0,0,0,0,0
34,Swansea,Everton,1,1,0,0,0
35,Everton,Newcastle,1,0,1,1,0
36,Huddersfield,Everton,0,2,2,2,0
37,Everton,Southampton,1,1,0,0,0
38,West Ham,Everton,3,1,-2,0,0
