Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Watford,0,0,0,0,0,0,Draw,M Dean,4.33,3.5,1.95,4.1,3.4,1.95
Man United,1,1,1,0,0,0,Draw,M Oliver,2.15,3.3,3.9,2.1,3.2,3.9
Newcastle,1,5,1,4,1,0,Win,R Madley,1.44,4.75,8.0,1.45,4.5,7.0
Southampton,0,1,2,1,2,0,Win,M Atkinson,2.8,3.25,2.5,2.9,3.2,2.55
Norwich,0,1,2,1,3,1,Win,L Mason,5.25,4.0,1.7,5.25,3.8,1.67
Stoke,1,1,1,0,0,0,Draw,M Clattenburg,1.5,4.5,7.5,1.5,3.9,6.75
West Ham,1,2,2,0,0,0,Draw,R Madley,1.75,3.8,5.25,1.7,3.8,4.6
Aston Villa,0,0,4,4,1,0,Win,N Swarbrick,6.5,4.33,1.57,6.0,3.9,1.55
Swansea,0,1,0,-1,0,0,Loss,A Marriner,3.75,3.4,2.0,3.75,3.4,1.95
Man City,1,0,3,-3,0,0,Loss,M Dean,2.75,3.4,2.7,2.4,3.4,2.75
Bournemouth,0,1,4,3,1,0,Win,R East,3.1,3.5,2.4,2.9,3.3,2.35
Tottenham,1,2,2,0,0,0,Draw,M Clattenburg,2.75,3.6,2.63,2.65,3.5,2.6
Sunderland,0,3,2,-1,0,0,Loss,M Jones,3.0,3.5,2.45,2.95,3.3,2.35
Liverpool,0,1,1,0,0,0,Draw,M Oliver,2.0,3.8,3.8,1.95,3.5,3.7
Leicester,1,1,1,0,0,0,Draw,C Pawson,2.3,3.75,3.1,2.25,3.6,2.9
West Ham,1,2,1,1,1,0,Win,A Taylor,1.65,4.0,6.0,1.6,3.75,5.5
Watford,0,1,2,1,2,0,Win,J Moss,5.5,3.8,1.73,5.5,3.7,1.67
Burnley,1,3,0,3,3,1,Win,M Clattenburg,1.25,5.5,15.0,1.25,6.0,12.0
Swansea,0,2,2,0,0,0,Draw,A Marriner,5.75,4.0,1.67,5.75,4.0,1.65
Liverpool,1,1,2,-1,0,0,Loss,M Atkinson,2.25,3.5,3.4,2.25,3.5,3.3
Arsenal,0,3,0,-3,0,0,Loss,M Oliver,2.4,3.5,3.1,2.4,3.4,3.1
Hull,0,0,2,2,1,0,Win,A Taylor,7.5,4.5,1.5,7.0,4.5,1.45
Leicester,1,3,0,3,2,0,Win,A Marriner,1.57,4.5,6.0,1.57,4.33,6.25
Man United,1,4,0,4,3,1,Win,M Atkinson,2.15,3.4,3.8,2.25,3.3,3.6
Southampton,0,0,2,2,4,1,Win,M Jones,3.2,3.4,2.4,3.1,3.4,2.4
Everton,1,5,0,5,5,1,Win,R Madley,1.53,4.33,7.0,1.53,4.2,6.25
Middlesbrough,0,0,1,1,6,1,Win,J Moss,7.0,4.0,1.57,6.25,4.1,1.55
Tottenham,1,2,1,1,7,1,Win,M Oliver,1.75,3.8,5.25,1.75,3.8,5.0
Man City,0,1,3,2,8,1,Win,A Taylor,2.15,3.6,3.6,2.15,3.5,3.6
West Brom,1,1,0,1,9,1,Win,M Dean,1.25,6.25,15.0,1.26,6.25,10.5
Sunderland,0,0,1,1,10,1,Win,N Swarbrick,10.0,5.75,1.33,9.5,5.0,1.34
Crystal Palace,0,0,1,1,11,1,Win,J Moss,6.5,4.2,1.57,6.0,4.1,1.57
Bournemouth,1,3,0,3,12,1,Win,M Jones,1.36,5.0,8.5,1.36,4.6,8.25
Stoke,1,4,2,2,13,1,Win,R Madley,1.25,6.5,14.0,1.26,5.75,11.5
Tottenham,0,2,0,-2,0,0,Loss,M Atkinson,2.63,3.25,2.63,2.85,3.3,2.55
Leicester,0,0,3,3,1,0,Win,A Marriner,6.0,4.1,1.62,5.75,3.8,1.62
Hull,1,2,0,2,2,0,Win,N Swarbrick,1.18,8.0,19.0,1.16,7.75,16.5
Liverpool,0,1,1,0,0,0,Draw,M Clattenburg,2.65,3.25,2.9,2.6,3.3,2.9
Arsenal,1,3,1,2,1,0,Win,M Atkinson,1.95,3.6,4.2,1.95,3.5,4.0
