Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Newcastle,1,3,0,3,1,0,Win,C Pawson,1.65,4.2,5.5,1.67,3.5,5.25
Stoke,0,0,3,3,2,0,Win,A Marriner,2.7,3.4,2.8,2.6,3.3,2.75
West Brom,1,0,1,-1,0,0,Loss,M Oliver,1.53,4.2,7.5,1.53,3.9,6.25
Aston Villa,0,1,3,2,1,0,Win,R East,4.5,3.6,1.91,4.33,3.6,1.85
West Ham,1,2,3,-1,0,0,Loss,A Taylor,1.73,4.0,5.0,1.7,3.6,5.0
Arsenal,1,0,2,-2,0,0,Loss,M Clattenburg,2.7,3.5,2.7,2.6,3.4,2.55
Man United,0,1,0,-1,0,0,Loss,A Marriner,2.1,3.5,3.75,2.0,3.4,3.6
Watford,0,1,1,0,0,0,Draw,K Friend,3.4,3.3,2.15,3.4,3.25,2.15
Crystal Palace,0,0,0,0,0,0,Draw,M Jones,2.9,3.4,2.6,2.95,3.2,2.4
Southampton,1,1,1,0,0,0,Draw,C Pawson,2.7,3.4,2.8,2.5,3.25,2.75
Liverpool,0,4,0,-4,0,0,Loss,R Madley,1.73,4.0,5.0,1.7,3.75,4.75
Bournemouth,1,2,1,1,1,0,Win,N Swarbrick,2.0,3.8,3.8,2.0,3.6,3.7
Leicester,0,3,1,-2,0,0,Loss,A Marriner,1.91,4.0,4.0,1.83,3.5,4.25
Sunderland,0,3,0,-3,0,0,Loss,A Taylor,1.75,4.0,5.0,1.72,3.5,5.0
Norwich,1,3,0,3,1,0,Win,L Mason,1.8,4.0,4.5,1.75,3.8,4.33
Tottenham,1,1,1,0,0,0,Draw,M Atkinson,3.2,3.4,2.4,2.95,3.2,2.4
West Brom,0,1,2,1,1,0,Win,N Swarbrick,3.0,3.25,2.6,2.95,3.1,2.55
Stoke,1,1,0,1,2,0,Win,M Oliver,1.73,3.6,5.25,1.72,3.75,5.0
Sunderland,0,0,3,3,3,1,Win,M Jones,3.8,3.5,2.1,3.8,3.5,2.1
Middlesbrough,1,3,1,2,4,1,Win,L Mason,1.67,3.8,6.0,1.65,3.8,5.5
Bournemouth,0,1,0,-1,0,0,Loss,R Madley,3.6,3.5,2.15,3.6,3.4,2.1
Crystal Palace,1,1,1,0,0,0,Draw,J Moss,1.73,4.0,5.0,1.72,3.75,5.0
Man City,0,1,1,0,0,0,Draw,M Oliver,1.5,4.75,7.0,1.48,4.75,6.25
Burnley,0,2,1,-1,0,0,Loss,M Jones,6.0,3.8,1.67,6.0,3.8,1.62
West Ham,1,2,0,2,1,0,Win,A Taylor,1.8,3.8,4.75,1.8,3.9,4.5
Chelsea,0,5,0,-5,0,0,Loss,R Madley,1.53,4.33,7.0,1.53,4.2,6.25
Swansea,1,1,1,0,0,0,Draw,M Atkinson,1.6,4.33,6.0,1.55,4.1,6.25
Southampton,0,1,0,-1,0,0,Loss,C Pawson,2.2,3.4,3.6,2.1,3.3,3.7
Man United,1,1,1,0,0,0,Draw,M Oliver,3.6,3.5,2.15,3.7,3.5,2.1
Watford,0,3,2,-1,0,0,Loss,A Taylor,3.1,3.4,2.45,3.0,3.3,2.4
Arsenal,1,2,1,1,1,0,Win,M Clattenburg,4.2,3.75,1.91,4.25,3.7,1.9
Liverpool,1,0,1,-1,0,0,Loss,M Dean,4.2,3.6,1.95,4.1,3.6,1.9
Leicester,0,0,2,2,1,0,Win,S Attwell,2.5,3.3,2.9,2.4,3.3,2.85
Hull,0,2,2,0,0,0,Draw,J Moss,4.33,3.5,1.95,4.25,3.5,1.95
Southampton,1,3,0,3,1,0,Win,K Friend,2.2,3.4,3.6,2.15,3.3,3.5
Man City,1,4,0,4,2,0,Win,M Clattenburg,4.5,4.0,1.8,4.4,3.8,1.78
Crystal Palace,0,0,1,1,3,1,Win,A Taylor,3.25,3.4,2.38,3.0,3.4,2.35
Stoke,0,1,1,0,0,0,Draw,C Pawson,2.88,3.4,2.63,2.75,3.3,2.6
Bournemouth,1,6,3,3,1,0,Win,M Jones,1.7,4.0,5.25,1.7,3.8,5.0
Middlesbrough,0,0,0,0,0,0,Draw,M Dean,3.9,3.3,2.15,3.7,3.3,2.1
Sunderland,1,2,0,2,1,0,Win,S Attwell,1.4,5.25,8.5,1.4,4.6,8.5
Tottenham,0,3,2,-1,0,0,Loss,M Oliver,1.67,4.2,5.25,1.6,4.0,5.75
West Brom,1,3,0,3,1,0,Win,G Scott,1.67,3.8,6.0,1.6,3.7,5.75
Hull,1,4,0,4,2,0,Win,P Tierney,1.53,4.33,7.0,1.53,4.1,6.75
Liverpool,0,3,1,-2,0,0,Loss,A Taylor,1.73,3.9,5.25,1.67,4.0,5.0
Man United,0,1,1,0,0,0,Draw,N Swarbrick,1.57,4.2,6.5,1.55,4.0,6.5
Leicester,1,4,2,2,1,0,Win,R Madley,1.75,3.9,5.0,1.72,3.6,5.25
Burnley,1,3,1,2,2,0,Win,M Clattenburg,1.4,4.5,8.0,1.45,4.25,6.75
West Ham,0,0,0,0,0,0,Draw,R East,3.3,3.6,2.25,3.3,3.4,2.2
Chelsea,1,0,3,-3,0,0,Loss,J Moss,3.5,3.6,2.0,3.75,3.3,2.0
Swansea,0,1,0,-1,0,0,Loss,M Atkinson,2.8,3.5,2.63,2.75,3.4,2.55
Watford,1,1,0,1,1,0,Win,K Friend,1.5,4.5,7.5,1.45,4.5,7.25
Arsenal,0,3,1,-2,0,0,Loss,M Oliver,1.45,5.0,7.5,1.42,4.6,7.5
Stoke,1,1,0,1,1,0,Win,N Swarbrick,1.7,3.8,5.75,1.7,3.6,5.5
Man City,0,1,1,0,0,0,Draw,R Madley,1.33,5.75,10.0,1.33,5.25,9.25
Chelsea,0,2,0,-2,0,0,Loss,J Moss,1.45,4.5,8.5,1.42,4.6,8.0
Tottenham,1,0,3,-3,0,0,Loss,G Scott,3.8,3.5,2.1,3.6,3.4,2.1
Man United,0,4,0,-4,0,0,Loss,A Marriner,1.36,5.25,10.0,1.34,5.0,10.0
Bournemouth,1,2,1,1,1,0,Win,M Atkinson,1.65,4.0,5.75,1.65,3.75,5.5
Burnley,1,0,1,-1,0,0,Loss,J Moss,1.67,3.6,5.75,1.62,3.7,5.5
Brighton,0,1,1,0,0,0,Draw,M Oliver,3.25,3.3,2.4,3.2,3.2,2.35
Arsenal,1,2,5,-3,0,0,Loss,C Pawson,3.79,3.6,2.04,3.9,3.6,1.95
Leicester,0,2,0,-2,0,0,Loss,A Marriner,2.14,3.39,3.75,2.15,3.3,3.6
Watford,1,3,2,1,1,0,Win,G Scott,2.2,3.39,3.6,2.1,3.4,3.6
Crystal Palace,0,2,2,0,0,0,Draw,A Taylor,2.39,3.25,3.29,2.4,3.25,3.1
Southampton,0,4,1,-3,0,0,Loss,K Friend,1.9,3.39,4.75,1.83,3.5,4.6
West Ham,1,4,0,4,1,0,Win,M Oliver,2.37,3.29,3.29,2.3,3.3,3.2
Huddersfield,1,2,0,2,2,0,Win,C Kavanagh,1.72,3.79,5.5,1.7,3.7,5.25
Liverpool,0,1,1,0,0,0,Draw,C Pawson,1.3,6.0,11.0,1.3,5.5,10.0
Newcastle,0,0,1,1,1,0,Win,M Atkinson,2.39,3.29,3.25,2.35,3.2,3.25
Swansea,1,3,1,2,2,0,Win,J Moss,1.72,3.75,5.5,1.67,3.7,5.5
Chelsea,1,0,0,0,0,0,Draw,R Madley,6.0,3.89,1.66,6.0,3.75,1.62
West Brom,0,0,0,0,0,0,Draw,R East,2.54,3.2,3.1,2.4,3.1,3.2
Bournemouth,0,2,1,-1,0,0,Loss,L Probert,2.37,3.29,3.29,2.35,3.2,3.2
Man United,1,0,2,-2,0,0,Loss,A Marriner,5.5,3.5,1.8,5.25,3.5,1.75
Tottenham,0,4,0,-4,0,0,Loss,C Pawson,1.28,6.0,13.0,1.25,6.0,12.5
West Brom,1,1,1,0,0,0,Draw,S Attwell,2.14,3.2,4.0,2.1,3.1,4.0
Leicester,1,2,1,1,1,0,Win,C Kavanagh,3.0,3.2,2.62,2.95,3.1,2.55
Arsenal,0,5,1,-4,0,0,Loss,N Swarbrick,1.3,5.75,12.0,1.3,5.25,10.5
Crystal Palace,1,3,1,2,1,0,Win,J Moss,2.25,3.25,3.2,2.25,3.2,3.4
Watford,0,1,0,-1,0,0,Loss,A Taylor,2.25,3.39,3.5,2.2,3.2,3.5
Burnley,0,2,1,-1,0,0,Loss,C Kavanagh,2.5,3.1,3.29,2.5,3.0,3.2
Brighton,1,2,0,2,1,0,Win,R East,2.2,3.2,3.89,2.2,3.1,3.7
Stoke,0,1,2,1,2,0,Win,M Atkinson,2.5,3.29,3.1,2.4,3.2,3.1
Man City,1,1,3,-2,0,0,Loss,P Tierney,9.0,5.0,1.33,8.5,5.0,1.36
