Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Leicester,1,2,0,2,3,1,Win,M Oliver
Stoke,0,2,2,0,0,0,Draw,N Swarbrick
Everton,1,4,0,4,1,0,Win,A Marriner
Southampton,0,0,1,1,2,0,Win,C Pawson
Crystal Palace,1,4,0,4,3,1,Win,M Dean
Liverpool,0,0,0,0,0,0,Draw,M Atkinson
Huddersfield,0,2,1,-1,0,0,Loss,L Mason
Tottenham,1,1,0,1,1,0,Win,J Moss
Chelsea,0,1,0,-1,0,0,Loss,A Taylor
Newcastle,1,4,1,3,1,0,Win,C Pawson
Brighton,1,1,0,1,2,0,Win,N Swarbrick
Watford,0,2,4,2,3,1,Win,J Moss
Arsenal,0,1,3,2,4,1,Win,A Marriner
Man City,1,1,2,-1,0,0,Loss,M Oliver
Bournemouth,1,1,0,1,1,0,Win,G Scott
West Brom,0,1,2,1,2,0,Win,A Taylor
Leicester,0,2,2,0,0,0,Draw,J Moss
Burnley,1,2,2,0,0,0,Draw,M Atkinson
Southampton,1,0,0,0,0,0,Draw,C Pawson
Everton,0,0,2,2,1,0,Win,A Marriner
Stoke,1,3,0,3,2,0,Win,A Taylor
Burnley,0,0,1,1,3,1,Win,M Dean
Tottenham,0,2,0,-2,0,0,Loss,A Marriner
Huddersfield,1,2,0,2,1,0,Win,S Attwell
Newcastle,0,1,0,-1,0,0,Loss,C Pawson
Chelsea,1,2,1,1,1,0,Win,M Atkinson
Crystal Palace,0,2,3,1,2,0,Win,N Swarbrick
Liverpool,1,2,1,1,3,1,Win,C Pawson
Swansea,1,2,0,2,4,1,Win,R Madley
Man City,0,2,3,1,5,1,Win,M Atkinson
West Brom,1,0,1,-1,0,0,Loss,P Tierney
Bournemouth,0,0,2,2,1,0,Win,G Scott
Arsenal,1,2,1,1,2,0,Win,K Friend
Brighton,0,1,0,-1,0,0,Loss,C Pawson
West Ham,0,0,0,0,0,0,Draw,J Moss
Watford,1,1,0,1,1,0,Win,L Mason
Leicester,1,2,1,1,1,0,Win,A Marriner
Brighton,0,3,2,-1,0,0,Loss,K Friend
Tottenham,1,0,3,-3,0,0,Loss,C Pawson
Burnley,0,0,2,2,1,0,Win,J Moss
Watford,0,1,2,1,2,0,Win,M Dean
Wolves,1,1,1,0,0,0,Draw,K Friend
West Ham,0,3,1,-2,0,0,Loss,M Oliver
Newcastle,1,3,2,1,1,0,Win,A Taylor
Chelsea,0,2,2,0,0,0,Draw,M Dean
Everton,1,2,1,1,1,0,Win,J Moss
Bournemouth,0,1,2,1,2,0,Win,P Tierney
Man City,0,3,1,-2,0,0,Loss,A Taylor
Crystal Palace,1,0,0,0,0,0,Draw,L Mason
Southampton,0,2,2,0,0,0,Draw,K Friend
Arsenal,1,2,2,0,0,0,Draw,A Marriner
Fulham,1,4,1,3,1,0,Win,L Probert
Liverpool,0,3,1,-2,0,0,Loss,M Atkinson
Cardiff,0,1,5,4,1,0,Win,M Oliver
Huddersfield,1,3,1,2,2,0,Win,J Moss
Bournemouth,1,4,1,3,3,1,Win,L Mason
Newcastle,0,0,2,2,4,1,Win,A Marriner
Tottenham,0,0,1,1,5,1,Win,M Dean
Brighton,1,2,1,1,6,1,Win,P Tierney
Burnley,1,2,2,0,0,0,Draw,J Moss
Leicester,0,0,1,1,1,0,Win,M Dean
Fulham,0,0,3,3,2,0,Win,P Tierney
Liverpool,1,0,0,0,0,0,Draw,M Oliver
Crystal Palace,0,1,3,2,1,0,Win,M Atkinson
Southampton,1,3,2,1,2,0,Win,S Attwell
Arsenal,0,2,0,-2,0,0,Loss,J Moss
Watford,1,2,1,1,1,0,Win,S Attwell
Wolves,0,2,1,-1,0,0,Loss,M Dean
West Ham,1,2,1,1,1,0,Win,G Scott
Everton,0,4,0,-4,0,0,Loss,P Tierney
Man City,1,0,2,-2,0,0,Loss,A Marriner
Chelsea,1,1,1,0,0,0,Draw,M Atkinson
Huddersfield,0,1,1,0,0,0,Draw,L Mason
Cardiff,1,0,2,-2,0,0,Loss,J Moss
Chelsea,1,4,0,4,1,0,Win,A Taylor
Wolves,0,1,1,0,0,0,Draw,J Moss
Crystal Palace,1,1,2,-1,0,0,Loss,P Tierney
Southampton,0,1,1,0,0,0,Draw,M Dean
Leicester,1,1,0,1,1,0,Win,M Atkinson
West Ham,0,2,0,-2,0,0,Loss,A Taylor
Arsenal,1,1,1,0,0,0,Draw,K Friend
Newcastle,0,1,0,-1,0,0,Loss,M Dean
Liverpool,1,1,1,0,0,0,Draw,M Atkinson
Norwich,0,1,3,2,1,0,Win,S Attwell
Bournemouth,0,1,0,-1,0,0,Loss,C Kavanagh
Brighton,1,3,1,2,1,0,Win,J Moss
Sheffield United,0,3,3,0,0,0,Draw,A Marriner
Aston Villa,1,2,2,0,0,0,Draw,C Pawson
Tottenham,1,2,1,1,1,0,Win,P Tierney
Man City,0,1,2,1,2,0,Win,A Taylor
Everton,1,1,1,0,0,0,Draw,M Oliver
Watford,0,2,0,-2,0,0,Loss,L Mason
Newcastle,1,4,1,3,1,0,Win,K Friend
Burnley,0,0,2,2,2,0,Win,M Dean
Arsenal,0,2,0,-2,0,0,Loss,C Kavanagh
Norwich,1,4,0,4,1,0,Win,A Taylor
Liverpool,0,2,0,-2,0,0,Loss,C Pawson
Burnley,1,0,2,-2,0,0,Loss,J Moss
Wolves,1,0,0,0,0,0,Draw,P Tierney
Chelsea,0,0,2,2,1,0,Win,A Taylor
Watford,1,3,0,3,2,0,Win,M Atkinson
Everton,0,1,1,0,0,0,Draw,C Kavanagh
Man City,1,2,0,2,1,0,Win,M Dean
Tottenham,0,1,1,0,0,0,Draw,J Moss
Sheffield United,1,3,0,3,1,0,Win,A Taylor
Brighton,0,0,3,3,2,0,Win,A Marriner
Bournemouth,1,5,2,3,3,1,Win,M Dean
Aston Villa,0,0,3,3,4,1,Win,J Moss
Southampton,1,2,2,0,0,0,Draw,C Kavanagh
Crystal Palace,0,0,2,2,1,0,Win,G Scott
West Ham,1,1,1,0,0,0,Draw,P Tierney
Leicester,0,0,2,2,1,0,Win,M Atkinson
Bournemouth,0,1,3,2,1,0,Win,A Marriner
Southampton,1,2,0,2,2,0,Win,A Taylor
Hull,0,0,1,1,3,1,Win,J Moss
Man City,1,1,2,-1,0,0,Loss,M Clattenburg
Watford,0,3,1,-2,0,0,Loss,M Oliver
Leicester,1,4,1,3,1,0,Win,M Dean
Stoke,1,1,1,0,0,0,Draw,R Madley
Liverpool,0,0,0,0,0,0,Draw,A Taylor
Chelsea,0,4,0,-4,0,0,Loss,M Atkinson
Burnley,1,0,0,0,0,0,Draw,M Clattenburg
Swansea,0,1,3,2,1,0,Win,N Swarbrick
Arsenal,1,1,1,0,0,0,Draw,A Marriner
West Ham,1,1,1,0,0,0,Draw,J Moss
Everton,0,1,1,0,0,0,Draw,M Oliver
Tottenham,1,1,0,1,1,0,Win,R Madley
Crystal Palace,0,1,2,1,2,0,Win,C Pawson
West Brom,0,0,2,2,3,1,Win,A Taylor
Sunderland,1,3,1,2,4,1,Win,M Atkinson
Middlesbrough,1,2,1,1,5,1,Win,L Mason
West Ham,0,0,2,2,6,1,Win,M Dean
Liverpool,1,1,1,0,0,0,Draw,M Oliver
Stoke,0,1,1,0,0,0,Draw,M Clattenburg
Hull,1,0,0,0,0,0,Draw,M Jones
Leicester,0,0,3,3,1,0,Win,A Taylor
Watford,1,2,0,2,2,0,Win,R Madley
Bournemouth,1,1,1,0,0,0,Draw,K Friend
Middlesbrough,0,1,3,2,1,0,Win,J Moss
West Brom,1,0,0,0,0,0,Draw,M Dean
Everton,1,1,1,0,0,0,Draw,N Swarbrick
Sunderland,0,0,3,3,1,0,Win,C Pawson
Chelsea,1,2,0,2,2,0,Win,R Madley
Burnley,0,0,2,2,3,1,Win,A Taylor
Man City,0,0,0,0,0,0,Draw,M Atkinson
Swansea,1,1,1,0,0,0,Draw,N Swarbrick
Arsenal,0,2,0,-2,0,0,Loss,A Marriner
Tottenham,0,2,1,-1,0,0,Loss,J Moss
Southampton,0,0,0,0,0,0,Draw,M Dean
Crystal Palace,1,2,0,2,1,0,Win,A Taylor
Leeds,1,5,1,4,1,0,Win,P Tierney
Southampton,0,1,1,0,0,0,Draw,C Pawson
Wolves,0,0,1,1,1,0,Win,M Dean
Newcastle,1,4,1,3,2,0,Win,A Taylor
West Ham,0,1,2,1,3,1,Win,M Atkinson
Aston Villa,1,0,1,-1,0,0,Loss,M Dean
Everton,1,1,1,0,0,0,Draw,M Oliver
Leicester,0,4,2,-2,0,0,Loss,C Pawson
Liverpool,1,0,5,-5,0,0,Loss,A Taylor
Tottenham,0,0,3,3,1,0,Win,S Attwell
Man City,1,0,2,-2,0,0,Loss,M Oliver
Watford,0,4,1,-3,0,0,Loss,J Moss
Chelsea,0,1,1,0,0,0,Draw,A Taylor
