Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Man City,0,1,1,0,0,0,Draw,R Madley
Chelsea,0,2,0,-2,0,0,Loss,J Moss
Tottenham,1,0,3,-3,0,0,Loss,G Scott
Man United,0,4,0,-4,0,0,Loss,A Marriner
Bournemouth,1,2,1,1,1,0,Win,M Atkinson
Burnley,1,0,1,-1,0,0,Loss,J Moss
Brighton,0,1,1,0,0,0,Draw,M Oliver
Arsenal,1,2,5,-3,0,0,Loss,C Pawson
Leicester,0,2,0,-2,0,0,Loss,A Marriner
Watford,1,3,2,1,1,0,Win,G Scott
Crystal Palace,0,2,2,0,0,0,Draw,A Taylor
Southampton,0,4,1,-3,0,0,Loss,K Friend
West Ham,1,4,0,4,1,0,Win,M Oliver
Huddersfield,1,2,0,2,2,0,Win,C Kavanagh
Liverpool,0,1,1,0,0,0,Draw,C Pawson
Newcastle,0,0,1,1,1,0,Win,M Atkinson
Swansea,1,3,1,2,2,0,Win,J Moss
Chelsea,1,0,0,0,0,0,Draw,R Madley
West Brom,0,0,0,0,0,0,Draw,R East
Bournemouth,0,2,1,-1,0,0,Loss,L Probert
Man United,1,0,2,-2,0,0,Loss,A Marriner
Tottenham,0,4,0,-4,0,0,Loss,C Pawson
West Brom,1,1,1,0,0,0,Draw,S Attwell
Leicester,1,2,1,1,1,0,Win,C Kavanagh
Arsenal,0,5,1,-4,0,0,Loss,N Swarbrick
Crystal Palace,1,3,1,2,1,0,Win,J Moss
Watford,0,1,0,-1,0,0,Loss,A Taylor
Burnley,0,2,1,-1,0,0,Loss,C Kavanagh
Brighton,1,2,0,2,1,0,Win,R East
Stoke,0,1,2,1,2,0,Win,M Atkinson
Man City,1,1,3,-2,0,0,Loss,P Tierney
Liverpool,1,0,0,0,0,0,Draw,M Oliver
Swansea,0,1,1,0,0,0,Draw,L Mason
Newcastle,1,1,0,1,1,0,Win,R Madley
Huddersfield,0,0,2,2,2,0,Win,L Probert
Southampton,1,1,1,0,0,0,Draw,J Moss
West Ham,0,3,1,-2,0,0,Loss,G Scott
Wolves,0,2,2,0,0,0,Draw,C Pawson
Southampton,1,2,1,1,1,0,Win,L Mason
Bournemouth,0,2,2,0,0,0,Draw,L Probert
Huddersfield,1,1,1,0,0,0,Draw,S Attwell
West Ham,1,1,3,-2,0,0,Loss,M Atkinson
Arsenal,0,2,0,-2,0,0,Loss,J Moss
Fulham,1,3,0,3,1,0,Win,R East
Leicester,0,1,2,1,2,0,Win,A Marriner
