Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Arsenal,1,4,0,4,2,0,Win,C Pawson
Man City,0,5,0,-5,0,0,Loss,J Moss
Burnley,1,1,1,0,0,0,Draw,R East
Leicester,0,2,3,1,1,0,Win,A Taylor
Newcastle,0,1,1,0,0,0,Draw,C Pawson
Man United,1,0,0,0,0,0,Draw,M Atkinson
Tottenham,0,4,1,-3,0,0,Loss,A Marriner
Huddersfield,1,3,0,3,1,0,Win,K Friend
West Ham,0,1,4,3,2,0,Win,N Swarbrick
Southampton,1,3,0,3,3,1,Win,M Jones
Chelsea,1,1,1,0,0,0,Draw,M Oliver
Stoke,0,0,3,3,1,0,Win,M Atkinson
Brighton,0,1,5,4,2,0,Win,G Scott
Everton,1,1,1,0,0,0,Draw,C Pawson
West Brom,1,0,0,0,0,0,Draw,P Tierney
Bournemouth,0,0,4,4,1,0,Win,A Marriner
Arsenal,0,3,3,0,0,0,Draw,M Atkinson
Swansea,1,5,0,5,1,0,Win,K Friend
Leicester,1,2,1,1,2,0,Win,N Swarbrick
Burnley,0,1,2,1,3,1,Win,R East
Man City,1,4,3,1,4,1,Win,A Marriner
Swansea,0,1,0,-1,0,0,Loss,N Swarbrick
Huddersfield,0,0,3,3,1,0,Win,K Friend
Tottenham,1,2,2,0,0,0,Draw,J Moss
Southampton,0,0,2,2,1,0,Win,M Atkinson
West Ham,1,4,1,3,2,0,Win,S Attwell
Newcastle,1,2,0,2,3,1,Win,G Scott
Man United,0,2,1,-1,0,0,Loss,C Pawson
Watford,1,5,0,5,1,0,Win,A Taylor
Crystal Palace,0,1,2,1,2,0,Win,N Swarbrick
Everton,0,0,0,0,0,0,Draw,M Oliver
Bournemouth,1,3,0,3,1,0,Win,C Kavanagh
West Brom,0,2,2,0,0,0,Draw,S Attwell
Stoke,1,0,0,0,0,0,Draw,A Marriner
Chelsea,0,1,0,-1,0,0,Loss,A Taylor
Brighton,1,4,0,4,1,0,Win,K Friend
West Ham,1,4,0,4,1,0,Win,A Taylor
Crystal Palace,0,0,2,2,2,0,Win,M Oliver
Brighton,1,1,0,1,3,1,Win,C Kavanagh
Leicester,0,1,2,1,4,1,Win,P Tierney
Tottenham,0,1,2,1,5,1,Win,M Oliver
Southampton,1,3,0,3,6,1,Win,P Tierney
Chelsea,0,1,1,0,0,0,Draw,A Marriner
Man City,1,0,0,0,0,0,Draw,M Atkinson
Huddersfield,0,0,1,1,1,0,Win,M Oliver
Cardiff,1,4,1,3,2,0,Win,S Attwell
Arsenal,0,1,1,0,0,0,Draw,A Marriner
Fulham,1,2,0,2,1,0,Win,P Tierney
Watford,0,0,3,3,2,0,Win,J Moss
Everton,1,1,0,1,3,1,Win,C Kavanagh
Burnley,0,1,3,2,4,1,Win,S Attwell
Bournemouth,0,0,4,4,5,1,Win,L Mason
Man United,1,3,1,2,6,1,Win,M Atkinson
Wolves,0,0,2,2,7,1,Win,C Pawson
Newcastle,1,4,0,4,8,1,Win,G Scott
Arsenal,1,5,1,4,9,1,Win,M Oliver
Man City,0,2,1,-1,0,0,Loss,A Taylor
Brighton,0,0,1,1,1,0,Win,K Friend
Crystal Palace,1,4,3,1,2,0,Win,J Moss
Leicester,1,1,1,0,0,0,Draw,M Atkinson
West Ham,0,1,1,0,0,0,Draw,K Friend
Bournemouth,1,3,0,3,1,0,Win,A Taylor
Man United,0,0,0,0,0,0,Draw,M Oliver
Watford,1,5,0,5,1,0,Win,G Scott
Everton,0,0,0,0,0,0,Draw,M Atkinson
Burnley,1,4,2,2,1,0,Win,A Marriner
Fulham,0,1,2,1,2,0,Win,C Pawson
Tottenham,1,2,1,1,3,1,Win,M Atkinson
Southampton,0,1,3,2,4,1,Win,P Tierney
Chelsea,1,2,0,2,5,1,Win,M Oliver
Cardiff,0,0,2,2,6,1,Win,M Atkinson
Huddersfield,1,5,0,5,7,1,Win,K Friend
