Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Swansea,1,0,0,0,0,0,Draw,M Dean
West Ham,0,2,3,1,1,0,Win,M Oliver
Huddersfield,0,0,4,4,2,0,Win,N Swarbrick
Bournemouth,1,1,0,1,3,1,Win,R Madley
Liverpool,1,4,1,3,4,1,Win,A Marriner
Man United,0,1,0,-1,0,0,Loss,J Moss
Crystal Palace,1,1,0,1,1,0,Win,K Friend
Arsenal,0,2,0,-2,0,0,Loss,M Dean
West Brom,1,1,1,0,0,0,Draw,M Jones
Leicester,0,2,1,-1,0,0,Loss,A Taylor
Watford,0,1,1,0,0,0,Draw,M Atkinson
Stoke,1,5,1,4,1,0,Win,R East
Brighton,1,2,0,2,2,0,Win,R Madley
Man City,0,4,1,-3,0,0,Loss,C Pawson
Burnley,0,0,3,3,1,0,Win,M Oliver
Southampton,1,5,2,3,2,0,Win,G Scott
Swansea,0,0,2,2,3,1,Win,R Madley
West Ham,1,1,1,0,0,0,Draw,M Dean
Everton,1,4,0,4,1,0,Win,C Pawson
Southampton,0,1,1,0,0,0,Draw,K Friend
Man United,1,2,0,2,1,0,Win,A Marriner
Liverpool,0,2,2,0,0,0,Draw,J Moss
Arsenal,1,1,0,1,1,0,Win,A Taylor
Crystal Palace,0,0,1,1,2,0,Win,K Friend
Huddersfield,1,2,0,2,3,1,Win,K Friend
Bournemouth,0,1,4,3,4,1,Win,M Dean
Chelsea,0,1,3,2,5,1,Win,A Marriner
Stoke,0,1,2,1,6,1,Win,G Scott
Man City,1,1,3,-2,0,0,Loss,J Moss
Brighton,0,1,1,0,0,0,Draw,K Friend
Watford,1,2,0,2,1,0,Win,M Oliver
West Brom,0,1,0,-1,0,0,Loss,M Jones
Newcastle,1,1,0,1,1,0,Win,N Swarbrick
Leicester,1,5,4,1,2,0,Win,C Pawson
Newcastle,0,1,2,1,1,0,Win,M Atkinson
Fulham,1,3,1,2,2,0,Win,A Taylor
Man United,0,0,3,3,3,1,Win,C Pawson
Watford,0,2,1,-1,0,0,Loss,A Marriner
Liverpool,1,1,2,-1,0,0,Loss,M Oliver
Brighton,0,1,2,1,1,0,Win,C Kavanagh
Huddersfield,0,0,2,2,2,0,Win,C Pawson
Cardiff,1,1,0,1,3,1,Win,M Dean
West Ham,0,0,1,1,4,1,Win,M Atkinson
Man City,1,0,1,-1,0,0,Loss,K Friend
Wolves,0,2,3,1,1,0,Win,M Dean
Crystal Palace,0,0,1,1,2,0,Win,J Moss
Chelsea,1,3,1,2,3,1,Win,M Atkinson
Arsenal,0,4,2,-2,0,0,Loss,M Dean
Southampton,1,3,1,2,1,0,Win,A Taylor
Leicester,0,0,2,2,2,0,Win,C Pawson
Burnley,1,1,0,1,3,1,Win,G Scott
Everton,0,2,6,4,4,1,Win,P Tierney
Bournemouth,1,5,0,5,5,1,Win,C Kavanagh
Wolves,1,1,3,-2,0,0,Loss,S Attwell
Cardiff,0,0,3,3,1,0,Win,K Friend
Man United,1,0,1,-1,0,0,Loss,M Dean
Fulham,0,1,2,1,1,0,Win,C Pawson
Watford,1,2,1,1,2,0,Win,G Scott
Newcastle,1,1,0,1,3,1,Win,A Marriner
Leicester,1,3,1,2,4,1,Win,M Oliver
Burnley,0,2,1,-1,0,0,Loss,M Dean
Chelsea,0,2,0,-2,0,0,Loss,A Marriner
Arsenal,1,1,1,0,0,0,Draw,A Taylor
Southampton,0,2,1,-1,0,0,Loss,K Friend
Liverpool,0,2,1,-1,0,0,Loss,M Atkinson
Crystal Palace,1,2,0,2,1,0,Win,A Marriner
Huddersfield,1,4,0,4,2,0,Win,L Mason
