Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Bournemouth,1,1,2,-1,0,0,Loss,M Jones,2.45,3.3,3.2,2.4,3.2,2.9
Swansea,0,1,1,0,0,0,Draw,M Dean,2.25,3.3,3.6,2.25,3.2,3.2
Watford,1,1,2,-1,0,0,Loss,R East,2.25,3.3,3.6,2.25,3.2,3.2
West Brom,0,3,2,-1,0,0,Loss,J Moss,2.6,3.1,2.8,2.6,3.1,2.9
Sunderland,0,2,2,0,0,0,Draw,A Taylor,2.5,3.3,3.1,2.45,3.2,3.0
Liverpool,1,1,2,-1,0,0,Loss,A Marriner,3.8,3.5,2.1,3.5,3.2,2.1
Leicester,1,0,1,-1,0,0,Loss,M Jones,3.0,3.4,2.5,2.95,3.2,2.4
West Ham,0,2,2,0,0,0,Draw,M Clattenburg,1.95,3.6,4.2,1.91,3.4,3.9
Norwich,1,1,0,1,1,0,Win,M Oliver,2.05,3.4,3.6,1.95,3.3,3.9
Everton,1,0,0,0,0,0,Draw,M Jones,2.9,3.4,2.6,2.95,3.2,2.4
Arsenal,0,1,1,0,0,0,Draw,R East,1.33,5.75,9.5,1.33,5.0,8.75
Man United,0,2,0,-2,0,0,Loss,L Mason,1.53,4.33,7.0,1.53,4.0,6.0
Newcastle,0,1,0,-1,0,0,Loss,M Dean,2.0,3.6,4.0,1.95,3.5,4.0
Stoke,1,2,1,1,1,0,Win,K Friend,2.05,3.5,3.9,2.05,3.2,3.7
Southampton,0,4,1,-3,0,0,Loss,M Oliver,1.36,5.5,9.0,1.33,4.75,9.25
West Brom,1,0,1,-1,0,0,Loss,C Pawson,2.0,3.3,4.5,2.0,3.2,3.9
Tottenham,0,1,0,-1,0,0,Loss,M Oliver,1.45,4.75,8.0,1.44,4.5,7.75
Bournemouth,1,1,1,0,0,0,Draw,M Dean,2.3,3.2,3.3,2.35,3.2,3.2
Middlesbrough,0,1,2,1,1,0,Win,N Swarbrick,2.3,3.2,3.6,2.2,3.2,3.5
Stoke,1,4,1,3,2,0,Win,C Pawson,2.0,3.5,4.2,2.0,3.4,3.9
Sunderland,0,2,3,1,3,1,Win,A Taylor,2.88,3.25,2.7,2.8,3.2,2.6
