Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Norwich,0,0,3,3,3,1,Win,K Friend,4.5,3.75,1.85,4.25,3.4,1.85
Watford,1,1,0,1,4,1,Win,R East,1.5,4.33,8.0,1.5,4.0,6.5
Man City,0,1,2,1,5,1,Win,M Clattenburg,2.1,3.75,3.6,2.1,3.5,3.6
Swansea,1,2,1,1,6,1,Win,M Jones,1.4,4.2,9.0,1.45,3.9,8.0
West Ham,0,1,0,-1,0,0,Loss,A Marriner,4.0,3.6,2.0,3.7,3.3,2.0
Arsenal,1,2,2,0,0,0,Draw,M Oliver,2.38,3.4,3.25,2.35,3.4,2.85
Aston Villa,0,0,2,2,1,0,Win,A Taylor,7.5,4.5,1.5,7.0,4.2,1.45
Bournemouth,1,3,0,3,2,0,Win,N Swarbrick,1.53,4.33,7.0,1.5,4.33,5.75
Liverpool,0,1,1,0,0,0,Draw,J Moss,2.5,3.4,3.0,2.45,3.3,2.8
Man United,1,3,0,3,1,0,Win,M Dean,1.91,3.5,4.0,1.91,3.3,4.1
Stoke,0,0,4,4,2,0,Win,N Swarbrick,4.5,3.75,1.85,4.1,3.5,1.85
West Brom,1,1,1,0,0,0,Draw,M Jones,1.22,7.0,15.0,1.25,5.5,12.0
Chelsea,0,2,2,0,0,0,Draw,M Clattenburg,2.75,3.6,2.63,2.65,3.5,2.6
Southampton,1,1,2,-1,0,0,Loss,J Moss,2.05,3.6,3.9,1.91,3.6,3.7
Newcastle,0,5,1,-4,0,0,Loss,A Taylor,4.5,4.0,1.8,4.1,3.7,1.8
Everton,0,1,1,0,0,0,Draw,M Atkinson,3.2,3.4,2.4,2.95,3.2,2.4
Crystal Palace,1,1,0,1,1,0,Win,M Oliver,1.45,4.75,8.0,1.44,4.5,7.75
Liverpool,1,1,1,0,0,0,Draw,R Madley,2.38,3.4,3.0,2.4,3.5,2.9
Stoke,0,0,4,4,1,0,Win,A Taylor,4.6,3.75,1.85,4.6,3.6,1.8
Sunderland,1,1,0,1,2,0,Win,M Dean,1.33,5.5,11.0,1.28,5.5,9.25
Middlesbrough,0,1,2,1,3,1,Win,G Scott,3.75,3.5,2.1,3.75,3.5,2.0
Man City,1,2,0,2,4,1,Win,A Marriner,3.0,3.5,2.5,3.0,3.4,2.35
West Brom,0,1,1,0,0,0,Draw,K Friend,5.5,3.8,1.73,5.25,3.8,1.67
Bournemouth,0,0,0,0,0,0,Draw,C Pawson,4.2,3.6,1.95,4.1,3.6,1.95
Leicester,1,1,1,0,0,0,Draw,R Madley,1.62,4.2,6.0,1.62,4.0,5.5
Arsenal,0,1,1,0,0,0,Draw,M Clattenburg,1.95,3.6,4.2,1.95,3.6,3.9
West Ham,1,3,2,1,1,0,Win,M Dean,1.5,4.5,7.5,1.5,4.25,6.75
Chelsea,0,2,1,-1,0,0,Loss,M Oliver,1.75,3.8,5.25,1.75,3.8,5.0
Swansea,1,5,0,5,1,0,Win,J Moss,1.36,5.5,9.0,1.34,5.0,9.75
Man United,0,1,0,-1,0,0,Loss,R Madley,2.2,3.4,3.6,2.15,3.4,3.4
Hull,1,3,0,3,1,0,Win,A Marriner,1.22,7.0,15.0,1.22,6.5,13.5
Burnley,1,2,1,1,2,0,Win,K Friend,1.22,7.0,15.0,1.2,7.0,13.0
Southampton,0,1,4,3,3,1,Win,M Dean,2.8,3.25,2.6,2.75,3.2,2.55
Watford,0,1,4,3,4,1,Win,M Oliver,5.5,3.75,1.62,5.25,3.8,1.67
Chelsea,1,2,0,2,5,1,Win,M Atkinson,2.63,3.25,2.63,2.85,3.3,2.55
West Brom,1,4,0,4,6,1,Win,A Taylor,1.33,5.5,11.0,1.33,5.25,9.5
Man City,0,2,2,0,0,0,Draw,A Marriner,2.15,3.5,3.6,2.1,3.5,3.5
Sunderland,0,0,0,0,0,0,Draw,L Mason,9.5,5.25,1.36,9.5,5.25,1.33
Middlesbrough,1,1,0,1,1,0,Win,M Clattenburg,1.29,6.0,13.0,1.26,5.5,13.0
Liverpool,0,2,0,-2,0,0,Loss,A Taylor,2.3,3.4,3.4,2.25,3.4,3.25
Stoke,1,4,0,4,1,0,Win,J Moss,1.44,5.0,7.5,1.4,4.75,8.25
Everton,1,3,2,1,2,0,Win,M Oliver,1.67,4.2,5.25,1.6,4.0,5.75
Southampton,1,2,1,1,3,1,Win,A Marriner,1.73,3.8,5.5,1.7,3.7,5.25
Burnley,0,0,2,2,4,1,Win,S Attwell,5.75,3.8,1.7,5.5,3.8,1.65
Swansea,0,1,3,2,5,1,Win,J Moss,5.0,4.0,1.73,5.0,3.75,1.7
Watford,1,4,0,4,6,1,Win,A Taylor,1.25,6.5,15.0,1.25,6.0,11.5
Bournemouth,1,4,0,4,7,1,Win,M Oliver,1.25,6.0,10.0,1.25,5.75,10.5
Crystal Palace,0,0,1,1,8,1,Win,J Moss,5.5,4.2,1.65,5.25,4.1,1.62
Arsenal,1,2,0,2,9,1,Win,M Oliver,1.85,3.75,4.0,1.9,3.6,3.8
West Ham,0,1,0,-1,0,0,Loss,A Taylor,8.5,5.25,1.4,8.0,5.25,1.36
Man United,1,2,1,1,1,0,Win,J Moss,1.73,3.9,5.25,1.67,4.0,5.0
Leicester,0,1,6,5,2,0,Win,M Oliver,4.5,3.8,1.85,4.25,3.6,1.85
Hull,0,1,7,6,3,1,Win,A Marriner,7.0,4.75,1.5,6.75,4.33,1.5
Newcastle,0,0,2,2,1,0,Win,A Marriner,5.5,4.0,1.7,5.25,3.8,1.67
Chelsea,1,1,2,-1,0,0,Loss,A Taylor,2.1,3.6,3.75,2.0,3.5,3.75
Burnley,1,1,1,0,0,0,Draw,L Mason,1.25,6.5,15.0,1.22,6.5,12.5
Everton,0,0,3,3,1,0,Win,G Scott,3.8,3.5,2.1,3.6,3.4,2.1
Swansea,1,0,0,0,0,0,Draw,M Dean,1.22,7.0,15.0,1.22,6.5,12.5
West Ham,0,2,3,1,1,0,Win,M Oliver,6.0,4.33,1.6,5.5,4.1,1.6
Huddersfield,0,0,4,4,2,0,Win,N Swarbrick,8.5,4.75,1.36,8.0,4.75,1.36
Bournemouth,1,1,0,1,3,1,Win,R Madley,1.2,8.0,15.0,1.19,7.25,14.0
Liverpool,1,4,1,3,4,1,Win,A Marriner,2.25,3.5,3.39,2.15,3.4,3.4
Man United,0,1,0,-1,0,0,Loss,J Moss,2.14,3.39,3.79,2.05,3.4,3.8
Crystal Palace,1,1,0,1,1,0,Win,K Friend,1.28,6.0,12.0,1.26,6.0,11.0
Arsenal,0,2,0,-2,0,0,Loss,M Dean,2.5,3.6,2.89,2.45,3.4,2.85
West Brom,1,1,1,0,0,0,Draw,M Jones,1.25,6.0,16.0,1.22,6.25,13.5
Leicester,0,2,1,-1,0,0,Loss,A Taylor,5.0,3.89,1.75,4.75,3.75,1.75
Watford,0,1,1,0,0,0,Draw,M Atkinson,5.0,4.0,1.72,4.75,3.9,1.72
Stoke,1,5,1,4,1,0,Win,R East,1.28,6.5,11.0,1.26,6.0,11.5
Brighton,1,2,0,2,2,0,Win,R Madley,1.25,6.5,15.0,1.25,6.0,12.5
Man City,0,4,1,-3,0,0,Loss,C Pawson,1.55,4.59,6.0,1.5,4.6,6.0
Burnley,0,0,3,3,1,0,Win,M Oliver,7.0,4.2,1.55,7.0,4.1,1.5
Southampton,1,5,2,3,2,0,Win,G Scott,1.36,5.25,10.0,1.36,5.0,8.5
Swansea,0,0,2,2,3,1,Win,R Madley,12.0,4.75,1.3,10.5,5.5,1.3
West Ham,1,1,1,0,0,0,Draw,M Dean,1.25,6.0,10.0,1.25,5.75,10.5
Everton,1,4,0,4,1,0,Win,C Pawson,1.28,6.0,13.0,1.25,6.0,12.5
Southampton,0,1,1,0,0,0,Draw,K Friend,5.75,4.09,1.64,5.5,4.0,1.62
Man United,1,2,0,2,1,0,Win,A Marriner,2.35,3.29,3.39,2.25,3.25,3.4
Liverpool,0,2,2,0,0,0,Draw,J Moss,2.1,3.75,3.6,2.05,3.6,3.5
Arsenal,1,1,0,1,1,0,Win,A Taylor,2.0,3.6,3.5,1.95,3.8,3.6
Crystal Palace,0,0,1,1,2,0,Win,K Friend,7.5,4.5,1.5,7.0,4.2,1.5
Huddersfield,1,2,0,2,3,1,Win,K Friend,1.19,7.5,17.0,1.2,6.75,14.5
Bournemouth,0,1,4,3,4,1,Win,M Dean,6.5,4.5,1.55,6.0,4.4,1.53
Chelsea,0,1,3,2,5,1,Win,A Marriner,2.29,3.29,3.1,2.35,3.25,3.2
Stoke,0,1,2,1,6,1,Win,G Scott,11.0,5.5,1.33,9.5,5.25,1.33
Man City,1,1,3,-2,0,0,Loss,J Moss,2.62,3.6,2.7,2.6,3.6,2.6
Brighton,0,1,1,0,0,0,Draw,K Friend,6.5,4.33,1.55,6.0,4.2,1.55
Watford,1,2,0,2,1,0,Win,M Oliver,1.16,8.5,21.0,1.16,7.5,17.0
West Brom,0,1,0,-1,0,0,Loss,M Jones,8.0,4.75,1.44,8.25,4.6,1.4
Newcastle,1,1,0,1,1,0,Win,N Swarbrick,1.18,8.5,17.0,1.18,7.5,14.0
Leicester,1,5,4,1,2,0,Win,C Pawson,1.33,6.0,9.0,1.3,5.75,9.25
Newcastle,0,1,2,1,1,0,Win,M Atkinson,3.9,3.5,2.04,3.8,3.5,2.0
Fulham,1,3,1,2,2,0,Win,A Taylor,1.28,6.0,12.0,1.28,6.0,10.0
Man United,0,0,3,3,3,1,Win,C Pawson,2.62,3.3,2.9,2.55,3.2,2.9
Watford,0,2,1,-1,0,0,Loss,A Marriner,5.5,4.2,1.64,5.5,4.25,1.57
Liverpool,1,1,2,-1,0,0,Loss,M Oliver,3.0,3.6,2.4,2.95,3.6,2.3
Brighton,0,1,2,1,1,0,Win,C Kavanagh,5.0,4.0,1.75,4.75,3.7,1.75
Huddersfield,0,0,2,2,2,0,Win,C Pawson,8.5,4.5,1.44,7.5,4.5,1.44
Cardiff,1,1,0,1,3,1,Win,M Dean,1.22,7.0,15.0,1.22,6.5,12.5
West Ham,0,0,1,1,4,1,Win,M Atkinson,4.1,3.9,1.9,4.2,3.7,1.85
Man City,1,0,1,-1,0,0,Loss,K Friend,4.75,4.1,1.75,4.33,4.1,1.75
Wolves,0,2,3,1,1,0,Win,M Dean,3.1,3.4,2.45,3.0,3.3,2.4
Crystal Palace,0,0,1,1,2,0,Win,J Moss,4.5,3.75,1.85,4.5,3.7,1.8
Chelsea,1,3,1,2,3,1,Win,M Atkinson,2.8,3.5,2.6,2.7,3.5,2.55
Arsenal,0,4,2,-2,0,0,Loss,M Dean,2.62,3.6,2.75,2.5,3.6,2.7
Southampton,1,3,1,2,1,0,Win,A Taylor,1.36,5.25,9.5,1.36,5.0,8.5
Leicester,0,0,2,2,2,0,Win,C Pawson,3.8,3.75,2.0,3.9,3.5,1.95
Burnley,1,1,0,1,3,1,Win,G Scott,1.18,8.0,19.0,1.18,7.25,16.0
Everton,0,2,6,4,4,1,Win,P Tierney,3.25,3.5,2.3,3.2,3.4,2.25
Bournemouth,1,5,0,5,5,1,Win,C Kavanagh,1.36,5.5,9.0,1.34,5.25,9.0
Wolves,1,1,3,-2,0,0,Loss,S Attwell,1.33,5.0,8.5,1.33,5.25,9.0
Cardiff,0,0,3,3,1,0,Win,K Friend,7.5,4.5,1.5,7.25,4.6,1.44
Man United,1,0,1,-1,0,0,Loss,M Dean,2.05,3.7,3.75,2.05,3.6,3.5
Fulham,0,1,2,1,1,0,Win,C Pawson,5.25,3.8,1.75,5.25,3.6,1.72
Watford,1,2,1,1,2,0,Win,G Scott,1.66,4.0,5.75,1.65,3.9,5.25
Newcastle,1,1,0,1,3,1,Win,A Marriner,1.44,4.5,9.0,1.42,4.5,8.25
Leicester,1,3,1,2,4,1,Win,M Oliver,1.7,3.9,5.5,1.65,3.9,5.25
Burnley,0,2,1,-1,0,0,Loss,M Dean,5.75,3.8,1.7,5.25,3.7,1.7
Chelsea,0,2,0,-2,0,0,Loss,A Marriner,2.3,3.5,3.25,2.3,3.4,3.1
Arsenal,1,1,1,0,0,0,Draw,A Taylor,2.05,3.7,3.75,2.05,3.4,3.75
Southampton,0,2,1,-1,0,0,Loss,K Friend,4.5,3.8,1.85,4.2,3.7,1.85
Liverpool,0,2,1,-1,0,0,Loss,M Atkinson,1.61,4.2,6.0,1.6,4.1,5.5
Crystal Palace,1,2,0,2,1,0,Win,A Marriner,1.45,5.0,7.5,1.42,4.75,7.25
Huddersfield,1,4,0,4,2,0,Win,L Mason,1.22,7.0,15.0,1.2,7.0,14.0
Man City,0,1,0,-1,0,0,Loss,M Oliver,1.3,6.0,11.0,1.28,6.0,10.0
Brighton,1,1,0,1,1,0,Win,C Kavanagh,1.28,6.0,13.0,1.3,5.5,11.5
West Ham,1,0,1,-1,0,0,Loss,A Taylor,1.4,5.5,7.5,1.42,4.6,7.5
Bournemouth,0,1,0,-1,0,0,Loss,C Pawson,4.0,4.0,1.9,4.1,3.8,1.83
