Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Liverpool,1,2,0,2,2,0,Win,A Marriner,2.63,3.4,2.88,2.6,3.2,2.8
Man City,0,1,3,2,3,1,Win,A Taylor,1.62,4.2,6.0,1.62,4.0,5.5
Arsenal,0,2,1,-1,0,0,Loss,M Atkinson,1.75,4.0,5.0,1.75,4.0,4.33
Norwich,1,1,0,1,1,0,Win,N Swarbrick,1.5,4.33,6.0,1.5,4.2,6.0
West Brom,1,2,2,0,0,0,Draw,M Clattenburg,1.73,3.8,5.5,1.7,3.75,5.25
Watford,0,0,1,1,1,0,Win,J Moss,3.0,3.4,2.55,2.7,3.4,2.45
Newcastle,1,1,0,1,2,0,Win,C Pawson,1.57,4.33,6.25,1.53,4.0,6.0
Crystal Palace,0,0,1,1,3,1,Win,M Jones,3.0,3.4,2.5,2.95,3.2,2.4
Southampton,1,1,0,1,4,1,Win,M Oliver,2.25,3.4,3.5,2.15,3.3,3.3
Sunderland,0,0,2,2,5,1,Win,A Taylor,3.4,3.4,2.1,3.3,3.4,2.1
West Ham,1,2,2,0,0,0,Draw,J Moss,1.95,3.6,4.2,1.95,3.4,3.75
Swansea,1,4,0,4,1,0,Win,M Clattenburg,1.75,3.7,5.5,1.7,3.5,5.0
Man United,0,1,1,0,0,0,Draw,M Oliver,2.1,3.4,3.9,2.1,3.4,3.6
Everton,1,3,1,2,1,0,Win,A Marriner,1.91,4.0,4.0,1.83,3.5,4.25
Chelsea,0,1,1,0,0,0,Draw,C Pawson,2.3,3.75,3.1,2.25,3.6,2.9
Hull,0,2,1,-1,0,0,Loss,M Dean,4.5,3.6,1.91,4.33,3.4,1.9
Arsenal,1,0,0,0,0,0,Draw,M Clattenburg,2.88,3.6,2.5,2.75,3.6,2.45
Swansea,1,2,1,1,1,0,Win,R East,1.73,3.6,5.25,1.72,3.75,5.0
Liverpool,0,4,1,-3,0,0,Loss,C Pawson,1.7,4.0,5.5,1.67,4.0,5.5
Burnley,1,3,0,3,1,0,Win,A Taylor,1.5,4.33,8.0,1.53,4.1,6.5
Man United,0,4,1,-3,0,0,Loss,M Dean,1.73,3.9,5.25,1.67,4.0,5.5
