Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Southampton,1,0,0,0,0,0,Draw,L Mason,1.75,3.75,5.25,1.8,3.5,4.75
Bournemouth,0,0,2,2,1,0,Win,K Friend,3.8,3.5,2.1,3.7,3.4,2.05
Leicester,1,2,1,1,2,0,Win,M Atkinson,1.75,4.0,5.0,1.75,4.0,4.33
Man United,0,3,2,-1,0,0,Loss,C Pawson,3.0,3.25,2.38,2.95,3.2,2.5
Swansea,1,1,2,-1,0,0,Loss,R Madley,1.36,5.25,10.0,1.36,4.6,8.25
Tottenham,0,2,2,0,0,0,Draw,M Oliver,2.38,3.4,3.25,2.35,3.4,2.85
Everton,0,0,2,2,1,0,Win,M Clattenburg,2.7,3.5,2.7,2.6,3.4,2.55
Watford,1,4,0,4,2,0,Win,A Taylor,1.36,5.25,10.0,1.33,4.75,9.5
West Ham,0,3,3,0,0,0,Draw,C Pawson,3.6,3.5,2.0,3.75,3.6,1.9
Crystal Palace,1,1,1,0,0,0,Draw,R East,1.33,5.75,9.5,1.33,5.0,8.75
West Brom,1,2,0,2,1,0,Win,J Moss,1.29,6.0,13.0,1.22,5.75,13.5
Sunderland,0,0,0,0,0,0,Draw,M Dean,4.5,4.0,1.8,4.5,3.8,1.72
Norwich,1,1,0,1,1,0,Win,M Jones,1.29,6.5,11.0,1.25,6.0,12.5
Man City,0,2,2,0,0,0,Draw,A Taylor,2.5,3.6,2.9,2.55,3.4,2.6
Aston Villa,1,4,0,4,1,0,Win,M Clattenburg,1.17,9.0,17.0,1.16,7.0,16.0
Liverpool,1,3,4,-1,0,0,Loss,M Oliver,2.4,3.5,3.1,2.35,3.3,2.9
Leicester,0,0,0,0,0,0,Draw,M Clattenburg,2.88,3.6,2.5,2.75,3.6,2.45
Watford,0,1,3,2,1,0,Win,K Friend,5.0,3.75,1.73,5.0,3.75,1.72
Southampton,1,2,1,1,2,0,Win,R Madley,1.57,4.2,6.5,1.55,4.2,6.0
Hull,0,1,4,3,3,1,Win,R East,6.0,4.2,1.6,6.0,4.0,1.57
Chelsea,1,3,0,3,4,1,Win,M Oliver,2.4,3.5,3.1,2.4,3.4,3.1
Burnley,0,0,1,1,5,1,Win,C Pawson,9.0,5.0,1.4,8.5,5.0,1.36
Swansea,1,3,2,1,6,1,Win,J Moss,1.29,6.5,11.0,1.26,6.25,10.0
