Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Arsenal,0,0,0,0,0,0,Draw,L Mason,1.75,3.75,5.25,1.8,3.5,4.75
West Ham,1,1,0,1,1,0,Win,M Clattenburg,1.73,3.8,5.5,1.72,3.5,5.0
Swansea,0,0,1,1,2,0,Win,J Moss,3.2,3.25,2.5,2.9,3.2,2.4
Chelsea,1,1,2,-1,0,0,Loss,M Atkinson,2.8,3.25,2.5,2.9,3.2,2.55
Bournemouth,0,2,0,-2,0,0,Loss,M Dean,2.9,3.25,2.7,2.75,3.3,2.6
Sunderland,1,1,1,0,0,0,Draw,N Swarbrick,1.6,4.0,6.5,1.5,3.9,6.75
Stoke,0,1,2,1,1,0,Win,L Mason,2.7,3.2,2.9,2.7,3.2,2.6
Liverpool,1,3,2,1,2,0,Win,R East,2.63,3.4,2.88,2.4,3.3,2.85
Leicester,0,1,0,-1,0,0,Loss,M Oliver,2.25,3.4,3.5,2.15,3.3,3.3
Newcastle,1,3,1,2,1,0,Win,R Madley,1.53,4.0,6.0,1.55,3.9,6.0
Everton,0,1,1,0,0,0,Draw,C Pawson,2.7,3.4,2.8,2.5,3.25,2.75
Aston Villa,0,2,4,2,1,0,Win,N Swarbrick,7.5,4.2,1.53,6.0,4.0,1.53
Man City,1,4,2,2,2,0,Win,A Marriner,2.8,3.4,2.7,2.7,3.4,2.6
Tottenham,0,1,2,1,3,1,Win,J Moss,2.05,3.6,3.9,1.91,3.6,3.7
Crystal Palace,1,4,1,3,4,1,Win,M Oliver,1.36,5.5,9.0,1.33,4.75,9.25
Watford,1,1,1,0,0,0,Draw,R East,1.8,3.75,5.0,1.8,3.4,4.5
Man United,0,2,0,-2,0,0,Loss,A Taylor,1.53,4.2,7.5,1.48,4.33,8.0
Sunderland,1,1,1,0,0,0,Draw,L Mason,1.57,3.6,6.5,1.6,3.9,6.0
Arsenal,0,2,1,-1,0,0,Loss,R Madley,1.57,4.2,6.5,1.55,4.2,6.0
Swansea,1,1,0,1,1,0,Win,M Jones,1.7,3.8,5.75,1.65,3.6,5.25
West Ham,0,0,3,3,2,0,Win,J Moss,2.8,3.3,2.75,2.8,3.3,2.7
Leicester,0,0,0,0,0,0,Draw,M Atkinson,2.25,3.4,3.5,2.2,3.3,3.4
Burnley,1,3,1,2,1,0,Win,M Dean,1.4,4.8,9.5,1.4,4.5,9.0
Man City,0,1,1,0,0,0,Draw,M Clattenburg,1.5,4.5,7.5,1.5,4.5,7.0
Chelsea,1,0,2,-2,0,0,Loss,M Jones,3.2,3.4,2.4,3.1,3.4,2.4
Hull,0,2,1,-1,0,0,Loss,G Scott,5.75,3.8,1.7,5.5,3.8,1.65
Liverpool,1,0,0,0,0,0,Draw,M Clattenburg,3.4,3.6,2.2,3.3,3.5,2.15
Everton,1,1,0,1,1,0,Win,C Pawson,2.2,3.4,3.6,2.1,3.3,3.7
Crystal Palace,0,3,0,-3,0,0,Loss,N Swarbrick,3.5,3.3,2.3,3.2,3.4,2.25
Middlesbrough,1,1,0,1,1,0,Win,S Attwell,1.7,3.7,6.0,1.65,3.7,5.75
Stoke,0,0,0,0,0,0,Draw,A Taylor,3.1,3.3,2.5,2.95,3.3,2.45
Bournemouth,0,1,3,2,1,0,Win,M Clattenburg,3.0,3.3,2.6,2.85,3.25,2.55
Tottenham,1,1,4,-3,0,0,Loss,M Dean,2.8,3.25,2.6,2.75,3.2,2.55
West Brom,1,1,2,-1,0,0,Loss,M Jones,1.75,3.7,5.5,1.75,3.5,5.25
Everton,0,3,0,-3,0,0,Loss,K Friend,2.2,3.4,3.6,2.15,3.3,3.5
Burnley,0,1,0,-1,0,0,Loss,P Tierney,3.6,3.4,2.2,3.5,3.25,2.2
Leicester,1,3,0,3,1,0,Win,M Oliver,1.83,3.5,5.25,1.83,3.5,4.6
Swansea,0,2,1,-1,0,0,Loss,R East,3.4,3.4,2.3,3.25,3.3,2.3
West Ham,1,1,3,-2,0,0,Loss,G Scott,1.85,3.75,4.5,1.8,3.6,4.6
Sunderland,0,0,4,4,1,0,Win,P Tierney,3.9,3.4,2.1,3.7,3.4,2.05
Watford,0,3,4,1,2,0,Win,J Moss,3.6,3.4,2.2,3.5,3.2,2.2
Tottenham,0,2,1,-1,0,0,Loss,A Marriner,1.73,3.8,5.5,1.7,3.7,5.25
Bournemouth,1,0,0,0,0,0,Draw,J Moss,1.65,4.0,6.0,1.62,3.9,5.75
Crystal Palace,1,3,1,2,1,0,Win,R East,1.83,3.7,4.75,1.8,3.5,4.75
West Brom,0,0,1,1,2,0,Win,C Kavanagh,3.0,3.3,2.55,2.95,3.3,2.45
Man City,1,0,3,-3,0,0,Loss,N Swarbrick,4.33,4.0,1.73,4.5,3.8,1.7
Chelsea,0,4,2,-2,0,0,Loss,L Mason,1.45,4.6,8.5,1.42,4.5,8.0
Hull,1,0,0,0,0,0,Draw,M Dean,1.6,3.75,5.75,1.62,3.9,5.0
Liverpool,0,0,0,0,0,0,Draw,R Madley,1.62,4.2,6.0,1.6,4.1,5.5
Arsenal,1,0,2,-2,0,0,Loss,J Moss,3.6,3.8,2.05,3.5,3.75,2.0
Middlesbrough,0,1,2,1,1,0,Win,A Taylor,4.0,3.6,2.0,3.8,3.5,2.0
Man United,1,0,0,0,0,0,Draw,M Dean,2.75,3.3,2.8,2.65,3.3,2.7
Stoke,1,0,1,-1,0,0,Loss,L Probert,1.8,3.8,4.75,1.75,3.8,4.75
Swansea,1,0,0,0,0,0,Draw,M Jones,1.62,4.0,6.5,1.57,4.0,6.0
West Ham,1,3,2,1,1,0,Win,L Mason,1.75,3.8,5.25,1.7,3.8,5.0
Huddersfield,0,0,0,0,0,0,Draw,S Attwell,3.9,3.4,2.1,3.9,3.2,2.1
Watford,1,0,2,-2,0,0,Loss,L Probert,1.65,4.0,6.0,1.65,3.8,5.5
Crystal Palace,0,0,1,1,1,0,Win,R Madley,3.0,3.3,2.6,2.95,3.25,2.5
Man United,1,0,1,-1,0,0,Loss,C Pawson,5.5,3.8,1.73,5.25,3.7,1.7
Stoke,0,2,1,-1,0,0,Loss,M Jones,2.88,3.2,2.45,2.8,3.2,2.5
Newcastle,1,2,2,0,0,0,Draw,K Friend,1.91,3.6,4.5,1.85,3.5,4.5
West Brom,1,1,0,1,1,0,Win,G Scott,1.85,3.39,5.25,1.8,3.4,5.0
Brighton,0,1,1,0,0,0,Draw,N Swarbrick,3.29,3.2,2.45,3.1,3.1,2.45
Burnley,1,0,1,-1,0,0,Loss,L Probert,1.66,3.75,6.5,1.62,3.6,6.5
Liverpool,0,3,0,-3,0,0,Loss,M Jones,1.39,5.0,9.0,1.4,4.75,8.25
Everton,1,4,1,3,1,0,Win,K Friend,1.9,3.39,4.75,1.83,3.5,4.6
Man City,0,2,1,-1,0,0,Loss,P Tierney,1.19,8.0,15.0,1.17,7.5,17.0
Bournemouth,0,1,1,0,0,0,Draw,J Moss,2.89,3.25,2.39,2.95,3.1,2.55
Arsenal,1,1,1,0,0,0,Draw,R Madley,4.0,3.75,1.95,4.0,3.6,1.91
Leicester,1,1,4,-3,0,0,Loss,C Kavanagh,2.1,3.39,3.89,2.05,3.4,3.7
Chelsea,0,1,0,-1,0,0,Loss,R East,1.39,5.0,9.0,1.36,5.0,8.5
Huddersfield,1,1,1,0,0,0,Draw,L Probert,1.61,3.89,6.5,1.6,3.8,6.25
Tottenham,0,5,2,-3,0,0,Loss,G Scott,1.36,5.25,10.0,1.36,5.0,8.5
Man United,0,0,0,0,0,0,Draw,C Pawson,1.36,5.5,9.0,1.34,5.25,9.0
Crystal Palace,1,1,2,-1,0,0,Loss,S Attwell,1.9,3.39,4.0,1.91,3.5,4.1
Watford,0,2,2,0,0,0,Draw,R East,2.5,3.39,3.0,2.4,3.3,3.0
Tottenham,1,1,1,0,0,0,Draw,K Friend,5.75,4.09,1.64,5.5,4.0,1.62
Brighton,1,1,1,0,0,0,Draw,M Dean,1.75,3.5,6.0,1.75,3.4,5.5
West Brom,0,2,3,1,1,0,Win,M Oliver,2.54,3.2,3.1,2.5,3.1,3.1
Liverpool,1,0,2,-2,0,0,Loss,M Atkinson,4.2,3.79,1.8,4.25,3.8,1.8
Burnley,0,1,1,0,0,0,Draw,R Madley,2.89,3.1,2.79,2.9,2.95,2.75
Stoke,1,0,0,0,0,0,Draw,A Taylor,1.75,3.75,5.25,1.72,3.7,5.0
Newcastle,0,3,0,-3,0,0,Loss,A Marriner,2.79,3.2,2.79,2.7,3.1,2.8
West Ham,0,3,0,-3,0,0,Loss,J Moss,2.7,3.25,2.6,2.85,3.2,2.6
