Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Leicester,0,2,0,-2,0,0,Loss,A Marriner,2.63,3.4,2.88,2.6,3.2,2.8
Sunderland,1,2,2,0,0,0,Draw,R Madley,1.44,4.75,8.5,1.44,4.33,8.0
Aston Villa,0,0,6,6,1,0,Win,N Swarbrick,4.75,3.6,1.85,4.5,3.5,1.85
Man City,1,3,0,3,2,0,Win,M Atkinson,2.63,3.4,2.88,2.55,3.2,2.75
Crystal Palace,0,1,2,1,3,1,Win,A Marriner,3.8,3.5,2.1,3.5,3.2,2.1
Southampton,0,3,2,-1,0,0,Loss,R East,2.63,3.4,2.88,2.4,3.3,2.85
Tottenham,1,1,1,0,0,0,Draw,J Moss,2.5,3.4,3.0,2.45,3.3,2.8
Stoke,1,4,1,3,1,0,Win,M Clattenburg,1.55,4.0,5.75,1.57,3.75,6.0
Bournemouth,0,1,2,1,2,0,Win,M Jones,3.6,3.5,2.15,3.3,3.4,2.1
Everton,1,4,0,4,3,1,Win,R Madley,1.73,4.0,5.0,1.7,3.75,4.75
Newcastle,1,2,2,0,0,0,Draw,A Marriner,1.57,4.5,6.0,1.57,4.2,5.25
Swansea,0,3,1,-2,0,0,Loss,R East,3.1,3.5,2.4,3.1,3.4,2.3
Watford,1,2,0,2,1,0,Win,L Mason,1.5,4.5,7.5,1.44,4.4,6.75
Chelsea,1,1,1,0,0,0,Draw,M Oliver,2.0,3.8,3.8,1.95,3.5,3.7
West Brom,0,1,1,0,0,0,Draw,R Madley,2.4,3.6,3.0,2.35,3.5,2.75
Arsenal,0,3,4,1,1,0,Win,M Oliver,2.4,3.5,3.1,2.35,3.3,2.9
Burnley,0,2,0,-2,0,0,Loss,L Mason,6.5,4.2,1.57,6.5,4.0,1.55
Tottenham,0,1,1,0,0,0,Draw,R Madley,2.38,3.4,3.0,2.4,3.5,2.9
Leicester,1,4,1,3,1,0,Win,C Pawson,1.7,4.0,5.5,1.67,4.0,5.5
Chelsea,0,1,2,1,2,0,Win,M Atkinson,2.25,3.5,3.4,2.25,3.5,3.3
Hull,1,5,1,4,3,1,Win,A Marriner,1.22,7.0,15.0,1.22,6.5,13.0
Swansea,0,1,2,1,4,1,Win,M Oliver,8.0,4.75,1.45,7.0,4.5,1.45
Man United,1,0,0,0,0,0,Draw,A Taylor,2.2,3.5,3.5,2.15,3.5,3.6
West Brom,1,2,1,1,1,0,Win,N Swarbrick,1.29,6.0,13.0,1.28,6.0,12.0
Crystal Palace,0,2,4,2,2,0,Win,A Marriner,5.25,4.0,1.7,5.0,4.0,1.72
Watford,1,6,1,5,3,1,Win,M Oliver,1.29,6.0,12.0,1.26,6.0,11.0
Southampton,0,0,0,0,0,0,Draw,M Clattenburg,3.4,3.6,2.2,3.3,3.5,2.15
Sunderland,1,2,0,2,1,0,Win,A Taylor,1.17,8.5,19.0,1.17,7.5,15.5
