Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Liverpool,0,1,0,-1,0,0,Loss,K Friend
Swansea,1,0,2,-2,0,0,Loss,A Marriner
Burnley,0,1,0,-1,0,0,Loss,M Oliver
Southampton,1,0,1,-1,0,0,Loss,R Madley
Man City,0,5,0,-5,0,0,Loss,N Swarbrick
Man United,0,4,0,-4,0,0,Loss,M Dean
Chelsea,1,2,1,1,1,0,Win,A Marriner
Newcastle,0,1,0,-1,0,0,Loss,S Attwell
West Ham,1,2,2,0,0,0,Draw,R Madley
Tottenham,0,1,0,-1,0,0,Loss,K Friend
Everton,1,2,2,0,0,0,Draw,A Taylor
Stoke,1,2,1,1,1,0,Win,M Dean
Brighton,0,0,0,0,0,0,Draw,A Marriner
West Brom,0,0,0,0,0,0,Draw,M Oliver
Bournemouth,1,2,2,0,0,0,Draw,K Friend
Watford,1,2,1,1,1,0,Win,L Mason
Leicester,0,0,3,3,2,0,Win,M Atkinson
Swansea,0,1,1,0,0,0,Draw,C Pawson
Arsenal,1,2,3,-1,0,0,Loss,M Oliver
Man City,1,0,0,0,0,0,Draw,J Moss
Southampton,0,1,2,1,1,0,Win,S Attwell
Burnley,1,1,0,1,2,0,Win,M Oliver
Arsenal,0,4,1,-3,0,0,Loss,C Kavanagh
West Ham,0,1,1,0,0,0,Draw,N Swarbrick
Newcastle,1,1,1,0,0,0,Draw,A Marriner
Everton,0,3,1,-2,0,0,Loss,J Moss
Tottenham,1,0,1,-1,0,0,Loss,K Friend
Man United,1,2,3,-1,0,0,Loss,N Swarbrick
Chelsea,0,2,1,-1,0,0,Loss,A Taylor
Huddersfield,0,0,2,2,1,0,Win,M Dean
Liverpool,1,1,2,-1,0,0,Loss,N Swarbrick
Bournemouth,0,2,2,0,0,0,Draw,J Moss
Brighton,1,3,2,1,1,0,Win,A Marriner
Watford,0,0,0,0,0,0,Draw,C Kavanagh
Leicester,1,5,0,5,1,0,Win,M Dean
Stoke,0,1,2,1,2,0,Win,M Atkinson
West Brom,1,2,0,2,3,1,Win,J Moss
Fulham,0,0,2,2,1,0,Win,M Dean
Liverpool,1,0,2,-2,0,0,Loss,M Oliver
Watford,0,2,1,-1,0,0,Loss,A Taylor
Southampton,1,0,2,-2,0,0,Loss,M Atkinson
Huddersfield,0,0,1,1,1,0,Win,L Mason
Newcastle,1,0,0,0,0,0,Draw,A Marriner
Bournemouth,0,2,1,-1,0,0,Loss,M Dean
Wolves,1,0,1,-1,0,0,Loss,M Oliver
Everton,0,2,0,-2,0,0,Loss,A Taylor
Arsenal,1,2,2,0,0,0,Draw,M Atkinson
Chelsea,0,3,1,-2,0,0,Loss,M Oliver
Tottenham,1,0,1,-1,0,0,Loss,J Moss
Man United,0,0,0,0,0,0,Draw,L Mason
Burnley,1,2,0,2,1,0,Win,L Probert
Brighton,0,3,1,-2,0,0,Loss,K Friend
West Ham,0,3,2,-1,0,0,Loss,A Taylor
Leicester,1,1,0,1,1,0,Win,M Oliver
Man City,0,2,3,1,2,0,Win,A Marriner
Cardiff,1,0,0,0,0,0,Draw,L Probert
Chelsea,1,0,1,-1,0,0,Loss,C Pawson
Wolves,0,0,2,2,1,0,Win,R East
Watford,1,1,2,-1,0,0,Loss,P Tierney
Liverpool,0,4,3,-1,0,0,Loss,J Moss
Southampton,0,1,1,0,0,0,Draw,A Marriner
Fulham,1,2,0,2,1,0,Win,M Oliver
West Ham,1,1,1,0,0,0,Draw,C Pawson
Leicester,0,1,4,3,1,0,Win,A Taylor
Man United,1,1,3,-2,0,0,Loss,M Atkinson
Burnley,0,1,3,2,1,0,Win,L Probert
Brighton,1,1,2,-1,0,0,Loss,C Pawson
Huddersfield,1,2,0,2,1,0,Win,L Probert
Tottenham,0,2,0,-2,0,0,Loss,A Marriner
Newcastle,0,0,1,1,1,0,Win,S Attwell
Man City,1,1,3,-2,0,0,Loss,M Atkinson
Arsenal,0,2,3,1,1,0,Win,J Moss
Everton,1,0,0,0,0,0,Draw,L Mason
Cardiff,0,2,3,1,1,0,Win,M Oliver
Bournemouth,1,5,3,2,2,0,Win,R East
Everton,1,0,0,0,0,0,Draw,J Moss
Sheffield United,0,1,0,-1,0,0,Loss,D Coote
Man United,0,1,2,1,1,0,Win,P Tierney
Aston Villa,1,1,0,1,2,0,Win,K Friend
Tottenham,0,4,0,-4,0,0,Loss,C Pawson
Wolves,1,1,1,0,0,0,Draw,S Attwell
Norwich,1,2,0,2,1,0,Win,J Moss
West Ham,0,1,2,1,2,0,Win,M Oliver
Man City,1,0,2,-2,0,0,Loss,A Taylor
Arsenal,0,2,2,0,0,0,Draw,M Atkinson
Leicester,1,0,2,-2,0,0,Loss,P Tierney
Chelsea,0,2,0,-2,0,0,Loss,M Dean
Liverpool,1,1,2,-1,0,0,Loss,K Friend
Burnley,0,0,2,2,1,0,Win,P Bankes
Bournemouth,1,1,0,1,2,0,Win,A Taylor
Watford,0,0,0,0,0,0,Draw,M Atkinson
