Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Southampton,0,3,2,-1,0,0,Loss,L Mason
Newcastle,0,3,0,-3,0,0,Loss,N Swarbrick
Huddersfield,1,2,0,2,1,0,Win,K Friend
West Brom,0,0,0,0,0,0,Draw,P Tierney
Tottenham,1,2,3,-1,0,0,Loss,M Oliver
Swansea,1,1,0,1,1,0,Win,R East
Burnley,0,1,1,0,0,0,Draw,S Attwell
Brighton,1,0,3,-3,0,0,Loss,M Atkinson
Crystal Palace,0,2,2,0,0,0,Draw,R Madley
Liverpool,1,1,4,-3,0,0,Loss,N Swarbrick
Watford,0,2,0,-2,0,0,Loss,A Marriner
Leicester,1,1,1,0,0,0,Draw,M Atkinson
Everton,0,4,0,-4,0,0,Loss,M Oliver
Man City,0,2,1,-1,0,0,Loss,M Dean
Chelsea,1,1,0,1,1,0,Win,A Taylor
Arsenal,1,0,0,0,0,0,Draw,J Moss
Stoke,0,0,3,3,1,0,Win,G Scott
Newcastle,1,2,3,-1,0,0,Loss,L Mason
Bournemouth,0,3,3,0,0,0,Draw,S Attwell
West Brom,1,2,1,1,1,0,Win,M Jones
Tottenham,0,1,1,0,0,0,Draw,M Dean
Huddersfield,0,1,4,3,1,0,Win,J Moss
Bournemouth,1,1,1,0,0,0,Draw,M Atkinson
Crystal Palace,1,1,1,0,0,0,Draw,N Swarbrick
Brighton,0,3,1,-2,0,0,Loss,R East
Watford,1,2,0,2,1,0,Win,G Scott
Liverpool,0,4,1,-3,0,0,Loss,S Attwell
Swansea,0,4,1,-3,0,0,Loss,M Atkinson
Burnley,1,0,3,-3,0,0,Loss,L Mason
Southampton,1,3,0,3,1,0,Win,J Moss
Chelsea,0,1,1,0,0,0,Draw,K Friend
Stoke,1,1,1,0,0,0,Draw,M Oliver
Arsenal,0,4,1,-3,0,0,Loss,L Mason
Man City,1,1,4,-3,0,0,Loss,N Swarbrick
Leicester,0,0,2,2,1,0,Win,C Kavanagh
Man United,1,0,0,0,0,0,Draw,J Moss
Everton,1,3,1,2,1,0,Win,G Scott
Liverpool,0,4,0,-4,0,0,Loss,A Taylor
Bournemouth,1,1,2,-1,0,0,Loss,S Attwell
Arsenal,0,3,1,-2,0,0,Loss,G Scott
Wolves,1,0,1,-1,0,0,Loss,C Kavanagh
Everton,0,1,3,2,1,0,Win,M Atkinson
Chelsea,1,0,0,0,0,0,Draw,M Dean
Man United,1,3,1,2,1,0,Win,M Oliver
Brighton,0,1,0,-1,0,0,Loss,K Friend
Tottenham,1,0,1,-1,0,0,Loss,M Atkinson
Leicester,0,1,1,0,0,0,Draw,M Oliver
Burnley,1,4,2,2,1,0,Win,R East
Huddersfield,0,1,1,0,0,0,Draw,C Kavanagh
Man City,1,0,4,-4,0,0,Loss,A Marriner
Newcastle,0,0,3,3,1,0,Win,P Tierney
Cardiff,1,3,1,2,2,0,Win,G Scott
Crystal Palace,1,3,2,1,3,1,Win,A Taylor
Fulham,0,0,2,2,4,1,Win,M Dean
Watford,1,0,2,-2,0,0,Loss,L Mason
Southampton,0,1,2,1,1,0,Win,C Pawson
Burnley,0,2,0,-2,0,0,Loss,D Coote
Brighton,1,2,2,0,0,0,Draw,C Kavanagh
Arsenal,1,1,0,1,1,0,Win,J Moss
Bournemouth,0,2,0,-2,0,0,Loss,S Hooper
Wolves,0,3,0,-3,0,0,Loss,D Coote
Liverpool,1,1,1,0,0,0,Draw,K Friend
Crystal Palace,0,1,1,0,0,0,Draw,C Pawson
Fulham,1,3,1,2,1,0,Win,L Mason
Man City,0,1,0,-1,0,0,Loss,S Attwell
Newcastle,1,2,0,2,1,0,Win,C Kavanagh
Cardiff,0,2,0,-2,0,0,Loss,G Scott
Huddersfield,1,4,3,1,1,0,Win,J Moss
Everton,1,0,2,-2,0,0,Loss,P Tierney
Chelsea,0,2,0,-2,0,0,Loss,C Kavanagh
Man United,0,2,1,-1,0,0,Loss,G Scott
Leicester,1,2,2,0,0,0,Draw,L Probert
Tottenham,0,0,1,1,1,0,Win,A Taylor
Southampton,1,3,0,3,2,0,Win,S Attwell
Watford,0,1,4,3,3,1,Win,C Kavanagh
Man City,1,0,5,-5,0,0,Loss,M Dean
Brighton,0,1,1,0,0,0,Draw,A Taylor
Watford,0,1,3,2,1,0,Win,C Kavanagh
Norwich,1,2,0,2,2,0,Win,P Tierney
Aston Villa,0,0,0,0,0,0,Draw,M Dean
Man United,1,2,0,2,1,0,Win,A Taylor
Bournemouth,0,2,2,0,0,0,Draw,S Attwell
Crystal Palace,1,1,2,-1,0,0,Loss,M Oliver
Everton,0,2,0,-2,0,0,Loss,P Tierney
Sheffield United,1,1,1,0,0,0,Draw,D Coote
Newcastle,1,2,3,-1,0,0,Loss,S Attwell
Burnley,0,3,0,-3,0,0,Loss,K Friend
Tottenham,1,2,3,-1,0,0,Loss,M Oliver
Chelsea,0,0,1,1,1,0,Win,J Moss
Wolves,0,2,0,-2,0,0,Loss,A Marriner
Arsenal,1,1,3,-2,0,0,Loss,M Dean
Southampton,0,0,1,1,1,0,Win,M Atkinson
Crystal Palace,0,2,1,-1,0,0,Loss,A Marriner
Leicester,1,1,2,-1,0,0,Loss,D Coote
Bournemouth,1,4,0,4,1,0,Win,G Scott
Sheffield United,0,1,0,-1,0,0,Loss,M Oliver
Everton,1,1,1,0,0,0,Draw,A Marriner
Leicester,0,4,1,-3,0,0,Loss,D Coote
Liverpool,1,0,2,-2,0,0,Loss,J Moss
Brighton,1,3,3,0,0,0,Draw,M Oliver
Man City,0,2,0,-2,0,0,Loss,K Friend
Liverpool,0,3,2,-1,0,0,Loss,J Moss
Southampton,1,3,1,2,1,0,Win,A Taylor
Arsenal,0,1,0,-1,0,0,Loss,M Atkinson
Wolves,1,0,2,-2,0,0,Loss,A Taylor
Tottenham,0,2,0,-2,0,0,Loss,C Pawson
Chelsea,1,3,2,1,1,0,Win,M Atkinson
Newcastle,0,2,2,0,0,0,Draw,C Pawson
Burnley,1,0,1,-1,0,0,Loss,M Oliver
Norwich,0,0,4,4,1,0,Win,K Friend
Watford,1,3,1,2,2,0,Win,M Atkinson
Man United,0,1,1,0,0,0,Draw,P Tierney
Aston Villa,1,1,1,0,0,0,Draw,M Oliver
Chelsea,0,2,1,-1,0,0,Loss,A Taylor
Bournemouth,1,1,0,1,1,0,Win,C Pawson
Man City,0,3,1,-2,0,0,Loss,A Marriner
Watford,1,2,4,-2,0,0,Loss,M Atkinson
West Brom,0,4,2,-2,0,0,Loss,M Clattenburg
Southampton,1,0,3,-3,0,0,Loss,J Moss
Middlesbrough,1,1,1,0,0,0,Draw,N Swarbrick
Crystal Palace,0,0,1,1,1,0,Win,M Atkinson
Sunderland,1,1,0,1,2,0,Win,R Madley
Everton,0,2,0,-2,0,0,Loss,A Taylor
Stoke,1,1,1,0,0,0,Draw,A Marriner
Tottenham,0,3,2,-1,0,0,Loss,M Dean
Man United,0,1,1,0,0,0,Draw,J Moss
Arsenal,1,1,5,-4,0,0,Loss,C Pawson
Liverpool,0,2,2,0,0,0,Draw,M Clattenburg
Burnley,1,1,0,1,1,0,Win,R Madley
Hull,1,1,0,1,2,0,Win,L Mason
Swansea,0,1,4,3,3,1,Win,A Marriner
Leicester,0,1,0,-1,0,0,Loss,A Taylor
Man United,1,0,2,-2,0,0,Loss,M Dean
Crystal Palace,1,3,0,3,1,0,Win,N Swarbrick
Middlesbrough,0,1,3,2,2,0,Win,M Atkinson
Man City,1,0,4,-4,0,0,Loss,K Friend
Southampton,0,1,3,2,1,0,Win,G Scott
West Brom,1,2,2,0,0,0,Draw,M Oliver
Watford,0,1,1,0,0,0,Draw,C Pawson
Chelsea,1,1,2,-1,0,0,Loss,A Marriner
Bournemouth,0,3,2,-1,0,0,Loss,R Madley
Leicester,1,2,3,-1,0,0,Loss,R East
Hull,0,2,1,-1,0,0,Loss,M Jones
Arsenal,0,3,0,-3,0,0,Loss,M Atkinson
Swansea,1,1,0,1,1,0,Win,K Friend
Sunderland,0,2,2,0,0,0,Draw,A Marriner
Everton,1,0,0,0,0,0,Draw,R East
Stoke,0,0,0,0,0,0,Draw,L Probert
Tottenham,1,1,0,1,1,0,Win,A Taylor
Liverpool,1,0,4,-4,0,0,Loss,N Swarbrick
Burnley,0,1,2,1,1,0,Win,R Madley
Newcastle,0,2,4,2,1,0,Win,M Atkinson
Leicester,1,4,1,3,2,0,Win,M Oliver
