Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Leicester,0,1,2,1,3,1,Win,L Mason
Arsenal,1,0,0,0,0,0,Draw,M Oliver
Stoke,0,0,4,4,1,0,Win,M Dean
Man City,1,0,1,-1,0,0,Loss,M Atkinson
Crystal Palace,0,2,1,-1,0,0,Loss,A Marriner
Watford,1,4,2,2,1,0,Win,J Moss
Bournemouth,0,0,1,1,2,0,Win,C Pawson
Man United,1,1,0,1,3,1,Win,A Taylor
West Brom,0,0,4,4,4,1,Win,J Moss
Liverpool,0,1,1,0,0,0,Draw,M Oliver
Swansea,1,1,0,1,1,0,Win,N Swarbrick
Newcastle,1,3,1,2,2,0,Win,K Friend
West Ham,0,1,0,-1,0,0,Loss,A Taylor
Huddersfield,0,1,3,2,1,0,Win,A Marriner
Southampton,1,1,0,1,2,0,Win,R East
Everton,0,0,0,0,0,0,Draw,R Madley
Brighton,1,2,0,2,1,0,Win,M Dean
Stoke,1,5,0,5,2,0,Win,K Friend
Arsenal,0,2,2,0,0,0,Draw,A Taylor
Leicester,1,0,0,0,0,0,Draw,M Jones
Brighton,0,0,4,4,1,0,Win,J Moss
Bournemouth,1,0,3,-3,0,0,Loss,L Probert
Watford,0,4,1,-3,0,0,Loss,M Dean
West Brom,1,3,0,3,1,0,Win,L Mason
Man United,0,2,1,-1,0,0,Loss,M Atkinson
Man City,0,1,0,-1,0,0,Loss,M Oliver
Crystal Palace,1,2,1,1,1,0,Win,A Taylor
Tottenham,1,1,3,-2,0,0,Loss,A Marriner
West Ham,1,1,1,0,0,0,Draw,K Friend
Southampton,0,2,3,1,1,0,Win,M Dean
Burnley,0,1,2,1,2,0,Win,R Madley
Swansea,0,0,1,1,3,1,Win,J Moss
Liverpool,1,1,0,1,4,1,Win,A Taylor
Huddersfield,1,1,1,0,0,0,Draw,L Mason
Newcastle,0,3,0,-3,0,0,Loss,M Atkinson
Huddersfield,0,0,3,3,1,0,Win,C Kavanagh
Arsenal,1,3,2,1,2,0,Win,M Atkinson
Newcastle,0,1,2,1,3,1,Win,P Tierney
Bournemouth,1,2,0,2,4,1,Win,L Mason
Cardiff,1,4,1,3,5,1,Win,J Moss
West Ham,0,0,0,0,0,0,Draw,M Dean
Liverpool,1,1,1,0,0,0,Draw,A Marriner
Southampton,0,0,3,3,1,0,Win,C Pawson
Man United,1,2,2,0,0,0,Draw,M Dean
Burnley,0,0,4,4,1,0,Win,C Pawson
Crystal Palace,1,3,1,2,2,0,Win,M Oliver
Everton,1,0,0,0,0,0,Draw,K Friend
Tottenham,0,3,1,-2,0,0,Loss,M Atkinson
Fulham,1,2,0,2,1,0,Win,C Pawson
Wolves,0,2,1,-1,0,0,Loss,J Moss
Man City,1,2,0,2,1,0,Win,M Oliver
Brighton,0,1,2,1,2,0,Win,S Attwell
Leicester,1,0,1,-1,0,0,Loss,L Probert
Watford,0,1,2,1,1,0,Win,M Atkinson
Crystal Palace,0,0,1,1,2,0,Win,C Pawson
Southampton,1,0,0,0,0,0,Draw,J Moss
Newcastle,1,2,1,1,1,0,Win,C Kavanagh
Arsenal,0,2,0,-2,0,0,Loss,A Taylor
Bournemouth,0,4,0,-4,0,0,Loss,R East
Huddersfield,1,5,0,5,1,0,Win,P Tierney
Man City,0,6,0,-6,0,0,Loss,M Dean
Tottenham,1,2,0,2,1,0,Win,A Marriner
Fulham,0,1,2,1,2,0,Win,G Scott
Wolves,1,1,1,0,0,0,Draw,M Oliver
Everton,0,2,0,-2,0,0,Loss,A Taylor
Cardiff,0,1,2,1,1,0,Win,C Pawson
Brighton,1,3,0,3,2,0,Win,G Scott
West Ham,1,2,0,2,3,1,Win,C Kavanagh
Liverpool,0,2,0,-2,0,0,Loss,M Oliver
Burnley,1,2,2,0,0,0,Draw,K Friend
Man United,0,1,1,0,0,0,Draw,M Atkinson
Watford,1,3,0,3,1,0,Win,P Tierney
Leicester,0,0,0,0,0,0,Draw,A Taylor
Man United,0,4,0,-4,0,0,Loss,A Taylor
Leicester,1,1,1,0,0,0,Draw,O Langford
Norwich,0,2,3,1,1,0,Win,M Atkinson
Sheffield United,1,2,2,0,0,0,Draw,S Attwell
Wolves,0,2,5,3,1,0,Win,G Scott
Liverpool,1,1,2,-1,0,0,Loss,M Oliver
Brighton,1,2,0,2,1,0,Win,C Kavanagh
Southampton,0,1,4,3,2,0,Win,P Tierney
Newcastle,1,1,0,1,3,1,Win,A Marriner
Burnley,0,2,4,2,4,1,Win,M Oliver
Watford,0,1,2,1,5,1,Win,A Taylor
Crystal Palace,1,2,0,2,6,1,Win,M Dean
