HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,HomeWinStreak,AwayWinStreak,TGSH,TGSA,Results
Crystal Palace,Man United,0,0,0,0,1,0,0,Draw
Man City,Norwich,2,1,1,1,0,0,0,Win
Newcastle,Stoke,0,0,0,1,0,0,0,Draw
Swansea,Arsenal,0,3,-3,0,1,0,0,Loss
Watford,West Ham,2,0,2,1,0,0,0,Win
West Brom,Leicester,2,3,-1,0,1,0,0,Loss
Everton,Sunderland,6,2,4,1,0,0,0,Win
Southampton,Bournemouth,2,0,2,2,0,0,0,Win
Tottenham,Aston Villa,3,1,2,3,0,1,0,Win
Bournemouth,Newcastle,0,1,-1,0,1,0,0,Loss
Leicester,Watford,2,1,1,1,0,0,0,Win
Man United,West Brom,2,0,2,2,0,0,0,Win
Norwich,Swansea,1,0,1,3,0,1,0,Win
Stoke,Chelsea,1,0,1,4,0,1,0,Win
Sunderland,Southampton,0,1,-1,0,1,0,0,Loss
West Ham,Everton,1,1,0,0,1,0,0,Draw
Arsenal,Tottenham,1,1,0,0,1,0,0,Draw
Aston Villa,Man City,0,0,0,0,1,0,0,Draw
Liverpool,Crystal Palace,1,2,-1,0,2,0,0,Loss
Chelsea,Norwich,1,0,1,1,0,0,0,Win
Everton,Aston Villa,4,0,4,2,0,0,0,Win
Man City,Liverpool,1,4,-3,0,1,0,0,Loss
Newcastle,Leicester,0,3,-3,0,2,0,0,Loss
Southampton,Stoke,0,1,-1,0,3,0,1,Loss
Swansea,Bournemouth,2,2,0,0,3,0,1,Draw
Watford,Man United,1,2,-1,0,4,0,1,Loss
West Brom,Arsenal,2,1,1,1,0,0,0,Win
Tottenham,West Ham,4,1,3,2,0,0,0,Win
Crystal Palace,Sunderland,0,1,-1,0,1,0,0,Loss
Aston Villa,Watford,2,3,-1,0,2,0,0,Loss
Bournemouth,Everton,3,3,0,0,2,0,0,Draw
Crystal Palace,Newcastle,5,1,4,1,0,0,0,Win
Leicester,Man United,1,1,0,1,0,0,0,Draw
Man City,Southampton,3,1,2,2,0,0,0,Win
Sunderland,Stoke,2,0,2,3,0,1,0,Win
Liverpool,Swansea,1,0,1,4,0,1,0,Win
Norwich,Arsenal,1,1,0,4,0,1,0,Draw
Tottenham,Chelsea,0,0,0,4,0,1,0,Draw
West Ham,West Brom,1,1,0,4,0,1,0,Draw
Arsenal,Sunderland,3,1,2,5,0,1,0,Win
Chelsea,Bournemouth,0,1,-1,0,1,0,0,Loss
Man United,West Ham,0,0,0,0,1,0,0,Draw
Southampton,Aston Villa,1,1,0,0,1,0,0,Draw
Stoke,Man City,2,0,2,1,0,0,0,Win
Swansea,Leicester,0,3,-3,0,1,0,0,Loss
Watford,Norwich,2,0,2,1,0,0,0,Win
West Brom,Tottenham,1,1,0,1,0,0,0,Draw
Newcastle,Liverpool,2,0,2,2,0,0,0,Win
Everton,Crystal Palace,1,1,0,2,0,0,0,Draw
Bournemouth,Man United,2,1,1,3,0,1,0,Win
Crystal Palace,Southampton,1,0,1,4,0,1,0,Win
Man City,Swansea,2,1,1,5,0,1,0,Win
Norwich,Everton,1,1,0,5,0,1,0,Draw
Sunderland,Watford,0,1,-1,0,1,0,0,Loss
West Ham,Stoke,0,0,0,0,1,0,0,Draw
Aston Villa,Arsenal,0,2,-2,0,2,0,0,Loss
Liverpool,West Brom,2,2,0,0,2,0,0,Draw
Tottenham,Newcastle,1,2,-1,0,3,0,1,Loss
Leicester,Chelsea,2,1,1,1,0,0,0,Win
Chelsea,Sunderland,3,1,2,2,0,0,0,Win
Everton,Leicester,2,3,-1,0,1,0,0,Loss
Man United,Norwich,1,2,-1,0,2,0,0,Loss
Newcastle,Aston Villa,1,1,0,0,2,0,0,Draw
Southampton,Tottenham,0,2,-2,0,3,0,1,Loss
Stoke,Crystal Palace,1,2,-1,0,4,0,1,Loss
West Brom,Bournemouth,1,2,-1,0,5,0,1,Loss
Swansea,West Ham,0,0,0,0,5,0,1,Draw
Watford,Liverpool,3,0,3,1,0,0,0,Win
Arsenal,Man City,2,1,1,2,0,0,0,Win
Aston Villa,West Ham,1,1,0,2,0,0,0,Draw
Bournemouth,Crystal Palace,0,0,0,2,0,0,0,Draw
Chelsea,Watford,2,2,0,2,0,0,0,Draw
Liverpool,Leicester,1,0,1,3,0,1,0,Win
Man City,Sunderland,4,1,3,4,0,1,0,Win
Newcastle,Everton,0,1,-1,0,1,0,0,Loss
Southampton,Arsenal,4,0,4,1,0,0,0,Win
Stoke,Man United,2,0,2,2,0,0,0,Win
Swansea,West Brom,1,0,1,3,0,1,0,Win
Tottenham,Norwich,3,0,3,4,0,1,0,Win
Arsenal,Bournemouth,2,0,2,5,0,1,0,Win
Crystal Palace,Swansea,0,0,0,5,0,1,0,Draw
Everton,Stoke,3,4,-1,0,1,0,0,Loss
Man United,Chelsea,0,0,0,0,1,0,0,Draw
Norwich,Aston Villa,2,0,2,1,0,0,0,Win
Watford,Tottenham,1,2,-1,0,1,0,0,Loss
West Brom,Newcastle,1,0,1,1,0,0,0,Win
West Ham,Southampton,2,1,1,2,0,0,0,Win
Leicester,Man City,0,0,0,2,0,0,0,Draw
Sunderland,Liverpool,0,1,-1,0,1,0,0,Loss
Arsenal,Newcastle,1,0,1,1,0,0,0,Win
Leicester,Bournemouth,0,0,0,1,0,0,0,Draw
Man United,Swansea,2,1,1,2,0,0,0,Win
Norwich,Southampton,1,0,1,3,0,1,0,Win
Sunderland,Aston Villa,3,1,2,4,0,1,0,Win
Watford,Man City,1,2,-1,0,1,0,0,Loss
West Brom,Stoke,2,1,1,1,0,0,0,Win
West Ham,Liverpool,2,0,2,2,0,0,0,Win
Crystal Palace,Chelsea,0,3,-3,0,1,0,0,Loss
Everton,Tottenham,1,1,0,0,1,0,0,Draw
Aston Villa,Crystal Palace,1,0,1,1,0,0,0,Win
Bournemouth,West Ham,1,3,-2,0,1,0,0,Loss
Newcastle,Man United,3,3,0,0,1,0,0,Draw
Chelsea,West Brom,2,2,0,0,1,0,0,Draw
Liverpool,Arsenal,3,3,0,0,1,0,0,Draw
Man City,Everton,0,0,0,0,1,0,0,Draw
Southampton,Watford,2,0,2,1,0,0,0,Win
Stoke,Norwich,3,1,2,2,0,0,0,Win
Swansea,Sunderland,2,4,-2,0,1,0,0,Loss
Tottenham,Leicester,0,1,-1,0,2,0,0,Loss
Aston Villa,Leicester,1,1,0,0,2,0,0,Draw
Bournemouth,Norwich,3,0,3,1,0,0,0,Win
Chelsea,Everton,3,3,0,1,0,0,0,Draw
Man City,Crystal Palace,4,0,4,2,0,0,0,Win
Newcastle,West Ham,2,1,1,3,0,1,0,Win
Southampton,West Brom,3,0,3,4,0,1,0,Win
Tottenham,Sunderland,4,1,3,5,0,1,0,Win
Liverpool,Man United,0,1,-1,0,1,0,0,Loss
Stoke,Arsenal,0,0,0,0,1,0,0,Draw
Swansea,Watford,1,0,1,1,0,0,0,Win
Crystal Palace,Tottenham,1,3,-2,0,1,0,0,Loss
Leicester,Stoke,3,0,3,1,0,0,0,Win
Man United,Southampton,0,1,-1,0,1,0,0,Loss
Norwich,Liverpool,4,5,-1,0,2,0,0,Loss
Sunderland,Bournemouth,1,1,0,0,2,0,0,Draw
Watford,Newcastle,2,1,1,1,0,0,0,Win
West Brom,Aston Villa,0,0,0,1,0,0,0,Draw
West Ham,Man City,2,2,0,1,0,0,0,Draw
Arsenal,Chelsea,0,1,-1,0,1,0,0,Loss
Everton,Swansea,1,2,-1,0,2,0,0,Loss
Arsenal,Southampton,0,0,0,0,2,0,0,Draw
Crystal Palace,Bournemouth,1,2,-1,0,3,0,1,Loss
Leicester,Liverpool,2,0,2,1,0,0,0,Win
Man United,Stoke,3,0,3,2,0,0,0,Win
Norwich,Tottenham,0,3,-3,0,1,0,0,Loss
Sunderland,Man City,0,1,-1,0,2,0,0,Loss
West Brom,Swansea,1,1,0,0,2,0,0,Draw
West Ham,Aston Villa,2,0,2,1,0,0,0,Win
Everton,Newcastle,3,0,3,2,0,0,0,Win
Watford,Chelsea,0,0,0,2,0,0,0,Draw
Aston Villa,Norwich,2,0,2,3,0,1,0,Win
Liverpool,Sunderland,2,2,0,3,0,1,0,Draw
Man City,Leicester,1,3,-2,0,1,0,0,Loss
Newcastle,West Brom,1,0,1,1,0,0,0,Win
Southampton,West Ham,1,0,1,2,0,0,0,Win
Stoke,Everton,0,3,-3,0,1,0,0,Loss
Swansea,Crystal Palace,1,1,0,0,1,0,0,Draw
Tottenham,Watford,1,0,1,1,0,0,0,Win
Bournemouth,Arsenal,0,2,-2,0,1,0,0,Loss
Chelsea,Man United,1,1,0,0,1,0,0,Draw
Bournemouth,Stoke,1,3,-2,0,2,0,0,Loss
Chelsea,Newcastle,5,1,4,1,0,0,0,Win
Crystal Palace,Watford,1,2,-1,0,1,0,0,Loss
Everton,West Brom,0,1,-1,0,2,0,0,Loss
Norwich,West Ham,2,2,0,0,2,0,0,Draw
Sunderland,Man United,2,1,1,1,0,0,0,Win
Swansea,Southampton,0,1,-1,0,1,0,0,Loss
Arsenal,Leicester,2,1,1,1,0,0,0,Win
Aston Villa,Liverpool,0,6,-6,0,1,0,0,Loss
Man City,Tottenham,1,2,-1,0,2,0,0,Loss
Leicester,Norwich,1,0,1,1,0,0,0,Win
Southampton,Chelsea,1,2,-1,0,1,0,0,Loss
Stoke,Aston Villa,2,1,1,1,0,0,0,Win
Watford,Bournemouth,0,0,0,1,0,0,0,Draw
West Brom,Crystal Palace,3,2,1,2,0,0,0,Win
West Ham,Sunderland,1,0,1,3,0,1,0,Win
Tottenham,Swansea,2,1,1,4,0,1,0,Win
Man United,Arsenal,3,2,1,5,0,1,0,Win
Aston Villa,Everton,1,3,-2,0,1,0,0,Loss
Bournemouth,Southampton,2,0,2,1,0,0,0,Win
Leicester,West Brom,2,2,0,1,0,0,0,Draw
Norwich,Chelsea,1,2,-1,0,1,0,0,Loss
Sunderland,Crystal Palace,2,2,0,0,1,0,0,Draw
Arsenal,Swansea,1,2,-1,0,2,0,0,Loss
Liverpool,Man City,3,0,3,1,0,0,0,Win
Man United,Watford,1,0,1,2,0,0,0,Win
Stoke,Newcastle,1,0,1,3,0,1,0,Win
West Ham,Tottenham,1,0,1,4,0,1,0,Win
Chelsea,Stoke,1,1,0,4,0,1,0,Draw
Everton,West Ham,2,3,-1,0,1,0,0,Loss
Man City,Aston Villa,4,0,4,1,0,0,0,Win
Newcastle,Bournemouth,1,3,-2,0,1,0,0,Loss
Southampton,Sunderland,1,1,0,0,1,0,0,Draw
Swansea,Norwich,1,0,1,1,0,0,0,Win
Tottenham,Arsenal,2,2,0,1,0,0,0,Draw
Watford,Leicester,0,1,-1,0,1,0,0,Loss
Crystal Palace,Liverpool,1,2,-1,0,2,0,0,Loss
West Brom,Man United,1,0,1,1,0,0,0,Win
Bournemouth,Swansea,3,2,1,2,0,0,0,Win
Norwich,Man City,0,0,0,2,0,0,0,Draw
Stoke,Southampton,1,2,-1,0,1,0,0,Loss
Aston Villa,Tottenham,0,2,-2,0,2,0,0,Loss
Leicester,Newcastle,1,0,1,1,0,0,0,Win
Chelsea,West Ham,2,2,0,1,0,0,0,Draw
Crystal Palace,Leicester,0,1,-1,0,1,0,0,Loss
Everton,Arsenal,0,2,-2,0,2,0,0,Loss
Swansea,Aston Villa,1,0,1,1,0,0,0,Win
Watford,Stoke,1,2,-1,0,1,0,0,Loss
West Brom,Norwich,0,1,-1,0,2,0,0,Loss
Man City,Man United,0,1,-1,0,3,0,1,Loss
Newcastle,Sunderland,1,1,0,0,3,0,1,Draw
Southampton,Liverpool,3,2,1,1,0,0,0,Win
Tottenham,Bournemouth,3,0,3,2,0,0,0,Win
Arsenal,Watford,4,0,4,3,0,1,0,Win
Aston Villa,Chelsea,0,4,-4,0,1,0,0,Loss
Bournemouth,Man City,0,4,-4,0,2,0,0,Loss
Liverpool,Tottenham,1,1,0,0,2,0,0,Draw
Norwich,Newcastle,3,2,1,1,0,0,0,Win
Stoke,Swansea,2,2,0,1,0,0,0,Draw
Sunderland,West Brom,0,0,0,1,0,0,0,Draw
West Ham,Crystal Palace,2,2,0,1,0,0,0,Draw
Leicester,Southampton,1,0,1,2,0,0,0,Win
Man United,Everton,1,0,1,3,0,1,0,Win
Aston Villa,Bournemouth,1,2,-1,0,1,0,0,Loss
Crystal Palace,Norwich,1,0,1,1,0,0,0,Win
Man City,West Brom,2,1,1,2,0,0,0,Win
Southampton,Newcastle,3,1,2,3,0,1,0,Win
Swansea,Chelsea,1,0,1,4,0,1,0,Win
Watford,Everton,1,1,0,4,0,1,0,Draw
West Ham,Arsenal,3,3,0,4,0,1,0,Draw
Liverpool,Stoke,4,1,3,5,0,1,0,Win
Sunderland,Leicester,0,2,-2,0,1,0,0,Loss
Tottenham,Man United,3,0,3,1,0,0,0,Win
Crystal Palace,Everton,0,0,0,1,0,0,0,Draw
Chelsea,Man City,0,3,-3,0,1,0,0,Loss
Everton,Southampton,1,1,0,0,1,0,0,Draw
Man United,Aston Villa,1,0,1,1,0,0,0,Win
Newcastle,Swansea,3,0,3,2,0,0,0,Win
Norwich,Sunderland,0,3,-3,0,1,0,0,Loss
West Brom,Watford,0,1,-1,0,2,0,0,Loss
Arsenal,Crystal Palace,1,1,0,0,2,0,0,Draw
Bournemouth,Liverpool,1,2,-1,0,3,0,1,Loss
Leicester,West Ham,2,2,0,0,3,0,1,Draw
Stoke,Tottenham,0,4,-4,0,4,0,1,Loss
Newcastle,Man City,1,1,0,0,4,0,1,Draw
Liverpool,Everton,4,0,4,1,0,0,0,Win
Man United,Crystal Palace,2,0,2,2,0,0,0,Win
West Ham,Watford,3,1,2,3,0,1,0,Win
Arsenal,West Brom,2,0,2,4,0,1,0,Win
Aston Villa,Southampton,2,4,-2,0,1,0,0,Loss
Bournemouth,Chelsea,1,4,-3,0,2,0,0,Loss
Liverpool,Newcastle,2,2,0,0,2,0,0,Draw
Man City,Stoke,4,0,4,1,0,0,0,Win
Leicester,Swansea,4,0,4,2,0,0,0,Win
Sunderland,Arsenal,0,0,0,2,0,0,0,Draw
Tottenham,West Brom,1,1,0,2,0,0,0,Draw
Arsenal,Norwich,1,0,1,3,0,1,0,Win
Everton,Bournemouth,2,1,1,4,0,1,0,Win
Newcastle,Crystal Palace,1,0,1,5,0,1,0,Win
Stoke,Sunderland,1,1,0,5,0,1,0,Draw
Watford,Aston Villa,3,2,1,6,0,1,0,Win
West Brom,West Ham,0,3,-3,0,1,0,0,Loss
Man United,Leicester,1,1,0,0,1,0,0,Draw
Southampton,Man City,4,2,2,1,0,0,0,Win
Swansea,Liverpool,3,1,2,2,0,0,0,Win
Chelsea,Tottenham,2,2,0,2,0,0,0,Draw
Aston Villa,Newcastle,0,0,0,2,0,0,0,Draw
Bournemouth,West Brom,1,1,0,2,0,0,0,Draw
Crystal Palace,Stoke,2,1,1,3,0,1,0,Win
Leicester,Everton,3,1,2,4,0,1,0,Win
Norwich,Man United,0,1,-1,0,1,0,0,Loss
Sunderland,Chelsea,3,2,1,1,0,0,0,Win
West Ham,Swansea,1,4,-3,0,1,0,0,Loss
Liverpool,Watford,2,0,2,1,0,0,0,Win
Man City,Arsenal,2,2,0,1,0,0,0,Draw
Tottenham,Southampton,1,2,-1,0,1,0,0,Loss
West Ham,Man United,3,2,1,1,0,0,0,Win
Liverpool,Chelsea,1,1,0,1,0,0,0,Draw
Norwich,Watford,4,2,2,2,0,0,0,Win
Sunderland,Everton,3,0,3,3,0,1,0,Win
Arsenal,Aston Villa,4,0,4,4,0,1,0,Win
Chelsea,Leicester,1,1,0,4,0,1,0,Draw
Everton,Norwich,3,0,3,5,0,1,0,Win
Newcastle,Tottenham,5,1,4,6,0,1,0,Win
Southampton,Crystal Palace,4,1,3,7,0,1,0,Win
Stoke,West Ham,2,1,1,8,0,1,0,Win
Swansea,Man City,1,1,0,8,0,1,0,Draw
Watford,Sunderland,2,2,0,8,0,1,0,Draw
West Brom,Liverpool,1,1,0,8,0,1,0,Draw
Man United,Bournemouth,3,1,2,9,0,1,0,Win
Burnley,Swansea,0,1,-1,0,1,0,0,Loss
Crystal Palace,West Brom,0,1,-1,0,2,0,0,Loss
Everton,Tottenham,1,1,0,0,2,0,0,Draw
Hull,Leicester,2,1,1,1,0,0,0,Win
Man City,Sunderland,2,1,1,2,0,0,0,Win
Middlesbrough,Stoke,1,1,0,2,0,0,0,Draw
Southampton,Watford,1,1,0,2,0,0,0,Draw
Arsenal,Liverpool,3,4,-1,0,1,0,0,Loss
Bournemouth,Man United,1,3,-2,0,2,0,0,Loss
Chelsea,West Ham,2,1,1,1,0,0,0,Win
Man United,Southampton,2,0,2,2,0,0,0,Win
Burnley,Liverpool,2,0,2,3,0,1,0,Win
Leicester,Arsenal,0,0,0,3,0,1,0,Draw
Stoke,Man City,1,4,-3,0,1,0,0,Loss
Swansea,Hull,0,2,-2,0,2,0,0,Loss
Tottenham,Crystal Palace,1,0,1,1,0,0,0,Win
Watford,Chelsea,1,2,-1,0,1,0,0,Loss
West Brom,Everton,1,2,-1,0,2,0,0,Loss
Sunderland,Middlesbrough,1,2,-1,0,3,0,1,Loss
West Ham,Bournemouth,1,0,1,1,0,0,0,Win
Chelsea,Burnley,3,0,3,2,0,0,0,Win
Crystal Palace,Bournemouth,1,1,0,2,0,0,0,Draw
Everton,Stoke,1,0,1,3,0,1,0,Win
Hull,Man United,0,1,-1,0,1,0,0,Loss
Leicester,Swansea,2,1,1,1,0,0,0,Win
Southampton,Sunderland,1,1,0,1,0,0,0,Draw
Tottenham,Liverpool,1,1,0,1,0,0,0,Draw
Watford,Arsenal,1,3,-2,0,1,0,0,Loss
Man City,West Ham,3,1,2,1,0,0,0,Win
West Brom,Middlesbrough,0,0,0,1,0,0,0,Draw
Arsenal,Southampton,2,1,1,2,0,0,0,Win
Bournemouth,West Brom,1,0,1,3,0,1,0,Win
Burnley,Hull,1,1,0,3,0,1,0,Draw
Liverpool,Leicester,4,1,3,4,0,1,0,Win
Man United,Man City,1,2,-1,0,1,0,0,Loss
Middlesbrough,Crystal Palace,1,2,-1,0,2,0,0,Loss
Stoke,Tottenham,0,4,-4,0,3,0,1,Loss
West Ham,Watford,2,4,-2,0,4,0,1,Loss
Swansea,Chelsea,2,2,0,0,4,0,1,Draw
Sunderland,Everton,0,3,-3,0,5,0,1,Loss
Chelsea,Liverpool,1,2,-1,0,6,0,1,Loss
Everton,Middlesbrough,3,1,2,1,0,0,0,Win
Hull,Arsenal,1,4,-3,0,1,0,0,Loss
Leicester,Burnley,3,0,3,1,0,0,0,Win
Man City,Bournemouth,4,0,4,2,0,0,0,Win
West Brom,West Ham,4,2,2,3,0,1,0,Win
Crystal Palace,Stoke,4,1,3,4,0,1,0,Win
Southampton,Swansea,1,0,1,5,0,1,0,Win
Tottenham,Sunderland,1,0,1,6,0,1,0,Win
Watford,Man United,3,1,2,7,0,1,0,Win
Arsenal,Chelsea,3,0,3,8,0,1,0,Win
Bournemouth,Everton,1,0,1,9,0,1,0,Win
Liverpool,Hull,5,1,4,10,0,1,0,Win
Man United,Leicester,4,1,3,11,0,1,0,Win
Middlesbrough,Tottenham,1,2,-1,0,1,0,0,Loss
Stoke,West Brom,1,1,0,0,1,0,0,Draw
Sunderland,Crystal Palace,2,3,-1,0,2,0,0,Loss
Swansea,Man City,1,3,-2,0,3,0,1,Loss
West Ham,Southampton,0,3,-3,0,4,0,1,Loss
Burnley,Watford,2,0,2,1,0,0,0,Win
Everton,Crystal Palace,1,1,0,1,0,0,0,Draw
Hull,Chelsea,0,2,-2,0,1,0,0,Loss
Sunderland,West Brom,1,1,0,0,1,0,0,Draw
Swansea,Liverpool,1,2,-1,0,2,0,0,Loss
Watford,Bournemouth,2,2,0,0,2,0,0,Draw
West Ham,Middlesbrough,1,1,0,0,2,0,0,Draw
Burnley,Arsenal,0,1,-1,0,3,0,1,Loss
Leicester,Southampton,0,0,0,0,3,0,1,Draw
Man United,Stoke,1,1,0,0,3,0,1,Draw
Tottenham,Man City,2,0,2,1,0,0,0,Win
Arsenal,Swansea,3,2,1,2,0,0,0,Win
Bournemouth,Hull,6,1,5,3,0,1,0,Win
Chelsea,Leicester,3,0,3,4,0,1,0,Win
Crystal Palace,West Ham,0,1,-1,0,1,0,0,Loss
Man City,Everton,1,1,0,0,1,0,0,Draw
Stoke,Sunderland,2,0,2,1,0,0,0,Win
West Brom,Tottenham,1,1,0,1,0,0,0,Draw
Middlesbrough,Watford,0,1,-1,0,1,0,0,Loss
Southampton,Burnley,3,1,2,1,0,0,0,Win
Liverpool,Man United,0,0,0,1,0,0,0,Draw
Arsenal,Middlesbrough,0,0,0,1,0,0,0,Draw
Bournemouth,Tottenham,0,0,0,1,0,0,0,Draw
Burnley,Everton,2,1,1,2,0,0,0,Win
Hull,Stoke,0,2,-2,0,1,0,0,Loss
Leicester,Crystal Palace,3,1,2,1,0,0,0,Win
Liverpool,West Brom,2,1,1,2,0,0,0,Win
Swansea,Watford,0,0,0,2,0,0,0,Draw
West Ham,Sunderland,1,0,1,3,0,1,0,Win
Chelsea,Man United,4,0,4,4,0,1,0,Win
Man City,Southampton,1,1,0,4,0,1,0,Draw
Crystal Palace,Liverpool,2,4,-2,0,1,0,0,Loss
Man United,Burnley,0,0,0,0,1,0,0,Draw
Middlesbrough,Bournemouth,2,0,2,1,0,0,0,Win
Sunderland,Arsenal,1,4,-3,0,1,0,0,Loss
Tottenham,Leicester,1,1,0,0,1,0,0,Draw
Watford,Hull,1,0,1,1,0,0,0,Win
West Brom,Man City,0,4,-4,0,1,0,0,Loss
Everton,West Ham,2,0,2,1,0,0,0,Win
Southampton,Chelsea,0,2,-2,0,1,0,0,Loss
Stoke,Swansea,3,1,2,1,0,0,0,Win
Bournemouth,Sunderland,1,2,-1,0,1,0,0,Loss
Burnley,Crystal Palace,3,2,1,1,0,0,0,Win
Chelsea,Everton,5,0,5,2,0,0,0,Win
Man City,Middlesbrough,1,1,0,2,0,0,0,Draw
West Ham,Stoke,1,1,0,2,0,0,0,Draw
Arsenal,Tottenham,1,1,0,2,0,0,0,Draw
Hull,Southampton,2,1,1,3,0,1,0,Win
Leicester,West Brom,1,2,-1,0,1,0,0,Loss
Liverpool,Watford,6,1,5,1,0,0,0,Win
Swansea,Man United,1,3,-2,0,1,0,0,Loss
Crystal Palace,Man City,1,2,-1,0,2,0,0,Loss
Everton,Swansea,1,1,0,0,2,0,0,Draw
Man United,Arsenal,1,1,0,0,2,0,0,Draw
Southampton,Liverpool,0,0,0,0,2,0,0,Draw
Stoke,Bournemouth,0,1,-1,0,3,0,1,Loss
Sunderland,Hull,3,0,3,1,0,0,0,Win
Tottenham,West Ham,3,2,1,2,0,0,0,Win
Watford,Leicester,2,1,1,3,0,1,0,Win
Middlesbrough,Chelsea,0,1,-1,0,1,0,0,Loss
West Brom,Burnley,4,0,4,1,0,0,0,Win
Burnley,Man City,1,2,-1,0,1,0,0,Loss
Chelsea,Tottenham,2,1,1,1,0,0,0,Win
Hull,West Brom,1,1,0,1,0,0,0,Draw
Leicester,Middlesbrough,2,2,0,1,0,0,0,Draw
Liverpool,Sunderland,2,0,2,2,0,0,0,Win
Swansea,Crystal Palace,5,4,1,3,0,1,0,Win
Arsenal,Bournemouth,3,1,2,4,0,1,0,Win
Man United,West Ham,1,1,0,4,0,1,0,Draw
Southampton,Everton,1,0,1,5,0,1,0,Win
Watford,Stoke,0,1,-1,0,1,0,0,Loss
Crystal Palace,Southampton,3,0,3,1,0,0,0,Win
Man City,Chelsea,1,3,-2,0,1,0,0,Loss
Stoke,Burnley,2,0,2,1,0,0,0,Win
Sunderland,Leicester,2,1,1,2,0,0,0,Win
Tottenham,Swansea,5,0,5,3,0,1,0,Win
West Brom,Watford,3,1,2,4,0,1,0,Win
West Ham,Arsenal,1,5,-4,0,1,0,0,Loss
Bournemouth,Liverpool,4,3,1,1,0,0,0,Win
Everton,Man United,1,1,0,1,0,0,0,Draw
Middlesbrough,Hull,1,0,1,2,0,0,0,Win
Arsenal,Stoke,3,1,2,3,0,1,0,Win
Burnley,Bournemouth,3,2,1,4,0,1,0,Win
Hull,Crystal Palace,3,3,0,4,0,1,0,Draw
Leicester,Man City,4,2,2,5,0,1,0,Win
Swansea,Sunderland,3,0,3,6,0,1,0,Win
Watford,Everton,3,2,1,7,0,1,0,Win
Chelsea,West Brom,1,0,1,8,0,1,0,Win
Liverpool,West Ham,2,2,0,8,0,1,0,Draw
Man United,Tottenham,1,0,1,9,0,1,0,Win
Southampton,Middlesbrough,1,0,1,10,0,1,0,Win
Bournemouth,Leicester,1,0,1,11,0,1,0,Win
Everton,Arsenal,2,1,1,12,0,1,0,Win
Crystal Palace,Man United,1,2,-1,0,1,0,0,Loss
Man City,Watford,2,0,2,1,0,0,0,Win
Middlesbrough,Liverpool,0,3,-3,0,1,0,0,Loss
Stoke,Southampton,0,0,0,0,1,0,0,Draw
Sunderland,Chelsea,0,1,-1,0,2,0,0,Loss
Tottenham,Hull,3,0,3,1,0,0,0,Win
West Brom,Swansea,3,1,2,2,0,0,0,Win
West Ham,Burnley,1,0,1,3,0,1,0,Win
Crystal Palace,Chelsea,0,1,-1,0,1,0,0,Loss
Middlesbrough,Swansea,3,0,3,1,0,0,0,Win
Stoke,Leicester,2,2,0,1,0,0,0,Draw
Sunderland,Watford,1,0,1,2,0,0,0,Win
West Brom,Man United,0,2,-2,0,1,0,0,Loss
West Ham,Hull,1,0,1,1,0,0,0,Win
Bournemouth,Southampton,1,3,-2,0,1,0,0,Loss
Man City,Arsenal,2,1,1,1,0,0,0,Win
Tottenham,Burnley,2,1,1,2,0,0,0,Win
Everton,Liverpool,0,1,-1,0,1,0,0,Loss
Arsenal,West Brom,1,0,1,1,0,0,0,Win
Burnley,Middlesbrough,1,0,1,2,0,0,0,Win
Chelsea,Bournemouth,3,0,3,3,0,1,0,Win
Hull,Man City,0,3,-3,0,1,0,0,Loss
Leicester,Everton,0,2,-2,0,2,0,0,Loss
Man United,Sunderland,3,1,2,1,0,0,0,Win
Swansea,West Ham,1,4,-3,0,1,0,0,Loss
Watford,Crystal Palace,1,1,0,0,1,0,0,Draw
Liverpool,Stoke,4,1,3,1,0,0,0,Win
Southampton,Tottenham,1,4,-3,0,1,0,0,Loss
Hull,Everton,2,2,0,0,1,0,0,Draw
Burnley,Sunderland,4,1,3,1,0,0,0,Win
Chelsea,Stoke,4,2,2,2,0,0,0,Win
Leicester,West Ham,1,0,1,3,0,1,0,Win
Liverpool,Man City,1,0,1,4,0,1,0,Win
Man United,Middlesbrough,2,1,1,5,0,1,0,Win
Southampton,West Brom,1,2,-1,0,1,0,0,Loss
Swansea,Bournemouth,0,3,-3,0,2,0,0,Loss
Arsenal,Crystal Palace,2,0,2,1,0,0,0,Win
Watford,Tottenham,1,4,-3,0,1,0,0,Loss
Everton,Southampton,3,0,3,1,0,0,0,Win
Man City,Burnley,2,1,1,2,0,0,0,Win
Middlesbrough,Leicester,0,0,0,2,0,0,0,Draw
Sunderland,Liverpool,2,2,0,2,0,0,0,Draw
West Brom,Hull,3,1,2,3,0,1,0,Win
West Ham,Man United,0,2,-2,0,1,0,0,Loss
Bournemouth,Arsenal,3,3,0,0,1,0,0,Draw
Crystal Palace,Swansea,1,2,-1,0,2,0,0,Loss
Stoke,Watford,2,0,2,1,0,0,0,Win
Tottenham,Chelsea,2,0,2,2,0,0,0,Win
Burnley,Southampton,1,0,1,3,0,1,0,Win
Hull,Bournemouth,3,1,2,4,0,1,0,Win
Leicester,Chelsea,0,3,-3,0,1,0,0,Loss
Sunderland,Stoke,1,3,-2,0,2,0,0,Loss
Swansea,Arsenal,0,4,-4,0,3,0,1,Loss
Tottenham,West Brom,4,0,4,1,0,0,0,Win
