HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,HomeWinStreak,AwayWinStreak,TGSH,TGSA,Results
Arsenal,Man United,1,2,-1,0,3,0,1,Loss
Chelsea,West Brom,2,0,2,1,0,0,0,Win
Everton,West Ham,2,1,1,2,0,0,0,Win
Leicester,Sunderland,0,0,0,2,0,0,0,Draw
Man City,Swansea,2,1,1,3,0,1,0,Win
Newcastle,QPR,1,0,1,4,0,1,0,Win
Stoke,Burnley,1,2,-1,0,1,0,0,Loss
Crystal Palace,Liverpool,3,1,2,1,0,0,0,Win
Hull,Tottenham,1,2,-1,0,1,0,0,Loss
Aston Villa,Southampton,1,1,0,0,1,0,0,Draw
Burnley,Aston Villa,1,1,0,0,1,0,0,Draw
Liverpool,Stoke,1,0,1,1,0,0,0,Win
Man United,Hull,3,0,3,2,0,0,0,Win
QPR,Leicester,3,2,1,3,0,1,0,Win
Sunderland,Chelsea,0,0,0,3,0,1,0,Draw
Swansea,Crystal Palace,1,1,0,3,0,1,0,Draw
West Brom,Arsenal,0,1,-1,0,1,0,0,Loss
West Ham,Newcastle,1,0,1,1,0,0,0,Win
Southampton,Man City,0,3,-3,0,1,0,0,Loss
Tottenham,Everton,2,1,1,1,0,0,0,Win
Burnley,Newcastle,1,1,0,1,0,0,0,Draw
Crystal Palace,Aston Villa,0,1,-1,0,1,0,0,Loss
Leicester,Liverpool,1,3,-2,0,2,0,0,Loss
Man United,Stoke,2,1,1,1,0,0,0,Win
Swansea,QPR,2,0,2,2,0,0,0,Win
West Brom,West Ham,1,2,-1,0,1,0,0,Loss
Arsenal,Southampton,1,0,1,1,0,0,0,Win
Chelsea,Tottenham,3,0,3,2,0,0,0,Win
Everton,Hull,1,1,0,2,0,0,0,Draw
Sunderland,Man City,1,4,-3,0,1,0,0,Loss
Hull,West Brom,0,0,0,0,1,0,0,Draw
Liverpool,Sunderland,0,0,0,0,1,0,0,Draw
Man City,Everton,1,0,1,1,0,0,0,Win
Newcastle,Chelsea,2,1,1,2,0,0,0,Win
QPR,Burnley,2,0,2,3,0,1,0,Win
Stoke,Arsenal,3,2,1,4,0,1,0,Win
Tottenham,Crystal Palace,0,0,0,4,0,1,0,Draw
Aston Villa,Leicester,2,1,1,5,0,1,0,Win
West Ham,Swansea,3,1,2,6,0,1,0,Win
Southampton,Man United,1,2,-1,0,1,0,0,Loss
Arsenal,Newcastle,4,1,3,1,0,0,0,Win
Burnley,Southampton,1,0,1,2,0,0,0,Win
Chelsea,Hull,2,0,2,3,0,1,0,Win
Crystal Palace,Stoke,1,1,0,3,0,1,0,Draw
Leicester,Man City,0,1,-1,0,1,0,0,Loss
Sunderland,West Ham,1,1,0,0,1,0,0,Draw
West Brom,Aston Villa,1,0,1,1,0,0,0,Win
Man United,Liverpool,3,0,3,2,0,0,0,Win
Swansea,Tottenham,1,2,-1,0,1,0,0,Loss
Everton,QPR,3,1,2,1,0,0,0,Win
Aston Villa,Man United,1,1,0,1,0,0,0,Draw
Hull,Swansea,0,1,-1,0,1,0,0,Loss
Man City,Crystal Palace,3,0,3,1,0,0,0,Win
QPR,West Brom,3,2,1,2,0,0,0,Win
Southampton,Everton,3,0,3,3,0,1,0,Win
Tottenham,Burnley,2,1,1,4,0,1,0,Win
West Ham,Leicester,2,0,2,5,0,1,0,Win
Liverpool,Arsenal,2,2,0,5,0,1,0,Draw
Newcastle,Sunderland,0,1,-1,0,1,0,0,Loss
Stoke,Chelsea,0,2,-2,0,2,0,0,Loss
Arsenal,QPR,2,1,1,1,0,0,0,Win
Burnley,Liverpool,0,1,-1,0,1,0,0,Loss
Chelsea,West Ham,2,0,2,1,0,0,0,Win
Crystal Palace,Southampton,1,3,-2,0,1,0,0,Loss
Everton,Stoke,0,1,-1,0,2,0,0,Loss
Leicester,Tottenham,1,2,-1,0,3,0,1,Loss
Man United,Newcastle,3,1,2,1,0,0,0,Win
Sunderland,Hull,1,3,-2,0,1,0,0,Loss
Swansea,Aston Villa,1,0,1,1,0,0,0,Win
West Brom,Man City,1,3,-2,0,1,0,0,Loss
Aston Villa,Sunderland,0,0,0,0,1,0,0,Draw
Hull,Leicester,0,1,-1,0,2,0,0,Loss
Man City,Burnley,2,2,0,0,2,0,0,Draw
Newcastle,Everton,3,2,1,1,0,0,0,Win
QPR,Crystal Palace,0,0,0,1,0,0,0,Draw
Southampton,Chelsea,1,1,0,1,0,0,0,Draw
Stoke,West Brom,2,0,2,2,0,0,0,Win
Tottenham,Man United,0,0,0,2,0,0,0,Draw
West Ham,Arsenal,1,2,-1,0,1,0,0,Loss
Liverpool,Swansea,4,1,3,1,0,0,0,Win
Aston Villa,Crystal Palace,0,0,0,1,0,0,0,Draw
Hull,Everton,2,0,2,2,0,0,0,Win
Liverpool,Leicester,2,2,0,2,0,0,0,Draw
Man City,Sunderland,3,2,1,3,0,1,0,Win
Newcastle,Burnley,3,3,0,3,0,1,0,Draw
QPR,Swansea,1,1,0,3,0,1,0,Draw
Southampton,Arsenal,2,0,2,4,0,1,0,Win
Stoke,Man United,1,1,0,4,0,1,0,Draw
Tottenham,Chelsea,5,3,2,5,0,1,0,Win
West Ham,West Brom,1,1,0,5,0,1,0,Draw
Burnley,QPR,2,1,1,6,0,1,0,Win
Chelsea,Newcastle,2,0,2,7,0,1,0,Win
Crystal Palace,Tottenham,2,1,1,8,0,1,0,Win
Everton,Man City,1,1,0,8,0,1,0,Draw
Leicester,Aston Villa,1,0,1,9,0,1,0,Win
Sunderland,Liverpool,0,1,-1,0,1,0,0,Loss
Swansea,West Ham,1,1,0,0,1,0,0,Draw
West Brom,Hull,1,0,1,1,0,0,0,Win
Arsenal,Stoke,3,0,3,2,0,0,0,Win
Man United,Southampton,0,1,-1,0,1,0,0,Loss
Aston Villa,Liverpool,0,2,-2,0,2,0,0,Loss
Burnley,Crystal Palace,2,3,-1,0,3,0,1,Loss
Leicester,Stoke,0,1,-1,0,4,0,1,Loss
Newcastle,Southampton,1,2,-1,0,5,0,1,Loss
QPR,Man United,0,2,-2,0,6,0,1,Loss
Swansea,Chelsea,0,5,-5,0,7,0,1,Loss
Tottenham,Sunderland,2,1,1,1,0,0,0,Win
Man City,Arsenal,0,2,-2,0,1,0,0,Loss
West Ham,Hull,3,0,3,1,0,0,0,Win
Everton,West Brom,0,0,0,1,0,0,0,Draw
Chelsea,Man City,1,1,0,1,0,0,0,Draw
Crystal Palace,Everton,0,1,-1,0,1,0,0,Loss
Hull,Newcastle,0,3,-3,0,2,0,0,Loss
Liverpool,West Ham,2,0,2,1,0,0,0,Win
Man United,Leicester,3,1,2,2,0,0,0,Win
Stoke,QPR,3,1,2,3,0,1,0,Win
Sunderland,Burnley,2,0,2,4,0,1,0,Win
West Brom,Tottenham,0,3,-3,0,1,0,0,Loss
Arsenal,Aston Villa,5,0,5,1,0,0,0,Win
Southampton,Swansea,0,1,-1,0,1,0,0,Loss
Aston Villa,Chelsea,1,2,-1,0,2,0,0,Loss
Everton,Liverpool,0,0,0,0,2,0,0,Draw
Leicester,Crystal Palace,0,1,-1,0,3,0,1,Loss
Man City,Hull,1,1,0,0,3,0,1,Draw
