,0,1,2,3,4,5,6
122,West Ham,Crystal Palace,1,2,1,2,0
123,Crystal Palace,Man City,0,2,-2,0,0
124,Arsenal,Crystal Palace,2,2,0,0,0
125,Crystal Palace,Leicester,0,2,-2,0,0
126,Chelsea,Crystal Palace,2,0,-2,0,0
127,Crystal Palace,Liverpool,1,2,-1,0,0
128,Burnley,Crystal Palace,0,2,2,1,0
129,Crystal Palace,Bournemouth,1,0,1,2,0
130,Watford,Crystal Palace,0,0,0,0,0
131,Crystal Palace,Brighton,1,1,0,0,0
132,Newcastle,Crystal Palace,1,0,-1,0,0
133,Crystal Palace,West Ham,2,1,1,1,0
134,Southampton,Crystal Palace,1,1,0,0,0
135,Norwich,Crystal Palace,1,1,0,0,0
136,Crystal Palace,Arsenal,1,1,0,0,0
137,Man City,Crystal Palace,2,2,0,0,0
138,Crystal Palace,Southampton,0,2,-2,0,0
139,Crystal Palace,Sheffield United,0,1,-1,0,0
140,Everton,Crystal Palace,3,1,-2,0,0
141,Crystal Palace,Newcastle,1,0,1,1,0
142,Brighton,Crystal Palace,0,1,1,2,0
143,Crystal Palace,Watford,1,0,1,3,1
144,Bournemouth,Crystal Palace,0,2,2,4,1
145,Liverpool,Crystal Palace,4,0,-4,0,0
146,Crystal Palace,Burnley,0,1,-1,0,0
147,Leicester,Crystal Palace,3,0,-3,0,0
148,Crystal Palace,Chelsea,2,3,-1,0,0
149,Aston Villa,Crystal Palace,2,0,-2,0,0
150,Crystal Palace,Man United,0,2,-2,0,0
151,Wolves,Crystal Palace,2,0,-2,0,0
152,Crystal Palace,Tottenham,1,1,0,0,0
153,Crystal Palace,Southampton,1,0,1,1,0
154,Man United,Crystal Palace,1,3,2,2,0
155,Crystal Palace,Everton,1,2,-1,0,0
156,Chelsea,Crystal Palace,4,0,-4,0,0
157,Crystal Palace,Brighton,1,1,0,0,0
158,Fulham,Crystal Palace,1,2,1,1,0
159,Wolves,Crystal Palace,2,0,-2,0,0
160,Crystal Palace,Leeds,4,1,3,1,0
161,Burnley,Crystal Palace,1,0,-1,0,0
162,Crystal Palace,Newcastle,0,2,-2,0,0
163,West Brom,Crystal Palace,1,5,4,1,0
164,Crystal Palace,Tottenham,1,1,0,0,0
165,West Ham,Crystal Palace,1,1,0,0,0
166,Crystal Palace,Liverpool,0,7,-7,0,0
167,Aston Villa,Crystal Palace,3,0,-3,0,0
168,Crystal Palace,Leicester,1,1,0,0,0
169,Crystal Palace,Sheffield United,2,0,2,1,0
170,Arsenal,Crystal Palace,0,0,0,0,0
171,Man City,Crystal Palace,4,0,-4,0,0
172,Crystal Palace,West Ham,2,3,-1,0,0
173,Crystal Palace,Wolves,1,0,1,1,0
174,Newcastle,Crystal Palace,1,2,1,2,0
175,Leeds,Crystal Palace,2,0,-2,0,0
176,Crystal Palace,Burnley,0,3,-3,0,0
177,Brighton,Crystal Palace,1,2,1,1,0
178,Crystal Palace,Fulham,0,0,0,0,0
179,Crystal Palace,Man United,0,0,0,0,0
180,Tottenham,Crystal Palace,4,1,-3,0,0
181,Crystal Palace,West Brom,1,0,1,1,0
182,Everton,Crystal Palace,1,1,0,0,0
183,Crystal Palace,Chelsea,1,4,-3,0,0
184,Leicester,Crystal Palace,2,1,-1,0,0
185,Crystal Palace,Man City,0,2,-2,0,0
186,Sheffield United,Crystal Palace,0,2,2,1,0
187,Southampton,Crystal Palace,3,1,-2,0,0
188,Crystal Palace,Aston Villa,3,2,1,1,0
189,Crystal Palace,Arsenal,1,3,-2,0,0
190,Liverpool,Crystal Palace,2,0,-2,0,0
