,0,1,2,3,4,5,6
133,Tottenham,Brighton,2,1,1,1,0
134,Norwich,Tottenham,2,2,0,0,0
135,Southampton,Tottenham,1,0,-1,0,0
136,Tottenham,Liverpool,0,1,-1,0,0
137,Watford,Tottenham,0,0,0,0,0
138,Tottenham,Norwich,2,1,1,1,0
139,Tottenham,Man City,2,0,2,2,0
140,Aston Villa,Tottenham,2,3,1,3,1
141,Chelsea,Tottenham,2,1,-1,0,0
142,Tottenham,Wolves,2,3,-1,0,0
143,Burnley,Tottenham,1,1,0,0,0
144,Tottenham,Man United,1,1,0,0,0
145,Tottenham,West Ham,2,0,2,1,0
146,Sheffield United,Tottenham,3,1,-2,0,0
147,Tottenham,Everton,1,0,1,1,0
148,Bournemouth,Tottenham,0,0,0,0,0
149,Tottenham,Arsenal,2,1,1,1,0
150,Newcastle,Tottenham,1,3,2,2,0
151,Tottenham,Leicester,3,0,3,3,1
152,Crystal Palace,Tottenham,1,1,0,0,0
153,Tottenham,Everton,0,1,-1,0,0
154,Southampton,Tottenham,2,5,3,1,0
155,Tottenham,Newcastle,1,1,0,0,0
156,Man United,Tottenham,1,6,5,1,0
157,Tottenham,West Ham,3,3,0,0,0
158,Burnley,Tottenham,0,1,1,1,0
159,Tottenham,Brighton,2,1,1,2,0
160,West Brom,Tottenham,0,1,1,3,1
161,Tottenham,Man City,2,0,2,4,1
162,Chelsea,Tottenham,0,0,0,0,0
163,Tottenham,Arsenal,2,0,2,1,0
164,Crystal Palace,Tottenham,1,1,0,0,0
165,Liverpool,Tottenham,2,1,-1,0,0
166,Tottenham,Leicester,0,2,-2,0,0
167,Wolves,Tottenham,1,1,0,0,0
168,Tottenham,Leeds,3,0,3,1,0
169,Tottenham,Fulham,1,1,0,0,0
170,Sheffield United,Tottenham,1,3,2,1,0
171,Tottenham,Liverpool,1,3,-2,0,0
172,Brighton,Tottenham,1,0,-1,0,0
173,Tottenham,Chelsea,0,1,-1,0,0
174,Tottenham,West Brom,2,0,2,1,0
175,Man City,Tottenham,3,0,-3,0,0
176,West Ham,Tottenham,2,1,-1,0,0
177,Tottenham,Burnley,4,0,4,1,0
178,Fulham,Tottenham,0,1,1,2,0
179,Tottenham,Crystal Palace,4,1,3,3,1
180,Arsenal,Tottenham,2,1,-1,0,0
181,Aston Villa,Tottenham,0,2,2,1,0
182,Newcastle,Tottenham,2,2,0,0,0
183,Tottenham,Man United,1,3,-2,0,0
184,Everton,Tottenham,2,2,0,0,0
185,Tottenham,Southampton,2,1,1,1,0
186,Tottenham,Sheffield United,4,0,4,2,0
187,Leeds,Tottenham,3,1,-2,0,0
188,Tottenham,Wolves,2,0,2,1,0
189,Tottenham,Aston Villa,1,2,-1,0,0
190,Leicester,Tottenham,2,4,2,1,0
