Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results
Stoke,1,4,1,3,1,0,Win
Bournemouth,0,1,2,1,2,0,Win
Everton,1,4,0,4,3,1,Win
Newcastle,1,2,2,0,0,0,Draw
Swansea,0,3,1,-2,0,0,Loss
Watford,1,2,0,2,1,0,Win
Chelsea,1,1,1,0,0,0,Draw
West Brom,0,1,1,0,0,0,Draw
Arsenal,0,3,4,1,1,0,Win
Burnley,0,2,0,-2,0,0,Loss
Tottenham,0,1,1,0,0,0,Draw
Leicester,1,4,1,3,1,0,Win
Chelsea,0,1,2,1,2,0,Win
Hull,1,5,1,4,3,1,Win
Swansea,0,1,2,1,4,1,Win
Man United,1,0,0,0,0,0,Draw
West Brom,1,2,1,1,1,0,Win
Crystal Palace,0,2,4,2,2,0,Win
Watford,1,6,1,5,3,1,Win
Southampton,0,0,0,0,0,0,Draw
Sunderland,1,2,0,2,1,0,Win
Bournemouth,0,4,3,-1,0,0,Loss
West Ham,1,2,2,0,0,0,Draw
Middlesbrough,0,0,3,3,1,0,Win
Everton,0,0,1,1,2,0,Win
Stoke,1,4,1,3,3,1,Win
Man City,1,1,0,1,4,1,Win
Sunderland,0,2,2,0,0,0,Draw
Man United,0,1,1,0,0,0,Draw
Swansea,1,2,3,-1,0,0,Loss
Chelsea,1,1,1,0,0,0,Draw
Hull,0,2,0,-2,0,0,Loss
Tottenham,1,2,0,2,1,0,Win
Leicester,0,3,1,-2,0,0,Loss
Arsenal,1,3,1,2,1,0,Win
Burnley,1,2,1,1,2,0,Win
Man City,0,1,1,0,0,0,Draw
Everton,1,3,1,2,1,0,Win
Bournemouth,1,2,2,0,0,0,Draw
Stoke,0,1,2,1,1,0,Win
West Brom,0,0,1,1,2,0,Win
Crystal Palace,1,1,2,-1,0,0,Loss
Watford,0,0,1,1,1,0,Win
Southampton,1,0,0,0,0,0,Draw
West Ham,0,0,4,4,1,0,Win
Middlesbrough,1,3,0,3,2,0,Win
Watford,0,3,3,0,0,0,Draw
Crystal Palace,1,1,0,1,1,0,Win
Arsenal,1,4,0,4,2,0,Win
Man City,0,5,0,-5,0,0,Loss
Burnley,1,1,1,0,0,0,Draw
Leicester,0,2,3,1,1,0,Win
Newcastle,0,1,1,0,0,0,Draw
Man United,1,0,0,0,0,0,Draw
Tottenham,0,4,1,-3,0,0,Loss
Huddersfield,1,3,0,3,1,0,Win
West Ham,0,1,4,3,2,0,Win
Southampton,1,3,0,3,3,1,Win
Chelsea,1,1,1,0,0,0,Draw
Stoke,0,0,3,3,1,0,Win
Brighton,0,1,5,4,2,0,Win
Everton,1,1,1,0,0,0,Draw
West Brom,1,0,0,0,0,0,Draw
Bournemouth,0,0,4,4,1,0,Win
Arsenal,0,3,3,0,0,0,Draw
Swansea,1,5,0,5,1,0,Win
Leicester,1,2,1,1,2,0,Win
Burnley,0,1,2,1,3,1,Win
Man City,1,4,3,1,4,1,Win
Swansea,0,1,0,-1,0,0,Loss
Huddersfield,0,0,3,3,1,0,Win
Tottenham,1,2,2,0,0,0,Draw
Southampton,0,0,2,2,1,0,Win
West Ham,1,4,1,3,2,0,Win
Newcastle,1,2,0,2,3,1,Win
Man United,0,2,1,-1,0,0,Loss
Watford,1,5,0,5,1,0,Win
Crystal Palace,0,1,2,1,2,0,Win
Everton,0,0,0,0,0,0,Draw
Bournemouth,1,3,0,3,1,0,Win
West Brom,0,2,2,0,0,0,Draw
Stoke,1,0,0,0,0,0,Draw
Chelsea,0,1,0,-1,0,0,Loss
Brighton,1,4,0,4,1,0,Win
West Ham,1,4,0,4,1,0,Win
Crystal Palace,0,0,2,2,2,0,Win
Brighton,1,1,0,1,3,1,Win
Leicester,0,1,2,1,4,1,Win
Tottenham,0,1,2,1,5,1,Win
Southampton,1,3,0,3,6,1,Win
Chelsea,0,1,1,0,0,0,Draw
Man City,1,0,0,0,0,0,Draw
Huddersfield,0,0,1,1,1,0,Win
Cardiff,1,4,1,3,2,0,Win
Arsenal,0,1,1,0,0,0,Draw
Fulham,1,2,0,2,1,0,Win
Watford,0,0,3,3,2,0,Win
Everton,1,1,0,1,3,1,Win
Burnley,0,1,3,2,4,1,Win
Bournemouth,0,0,4,4,5,1,Win
Man United,1,3,1,2,6,1,Win
Wolves,0,0,2,2,7,1,Win
Newcastle,1,4,0,4,8,1,Win
Arsenal,1,5,1,4,9,1,Win
Man City,0,2,1,-1,0,0,Loss
Brighton,0,0,1,1,1,0,Win
Crystal Palace,1,4,3,1,2,0,Win
Leicester,1,1,1,0,0,0,Draw
West Ham,0,1,1,0,0,0,Draw
Bournemouth,1,3,0,3,1,0,Win
Man United,0,0,0,0,0,0,Draw
Watford,1,5,0,5,1,0,Win
Everton,0,0,0,0,0,0,Draw
Burnley,1,4,2,2,1,0,Win
Fulham,0,1,2,1,2,0,Win
Tottenham,1,2,1,1,3,1,Win
Southampton,0,1,3,2,4,1,Win
Chelsea,1,2,0,2,5,1,Win
Cardiff,0,0,2,2,6,1,Win
Huddersfield,1,5,0,5,7,1,Win
Newcastle,0,2,3,1,8,1,Win
Wolves,1,2,0,2,9,1,Win
Norwich,1,4,1,3,1,0,Win
Southampton,0,1,2,1,2,0,Win
Arsenal,1,3,1,2,3,1,Win
Burnley,0,0,3,3,4,1,Win
Newcastle,1,3,1,2,5,1,Win
Chelsea,0,1,2,1,6,1,Win
Sheffield United,0,0,1,1,7,1,Win
Leicester,1,2,1,1,8,1,Win
Man United,0,1,1,0,0,0,Draw
Tottenham,1,2,1,1,1,0,Win
Aston Villa,0,1,2,1,2,0,Win
Man City,1,3,1,2,3,1,Win
Crystal Palace,0,1,2,1,4,1,Win
Brighton,1,2,1,1,5,1,Win
Everton,1,5,2,3,6,1,Win
Bournemouth,0,0,3,3,7,1,Win
Watford,1,2,0,2,8,1,Win
Leicester,0,0,4,4,9,1,Win
Wolves,1,1,0,1,10,1,Win
Sheffield United,1,2,0,2,11,1,Win
Tottenham,0,0,1,1,12,1,Win
Man United,1,2,0,2,13,1,Win
Wolves,0,1,2,1,14,1,Win
West Ham,0,0,2,2,15,1,Win
Southampton,1,4,0,4,16,1,Win
Norwich,0,0,1,1,17,1,Win
West Ham,1,3,2,1,18,1,Win
Watford,0,3,0,-3,0,0,Loss
Bournemouth,1,2,1,1,1,0,Win
Everton,0,0,0,0,0,0,Draw
Crystal Palace,1,4,0,4,1,0,Win
Man City,0,4,0,-4,0,0,Loss
Aston Villa,1,2,0,2,1,0,Win
Brighton,0,1,3,2,2,0,Win
Burnley,1,1,1,0,0,0,Draw
Arsenal,0,2,1,-1,0,0,Loss
Chelsea,1,5,3,2,1,0,Win
Newcastle,0,1,3,2,2,0,Win
Arsenal,0,3,4,1,1,0,Win
Burnley,0,2,0,-2,0,0,Loss
Tottenham,0,1,1,0,0,0,Draw
Leicester,1,4,1,3,1,0,Win
Chelsea,0,1,2,1,2,0,Win
Hull,1,5,1,4,3,1,Win
Swansea,0,1,2,1,4,1,Win
Man United,1,0,0,0,0,0,Draw
West Brom,1,2,1,1,1,0,Win
Crystal Palace,0,2,4,2,2,0,Win
Watford,1,6,1,5,3,1,Win
Southampton,0,0,0,0,0,0,Draw
Sunderland,1,2,0,2,1,0,Win
Bournemouth,0,4,3,-1,0,0,Loss
West Ham,1,2,2,0,0,0,Draw
Middlesbrough,0,0,3,3,1,0,Win
Everton,0,0,1,1,2,0,Win
Stoke,1,4,1,3,3,1,Win
Man City,1,1,0,1,4,1,Win
Sunderland,0,2,2,0,0,0,Draw
Man United,0,1,1,0,0,0,Draw
Swansea,1,2,3,-1,0,0,Loss
Chelsea,1,1,1,0,0,0,Draw
Hull,0,2,0,-2,0,0,Loss
Tottenham,1,2,0,2,1,0,Win
Leicester,0,3,1,-2,0,0,Loss
Arsenal,1,3,1,2,1,0,Win
Burnley,1,2,1,1,2,0,Win
Man City,0,1,1,0,0,0,Draw
Everton,1,3,1,2,1,0,Win
Bournemouth,1,2,2,0,0,0,Draw
Stoke,0,1,2,1,1,0,Win
West Brom,0,0,1,1,2,0,Win
Crystal Palace,1,1,2,-1,0,0,Loss
Watford,0,0,1,1,1,0,Win
Southampton,1,0,0,0,0,0,Draw
West Ham,0,0,4,4,1,0,Win
Middlesbrough,1,3,0,3,2,0,Win
Norwich,0,0,3,3,1,0,Win
Burnley,1,2,0,2,2,0,Win
Chelsea,1,1,1,0,0,0,Draw
Leeds,0,0,3,3,1,0,Win
Crystal Palace,1,3,0,3,2,0,Win
Brentford,0,3,3,0,0,0,Draw
Man City,1,2,2,0,0,0,Draw
Watford,0,0,5,5,1,0,Win
Man United,0,0,5,5,2,0,Win
Brighton,1,2,2,0,0,0,Draw
West Ham,0,3,2,-1,0,0,Loss
Arsenal,1,4,0,4,1,0,Win
Southampton,1,4,0,4,2,0,Win
