Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results
Bournemouth,1,1,1,0,0,0,Draw
Arsenal,0,4,3,-1,0,0,Loss
Brighton,1,2,0,2,1,0,Win
Man United,0,2,0,-2,0,0,Loss
Chelsea,1,1,2,-1,0,0,Loss
Huddersfield,0,1,1,0,0,0,Draw
Liverpool,1,2,3,-1,0,0,Loss
Bournemouth,0,0,0,0,0,0,Draw
West Brom,1,1,1,0,0,0,Draw
Swansea,0,1,2,1,1,0,Win
Everton,1,2,0,2,2,0,Win
Stoke,0,2,2,0,0,0,Draw
Man City,1,0,2,-2,0,0,Loss
West Ham,0,1,1,0,0,0,Draw
Tottenham,1,2,1,1,1,0,Win
Burnley,1,1,0,1,2,0,Win
Newcastle,0,2,3,1,3,1,Win
Southampton,0,1,4,3,4,1,Win
Crystal Palace,1,0,3,-3,0,0,Loss
Man United,1,2,2,0,0,0,Draw
Watford,0,2,1,-1,0,0,Loss
Liverpool,0,2,1,-1,0,0,Loss
Huddersfield,1,3,0,3,1,0,Win
Chelsea,0,0,0,0,0,0,Draw
Watford,1,2,0,2,1,0,Win
Everton,0,2,1,-1,0,0,Loss
Swansea,1,1,1,0,0,0,Draw
Man City,0,5,1,-4,0,0,Loss
Stoke,1,1,1,0,0,0,Draw
Bournemouth,1,1,1,0,0,0,Draw
West Brom,0,1,4,3,1,0,Win
Brighton,0,0,2,2,2,0,Win
Newcastle,1,1,2,-1,0,0,Loss
Burnley,0,2,1,-1,0,0,Loss
Southampton,1,0,0,0,0,0,Draw
Crystal Palace,0,5,0,-5,0,0,Loss
West Ham,1,0,2,-2,0,0,Loss
Arsenal,1,3,1,2,1,0,Win
Tottenham,0,5,4,-1,0,0,Loss
Man United,0,2,1,-1,0,0,Loss
Wolves,1,2,0,2,1,0,Win
Southampton,0,1,2,1,2,0,Win
Liverpool,1,1,2,-1,0,0,Loss
Bournemouth,0,4,2,-2,0,0,Loss
Huddersfield,1,3,1,2,1,0,Win
Newcastle,0,0,2,2,2,0,Win
Everton,1,1,2,-1,0,0,Loss
Arsenal,0,3,1,-2,0,0,Loss
West Ham,1,1,1,0,0,0,Draw
Cardiff,0,0,1,1,1,0,Win
Burnley,1,0,0,0,0,0,Draw
Brighton,0,1,1,0,0,0,Draw
Watford,1,2,0,2,1,0,Win
Fulham,0,1,1,0,0,0,Draw
Tottenham,1,0,2,-2,0,0,Loss
Crystal Palace,0,1,0,-1,0,0,Loss
Chelsea,0,0,1,1,1,0,Win
Man City,1,2,1,1,2,0,Win
Cardiff,1,0,1,-1,0,0,Loss
Everton,0,0,1,1,1,0,Win
Southampton,1,1,2,-1,0,0,Loss
Wolves,0,4,3,-1,0,0,Loss
Liverpool,0,1,1,0,0,0,Draw
Man United,1,0,1,-1,0,0,Loss
Tottenham,0,3,1,-2,0,0,Loss
