Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results
Sunderland,1,1,1,0,0,0,Draw
Stoke,0,1,2,1,1,0,Win
Liverpool,1,3,2,1,2,0,Win
Leicester,0,1,0,-1,0,0,Loss
Newcastle,1,3,1,2,1,0,Win
Everton,0,1,1,0,0,0,Draw
Aston Villa,0,2,4,2,1,0,Win
Man City,1,4,2,2,2,0,Win
Tottenham,0,1,2,1,3,1,Win
Crystal Palace,1,4,1,3,4,1,Win
Watford,1,1,1,0,0,0,Draw
Man United,0,2,0,-2,0,0,Loss
Sunderland,1,1,1,0,0,0,Draw
Arsenal,0,2,1,-1,0,0,Loss
Swansea,1,1,0,1,1,0,Win
West Ham,0,0,3,3,2,0,Win
Leicester,0,0,0,0,0,0,Draw
Burnley,1,3,1,2,1,0,Win
Man City,0,1,1,0,0,0,Draw
Chelsea,1,0,2,-2,0,0,Loss
Hull,0,2,1,-1,0,0,Loss
Liverpool,1,0,0,0,0,0,Draw
Everton,1,1,0,1,1,0,Win
Crystal Palace,0,3,0,-3,0,0,Loss
Middlesbrough,1,1,0,1,1,0,Win
Stoke,0,0,0,0,0,0,Draw
Bournemouth,0,1,3,2,1,0,Win
Tottenham,1,1,4,-3,0,0,Loss
West Brom,1,1,2,-1,0,0,Loss
Everton,0,3,0,-3,0,0,Loss
Burnley,0,1,0,-1,0,0,Loss
Leicester,1,3,0,3,1,0,Win
Swansea,0,2,1,-1,0,0,Loss
West Ham,1,1,3,-2,0,0,Loss
Sunderland,0,0,4,4,1,0,Win
Watford,0,3,4,1,2,0,Win
Tottenham,0,2,1,-1,0,0,Loss
Bournemouth,1,0,0,0,0,0,Draw
Crystal Palace,1,3,1,2,1,0,Win
West Brom,0,0,1,1,2,0,Win
Man City,1,0,3,-3,0,0,Loss
Chelsea,0,4,2,-2,0,0,Loss
Hull,1,0,0,0,0,0,Draw
Liverpool,0,0,0,0,0,0,Draw
Arsenal,1,0,2,-2,0,0,Loss
Middlesbrough,0,1,2,1,1,0,Win
Man United,1,0,0,0,0,0,Draw
Stoke,1,0,1,-1,0,0,Loss
Swansea,1,0,0,0,0,0,Draw
West Ham,1,3,2,1,1,0,Win
Huddersfield,0,0,0,0,0,0,Draw
Watford,1,0,2,-2,0,0,Loss
Crystal Palace,0,0,1,1,1,0,Win
Man United,1,0,1,-1,0,0,Loss
Stoke,0,2,1,-1,0,0,Loss
Newcastle,1,2,2,0,0,0,Draw
West Brom,1,1,0,1,1,0,Win
Brighton,0,1,1,0,0,0,Draw
Burnley,1,0,1,-1,0,0,Loss
Liverpool,0,3,0,-3,0,0,Loss
Everton,1,4,1,3,1,0,Win
