Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results
Stoke,1,3,1,2,3,1,Win
Everton,0,2,1,-1,0,0,Loss
Man City,0,2,1,-1,0,0,Loss
West Brom,1,1,0,1,1,0,Win
Crystal Palace,1,2,0,2,2,0,Win
Bournemouth,0,3,3,0,0,0,Draw
Swansea,0,0,4,4,1,0,Win
Burnley,1,2,1,1,2,0,Win
Watford,1,1,2,-1,0,0,Loss
Chelsea,0,3,1,-2,0,0,Loss
Hull,1,2,0,2,1,0,Win
Liverpool,0,3,1,-2,0,0,Loss
West Brom,0,3,1,-2,0,0,Loss
Man City,1,2,2,0,0,0,Draw
West Ham,1,3,0,3,1,0,Win
Crystal Palace,0,3,0,-3,0,0,Loss
Middlesbrough,0,1,2,1,1,0,Win
Leicester,1,1,0,1,2,0,Win
Tottenham,0,2,0,-2,0,0,Loss
Man United,1,2,0,2,1,0,Win
Southampton,0,0,2,2,2,0,Win
Stoke,0,1,4,3,3,1,Win
Sunderland,1,2,0,2,4,1,Win
Everton,1,3,1,2,5,1,Win
Leicester,1,4,3,1,1,0,Win
Stoke,0,1,0,-1,0,0,Loss
Liverpool,0,4,0,-4,0,0,Loss
Bournemouth,1,3,0,3,1,0,Win
Chelsea,0,0,0,0,0,0,Draw
West Brom,1,2,0,2,1,0,Win
Brighton,1,2,0,2,2,0,Win
Watford,0,2,1,-1,0,0,Loss
Everton,0,2,5,3,1,0,Win
Swansea,1,2,1,1,2,0,Win
Man City,0,3,1,-2,0,0,Loss
Tottenham,1,2,0,2,1,0,Win
Burnley,0,0,1,1,2,0,Win
Huddersfield,1,5,0,5,3,1,Win
Man United,1,1,3,-2,0,0,Loss
Southampton,0,1,1,0,0,0,Draw
West Ham,0,0,0,0,0,0,Draw
Newcastle,1,1,0,1,1,0,Win
Liverpool,1,3,3,0,0,0,Draw
Crystal Palace,0,2,3,1,1,0,Win
West Brom,0,1,1,0,0,0,Draw
Chelsea,1,2,2,0,0,0,Draw
Bournemouth,0,2,1,-1,0,0,Loss
Crystal Palace,1,4,1,3,1,0,Win
Swansea,0,3,1,-2,0,0,Loss
Everton,1,5,1,4,1,0,Win
Tottenham,0,1,0,-1,0,0,Loss
Man City,1,0,3,-3,0,0,Loss
Brighton,0,2,1,-1,0,0,Loss
