Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results
Liverpool,0,4,0,-4,0,0,Loss
Burnley,1,0,1,-1,0,0,Loss
Leicester,0,3,0,-3,0,0,Loss
Chelsea,1,2,3,-1,0,0,Loss
Aston Villa,0,2,0,-2,0,0,Loss
Man United,1,0,2,-2,0,0,Loss
Wolves,0,2,0,-2,0,0,Loss
Tottenham,1,1,1,0,0,0,Draw
West Brom,1,0,1,-1,0,0,Loss
Tottenham,0,1,0,-1,0,0,Loss
Bournemouth,1,1,1,0,0,0,Draw
Middlesbrough,0,1,2,1,1,0,Win
Stoke,1,4,1,3,2,0,Win
Sunderland,0,2,3,1,3,1,Win
Everton,0,1,1,0,0,0,Draw
West Ham,1,0,1,-1,0,0,Loss
Leicester,0,3,1,-2,0,0,Loss
Liverpool,1,2,4,-2,0,0,Loss
Burnley,0,3,2,-1,0,0,Loss
Man City,1,1,2,-1,0,0,Loss
Swansea,0,5,4,-1,0,0,Loss
Southampton,1,3,0,3,1,0,Win
Hull,0,3,3,0,0,0,Draw
Man United,1,1,2,-1,0,0,Loss
Chelsea,1,0,1,-1,0,0,Loss
Watford,0,1,1,0,0,0,Draw
Arsenal,0,2,0,-2,0,0,Loss
Swansea,1,1,2,-1,0,0,Loss
West Ham,0,3,0,-3,0,0,Loss
Everton,1,0,1,-1,0,0,Loss
Bournemouth,0,0,2,2,1,0,Win
Sunderland,1,0,4,-4,0,0,Loss
Stoke,0,1,0,-1,0,0,Loss
Middlesbrough,1,1,0,1,1,0,Win
West Brom,0,0,2,2,2,0,Win
Watford,1,1,0,1,3,1,Win
Chelsea,0,1,2,1,4,1,Win
Southampton,0,3,1,-2,0,0,Loss
Arsenal,1,3,0,3,1,0,Win
Leicester,1,2,2,0,0,0,Draw
Liverpool,0,1,2,1,1,0,Win
Tottenham,1,0,1,-1,0,0,Loss
Burnley,1,0,2,-2,0,0,Loss
Man City,0,5,0,-5,0,0,Loss
Hull,1,4,0,4,1,0,Win
Man United,0,2,0,-2,0,0,Loss
Chelsea,0,3,0,-3,0,0,Loss
Brentford,1,0,0,0,0,0,Draw
West Ham,0,2,2,0,0,0,Draw
Tottenham,1,3,0,3,1,0,Win
Liverpool,0,3,0,-3,0,0,Loss
Brighton,1,1,1,0,0,0,Draw
Leicester,1,2,2,0,0,0,Draw
Arsenal,0,2,2,0,0,0,Draw
Newcastle,1,1,1,0,0,0,Draw
Man City,0,0,2,2,1,0,Win
Wolves,1,2,0,2,2,0,Win
Burnley,0,3,3,0,0,0,Draw
Aston Villa,1,1,2,-1,0,0,Loss
